submission_num,type,angle_pctl,angle_alpha,depth_pctl,depth_alpha,lr_pctl,lr_alpha,n_angle,n_depth,n_lr,angle_std,depth_mean,corr_219_angle,corr_219_depth,corr_219_lr
616,combined,93.0,1.3,93.0,1.3,93.0,1.3,8,8,8,0.13711614088653945,0.5054999999999998,0.9995518464178051,0.9979027962244844,0.9973602481669623
597,threshold_vary,93.0,1.1,88.0,1.1,88.0,1.1,8,14,14,0.1371766228502142,0.5055,0.9996762105909998,0.9974195029446271,0.9941799358153879
625,single_angle,94.0,1.3,,,,,7,0,0,0.13723928211460165,0.5055,0.9995859594611646,0.9826882884914468,0.9839615220505689
593,threshold_vary,92.0,1.1,88.0,1.1,88.0,1.1,9,14,14,0.13724215297875544,0.5055,0.9996993533121394,0.9974195029446271,0.9941799358153879
624,single_angle,94.0,1.2,,,,,7,0,0,0.13725882178570814,0.5055,0.9996544249550605,0.9826882884914468,0.9839615220505689
614,combined,92.0,1.0,90.0,1.15,90.0,1.15,9,12,12,0.13727075238329445,0.5055,0.9997279278958878,0.99758131469752,0.9950146787882976
623,single_angle,94.0,1.1,,,,,7,0,0,0.1372813719003254,0.5055,0.9997009480336608,0.9826882884914468,0.9839615220505689
599,alpha_vary,91.0,1.3,91.0,1.0,91.0,1.0,11,11,11,0.1374130747518857,0.5055,0.9995167898583671,0.9981044436340909,0.9965187035429209
622,single_angle,91.0,1.3,,,,,11,0,0,0.1374130747518857,0.5055,0.9995167898583671,0.9826882884914468,0.9839615220505689
606,alpha_vary,91.0,1.25,91.0,0.95,91.0,0.95,11,11,11,0.13741514185071516,0.5055,0.9995610531164156,0.9980605379498806,0.9966366117408427
601,alpha_vary,91.0,1.2,91.0,0.9,91.0,0.9,11,11,11,0.13741801224115105,0.5055,0.9995994717436162,0.9979420268416541,0.9966787018693032
598,alpha_vary,91.0,1.2,91.0,1.0,91.0,1.0,11,11,11,0.13741801224115105,0.5055,0.9995994717436162,0.9981044436340909,0.9965187035429209
621,single_angle,91.0,1.2,,,,,11,0,0,0.13741801224115105,0.5055,0.9995994717436162,0.9826882884914468,0.9839615220505689
603,alpha_vary,91.0,1.15,91.0,1.05,91.0,1.05,11,11,11,0.1374216858728572,0.5055,0.9996320457986396,0.9980743200391623,0.9963256882022752
612,combined,91.0,1.1,95.0,0.9,88.0,1.2,11,6,14,0.13742616268141758,0.5055,0.9996587756475879,0.998405038979329,0.9931497053376467
611,combined,91.0,1.1,88.0,1.2,95.0,0.9,11,14,6,0.13742616268141758,0.5055,0.9996587756475879,0.9968984438807823,0.9977115012059848
595,threshold_vary,91.0,1.1,95.0,1.1,91.0,1.1,11,6,11,0.13742616268141758,0.5055,0.9996587756475879,0.9987568345609301,0.9960583211103898
594,threshold_vary,91.0,1.1,91.0,1.1,95.0,1.1,11,11,6,0.13742616268141758,0.5055000000000001,0.9996587756475879,0.9979707878536213,0.9981947647457149
620,single_angle,91.0,1.1,,,,,11,0,0,0.13742616268141758,0.5055,0.9996587756475879,0.9826882884914468,0.9839615220505689
600,alpha_vary,91.0,1.1,91.0,0.8,91.0,0.8,11,11,11,0.13742616268141758,0.5055000000000001,0.9996587756475879,0.9974791139578841,0.9965328156215029
591,threshold_vary,91.0,1.1,93.0,1.1,95.0,1.1,11,8,6,0.13742616268141758,0.5055,0.9996587756475879,0.9987487530454063,0.9981947647457149
605,alpha_vary,91.0,1.1,91.0,1.2,91.0,1.0,11,11,11,0.13742616268141758,0.5055000000000001,0.9996587756475879,0.997546195197342,0.9965187035429209
604,alpha_vary,91.0,1.1,91.0,1.0,91.0,1.2,11,11,11,0.13742616268141758,0.5055,0.9996587756475879,0.9981044436340909,0.9953037659959267
602,alpha_vary,91.0,1.0,91.0,1.2,91.0,1.2,11,11,11,0.13743752550107358,0.5055000000000001,0.9996947057280849,0.997546195197342,0.9953037659959267
607,alpha_vary,91.0,0.9,91.0,1.1,91.0,1.1,11,11,11,0.1374520999034411,0.5055000000000001,0.9997072710570616,0.9979707878536213,0.9960583211103898
590,threshold_vary,90.0,1.1,91.0,1.1,91.0,1.1,12,11,11,0.13752509538784496,0.5055000000000001,0.9996809092330063,0.9979707878536213,0.9960583211103898
609,combined,90.0,1.15,92.0,1.05,92.0,1.05,12,9,9,0.13752524656858728,0.5055,0.9996542529820908,0.9984986158767194,0.9975486805873492
615,combined,90.0,1.2,90.0,1.2,90.0,1.2,12,12,12,0.13752621168958212,0.5055000000000001,0.9996216805565874,0.9973134407806905,0.9945623022821194
592,threshold_vary,89.0,1.1,94.0,1.1,94.0,1.1,13,7,7,0.13765239131292242,0.5055,0.9997031338710448,0.9990595241562307,0.9992315936334474
610,combined,89.0,1.25,94.0,0.9,94.0,0.9,13,7,7,0.137673046362208,0.5055,0.9996056342319032,0.9986850645114407,0.9987332502256302
638,single_lr,,,,,91.0,1.1,0,0,11,0.13772754838053722,0.5055,0.9987728603802577,0.9826882884914468,0.9960583211103898
637,single_lr,,,,,88.0,1.3,0,0,14,0.13772754838053722,0.5055,0.9987728603802577,0.9826882884914468,0.9918239094932454
636,single_lr,,,,,88.0,1.2,0,0,14,0.13772754838053722,0.5055,0.9987728603802577,0.9826882884914468,0.9931497053376467
635,single_lr,,,,,88.0,1.1,0,0,14,0.13772754838053722,0.5055,0.9987728603802577,0.9826882884914468,0.9941799358153879
639,single_lr,,,,,91.0,1.2,0,0,11,0.13772754838053722,0.5055,0.9987728603802577,0.9826882884914468,0.9953037659959267
632,single_depth,,,94.0,1.1,,,0,7,0,0.13772754838053722,0.5055,0.9987728603802577,0.9990595241562307,0.9839615220505689
640,single_lr,,,,,91.0,1.3,0,0,11,0.13772754838053722,0.5055,0.9987728603802577,0.9826882884914468,0.9942619090689254
641,single_lr,,,,,94.0,1.1,0,0,7,0.13772754838053722,0.5055,0.9987728603802577,0.9826882884914468,0.9992315936334474
634,single_depth,,,94.0,1.3,,,0,7,0,0.13772754838053722,0.5055000000000001,0.9987728603802577,0.9983228272515455,0.9839615220505689
633,single_depth,,,94.0,1.2,,,0,7,0,0.13772754838053722,0.5055,0.9987728603802577,0.998827739086987,0.9839615220505689
631,single_depth,,,91.0,1.3,,,0,11,0,0.13772754838053722,0.5055000000000001,0.9987728603802577,0.9968364703850663,0.9839615220505689
643,single_lr,,,,,94.0,1.3,0,0,7,0.13772754838053722,0.5055,0.9987728603802577,0.9826882884914468,0.9987735967933623
629,single_depth,,,91.0,1.1,,,0,11,0,0.13772754838053722,0.5055000000000001,0.9987728603802577,0.9979707878536213,0.9839615220505689
628,single_depth,,,88.0,1.3,,,0,14,0,0.13772754838053722,0.5055000000000001,0.9987728603802577,0.9960864195046565,0.9839615220505689
627,single_depth,,,88.0,1.2,,,0,14,0,0.13772754838053722,0.5055,0.9987728603802577,0.9968984438807823,0.9839615220505689
626,single_depth,,,88.0,1.1,,,0,14,0,0.13772754838053722,0.5055,0.9987728603802577,0.9974195029446271,0.9839615220505689
642,single_lr,,,,,94.0,1.2,0,0,7,0.13772754838053722,0.5055,0.9987728603802577,0.9826882884914468,0.9991197964760099
630,single_depth,,,91.0,1.2,,,0,11,0,0.13772754838053722,0.5055000000000001,0.9987728603802577,0.997546195197342,0.9839615220505689
596,threshold_vary,85.0,1.1,95.0,1.1,95.0,1.1,17,6,6,0.1377557748230008,0.5055,0.9997068148140621,0.9987568345609301,0.9981947647457149
617,single_angle,88.0,1.1,,,,,14,0,0,0.13775975022546452,0.5055,0.9996879671081476,0.9826882884914468,0.9839615220505689
589,threshold_vary,88.0,1.1,93.0,1.1,93.0,1.1,14,8,8,0.13775975022546452,0.5055,0.9996879671081476,0.9987487530454063,0.9982555308983905
618,single_angle,88.0,1.2,,,,,14,0,0,0.1377826877420312,0.5055,0.9996259414047558,0.9826882884914468,0.9839615220505689
