iter	RMSE
0	4.095281338
1	4.062469032
2	4.031493188
3	4.000974271
4	3.958896859
5	3.921099106
6	3.890569319
7	3.860383509
8	3.827921168
9	3.797828247
10	3.772266501
11	3.749328382
12	3.727903501
13	3.697274744
14	3.660840598
15	3.641295701
16	3.616739823
17	3.592667681
18	3.55899786
19	3.53945004
20	3.517919043
21	3.487064209
22	3.465606888
23	3.43482076
24	3.399002497
25	3.360327182
26	3.331085693
27	3.299921395
28	3.265693708
29	3.240374043
30	3.221172866
31	3.197310535
32	3.173749998
33	3.14375822
34	3.124651371
35	3.102544062
36	3.071263204
37	3.040302974
38	3.017127544
39	2.983515715
40	2.978536885
41	2.955865518
42	2.925063242
43	2.916969888
44	2.898977562
45	2.868562681
46	2.850660161
47	2.827823237
48	2.815464344
49	2.797220705
50	2.777503687
51	2.753768476
52	2.731688256
53	2.719954646
54	2.69737317
55	2.679511323
56	2.661898907
57	2.645224352
58	2.633086758
59	2.613163763
60	2.590183159
61	2.570975036
62	2.545088129
63	2.523899157
64	2.505586364
65	2.485916015
66	2.476194995
67	2.455458961
68	2.434681286
69	2.416824574
70	2.413090756
71	2.401547652
72	2.385023906
73	2.368280141
74	2.354851013
75	2.343753148
76	2.326714055
77	2.314011834
78	2.296379574
79	2.28320567
