iter	Passed	Remaining
0	2	171
1	3	144
2	4	126
3	6	117
4	7	112
5	8	107
6	9	103
7	11	106
8	13	103
9	14	102
10	15	99
11	17	97
12	18	95
13	19	93
14	20	90
15	22	88
16	23	87
17	25	86
18	26	84
19	27	83
20	29	81
21	30	81
22	32	81
23	34	80
24	35	78
25	37	76
26	38	75
27	39	73
28	41	73
29	43	71
30	44	69
31	45	68
32	46	66
33	47	64
34	49	63
35	50	61
36	52	60
37	53	59
38	55	57
39	56	56
40	57	54
41	59	54
42	61	52
43	62	51
44	64	49
45	65	48
46	66	47
47	68	45
48	69	43
49	71	42
50	72	41
51	75	40
52	77	39
53	78	37
54	80	36
55	82	35
56	84	34
57	86	32
58	87	31
59	88	29
60	89	28
61	91	26
62	93	25
63	94	23
64	95	22
65	97	20
66	98	19
67	100	17
68	101	16
69	102	14
70	103	13
71	105	11
72	106	10
73	108	8
74	109	7
75	111	5
76	113	4
77	116	2
78	117	1
79	119	0
