type,contrast,percentile,alpha,depth_cal,n_modified,depth_mean,angle_mean,lr_mean,sim_to_219
uniform,151,91,1.1,0.5055,11,0.5055,0.5214468266484983,0.4706938459755331,0.0002713149007198536
alt_contrast,25,91,1.1,0.5055,11,0.5055,0.5214468266484983,0.4706938459755331,0.00027131490071985513
uniform,151,92,1.1,0.5055,9,0.5055,0.5213409248343313,0.47094017362937834,0.000288027169402272
uniform,151,91,1.1,,11,0.5059389971139222,0.5214468266484983,0.4706938459755331,0.00038188127449866445
uniform,151,92,1.1,,9,0.5059818456000605,0.5213409248343313,0.47094017362937834,0.0003845635078968489
uniform,151,92,1.1,0.506,9,0.506,0.5213409248343313,0.47094017362937834,0.0003905078689389739
uniform,151,91,1.1,0.506,11,0.506,0.5214468266484983,0.4706938459755331,0.0004018556708250234
uniform,151,90,1.1,0.5055,12,0.5055,0.5212609012292354,0.4708037805182534,0.0004123417949467926
uniform,151,93,1.1,0.5055,8,0.5055000000000001,0.521418307890606,0.4706519775837464,0.00041777573275367995
alt_contrast,25,93,1.1,0.5055,8,0.5055000000000001,0.521418307890606,0.4706519775837464,0.00041777573275368044
uniform,151,91,1.1,0.505,11,0.505,0.5214468266484983,0.4706938459755331,0.00043503171487912763
uniform,151,92,1.1,0.505,9,0.505,0.5213409248343313,0.47094017362937834,0.00045174398356154596
alt_contrast,25,91,1.0,0.5055,11,0.5055000000000001,0.5214316332334633,0.47051411525274334,0.0004812512628211269
uniform,151,91,1.0,0.5055,11,0.5055000000000001,0.5214316332334633,0.47051411525274334,0.0004812512628211287
uniform,151,92,1.0,0.5055,9,0.5055,0.5213353588569479,0.47073804948351167,0.0004950653611039869
uniform,151,90,1.1,,12,0.5058240363078801,0.5212609012292354,0.4708037805182534,0.0005165304603123827
uniform,151,92,1.2,0.5055,9,0.5055,0.5213464908117145,0.4711422977752449,0.0005244413481539382
uniform,151,91,1.2,0.5055,11,0.5055,0.521462020063533,0.47087357669832286,0.0005319130235423831
alt_contrast,25,91,1.2,0.5055,11,0.5055,0.521462020063533,0.47087357669832286,0.0005319130235423838
uniform,151,90,1.1,0.505,12,0.5049999999999999,0.5212609012292354,0.4708037805182534,0.0005343299370507465
uniform,151,93,1.1,,8,0.5058771323166659,0.521418307890606,0.4706519775837464,0.0005390365661359367
uniform,151,90,1.1,0.506,12,0.5059999999999999,0.5212609012292354,0.4708037805182534,0.000573108756598728
uniform,151,93,1.1,0.505,8,0.505,0.521418307890606,0.4706519775837464,0.0005742214616802641
uniform,151,93,1.1,0.506,8,0.5060000000000001,0.521418307890606,0.4706519775837464,0.0005785426944056153
uniform,151,92,1.2,0.506,9,0.506,0.5213464908117145,0.4711422977752449,0.00058646706609618
uniform,151,92,1.2,,9,0.5060279113078918,0.5213464908117145,0.4711422977752449,0.0005946181560114887
uniform,151,91,1.0,,11,0.5058968267230126,0.5214316332334633,0.47051411525274334,0.0005967619024025404
uniform,151,92,1.0,,9,0.5059357798922293,0.5213353588569479,0.47073804948351167,0.0006014913665955909
uniform,151,91,1.2,,11,0.5059811675048318,0.521462020063533,0.47087357669832286,0.0006171156766358115
uniform,151,92,1.0,0.506,9,0.5060000000000001,0.5213353588569479,0.47073804948351167,0.0006213825504183867
uniform,151,91,1.2,0.506,11,0.506,0.521462020063533,0.47087357669832286,0.0006226154318619254
uniform,151,91,1.0,0.505,11,0.505,0.5214316332334633,0.47051411525274334,0.0006272689619361569
uniform,151,91,1.0,0.506,11,0.5060000000000001,0.5214316332334633,0.47051411525274334,0.0006281095352335172
uniform,151,93,1.2,0.5055,8,0.5054999999999998,0.5214309086912869,0.4708279020891009,0.0006317219026000315
alt_contrast,25,93,1.2,0.5055,8,0.5054999999999998,0.5214309086912869,0.4708279020891009,0.0006317219026000321
uniform,151,90,1.0,0.5055,12,0.5055,0.5212626101250427,0.47061405574612536,0.0006318705084492113
alt_contrast,25,93,1.0,0.5055,8,0.5055,0.5214057070899251,0.4704760530783917,0.0006385129722351587
uniform,151,93,1.0,0.5055,8,0.5055,0.5214057070899251,0.4704760530783917,0.0006385129722351602
uniform,151,92,1.0,0.505,9,0.5050000000000001,0.5213353588569479,0.47073804948351167,0.0006410830602190151
uniform,151,90,1.2,0.5055,12,0.5055,0.5212591923334282,0.4709935052903813,0.0006624195680983237
uniform,151,92,1.2,0.505,9,0.5049999999999999,0.5213464908117145,0.4711422977752449,0.0006793086047910894
uniform,151,91,1.2,0.505,11,0.505,0.521462020063533,0.47087357669832286,0.0006838304276721598
per_target,151,92,"{'scaled_angle': 1.2, 'scaled_depth': 0.8, 'scaled_left_right': 1.0}",0.5055,9,0.5055,0.5213464908117145,0.47073804948351167,0.0006931018708707212
uniform,151,88,1.1,0.505,14,0.505,0.5212376454464082,0.4707272736836023,0.0006933350293087592
per_target,151,91,"{'scaled_angle': 1.2, 'scaled_depth': 0.8, 'scaled_left_right': 1.0}",0.5055,11,0.5055,0.521462020063533,0.47051411525274334,0.000702723242388492
uniform,151,92,0.9,0.5055,9,0.5055,0.5213297928795646,0.47053592533764516,0.0007054136130556055
alt_contrast,25,91,0.9,0.5055,11,0.5055,0.5214164398184284,0.47033438452995363,0.000713049872422598
uniform,151,91,0.9,0.5055,11,0.5055,0.5214164398184284,0.47033438452995363,0.0007130498724225992
uniform,151,90,1.0,,12,0.5057923168993379,0.5212626101250427,0.47061405574612536,0.000718961974033675
uniform,151,90,1.0,0.505,12,0.5050000000000001,0.5212626101250427,0.47061405574612536,0.0007212395357861907
per_target,151,91,"{'scaled_angle': 0.8, 'scaled_depth': 1.0, 'scaled_left_right': 0.8}",0.5055,11,0.5055000000000001,0.5214012464033937,0.4701546538071638,0.0007338876602322254
uniform,151,93,1.2,,8,0.5059136786350977,0.5214309086912869,0.4708279020891009,0.0007348399298475049
uniform,151,93,1.0,,8,0.5058405859982342,0.5214057070899251,0.4704760530783917,0.0007440042106263081
per_target,151,92,"{'scaled_angle': 0.8, 'scaled_depth': 1.0, 'scaled_left_right': 0.8}",0.5055,9,0.5055,0.5213242269021813,0.4703338011917785,0.0007446172017676368
alt_contrast,25,88,1.1,0.5055,14,0.5055,0.5212376454464082,0.4707272736836023,0.0007528012829853783
uniform,151,88,1.1,0.5055,14,0.5055,0.5212376454464082,0.4707272736836023,0.0007528012829853783
uniform,151,93,1.0,0.505,8,0.505,0.5214057070899251,0.4704760530783917,0.0007557959175078183
uniform,151,93,1.2,0.506,8,0.506,0.5214309086912869,0.4708279020891009,0.0007595395534331117
uniform,151,95,1.1,0.506,6,0.506,0.5215760517062493,0.47081918505131937,0.0007610417855472487
uniform,151,92,1.3,0.5055,9,0.5055,0.5213520567890978,0.47134442192111153,0.0007625105570305063
uniform,151,90,1.2,,12,0.5058557557164222,0.5212591923334282,0.4709935052903813,0.0007642139766321131
uniform,151,88,1.1,,14,0.5055380629720926,0.5212376454464082,0.4707272736836023,0.0007645906991202649
uniform,151,90,1.0,0.506,12,0.506,0.5212626101250427,0.47061405574612536,0.0007808380600716469
uniform,151,93,1.2,0.505,8,0.505,0.5214309086912869,0.4708279020891009,0.0007895390117445571
uniform,151,93,1.0,0.506,8,0.506,0.5214057070899251,0.4704760530783917,0.0007933802288723458
uniform,151,91,1.3,0.5055,11,0.5055,0.5214772134785679,0.4710533074211126,0.0007937066794839814
uniform,151,90,1.2,0.505,12,0.5049999999999999,0.5212591923334282,0.4709935052903813,0.000795115331178229
uniform,151,92,1.3,0.506,9,0.506,0.5213520567890978,0.47134442192111153,0.0007968153180477984
per_target,151,91,"{'scaled_angle': 1.2, 'scaled_depth': 0.8, 'scaled_left_right': 1.0}",,11,0.5058124859411935,0.521462020063533,0.47051411525274334,0.000797667348414865
per_target,151,92,"{'scaled_angle': 1.2, 'scaled_depth': 0.8, 'scaled_left_right': 1.0}",,9,0.5058436484765668,0.5213464908117145,0.47073804948351167,0.0007995416644976283
uniform,151,90,1.2,0.506,12,0.506,0.5212591923334282,0.4709935052903813,0.0008054874147060094
uniform,151,92,1.3,,9,0.506073977015723,0.5213520567890978,0.47134442192111153,0.0008184192252943328
uniform,151,91,0.9,,11,0.5058546563321031,0.5214164398184284,0.47033438452995363,0.0008208068110852194
uniform,151,85,1.1,0.505,17,0.505,0.521221979536963,0.47073043535313136,0.0008215214811267038
uniform,151,92,0.9,,9,0.5058897141843981,0.5213297928795646,0.47053592533764516,0.0008252924358784352
uniform,151,91,0.9,0.505,11,0.505,0.5214164398184284,0.47033438452995363,0.0008389986237160677
per_target,151,91,"{'scaled_angle': 0.8, 'scaled_depth': 1.0, 'scaled_left_right': 0.8}",,11,0.5058968267230126,0.5214012464033937,0.4701546538071638,0.0008493982998136371
per_target,151,92,"{'scaled_angle': 0.8, 'scaled_depth': 1.0, 'scaled_left_right': 0.8}",,9,0.5059357798922293,0.5213242269021813,0.4703338011917785,0.0008510432072592411
uniform,151,92,0.9,0.505,9,0.505,0.5213297928795646,0.47053592533764516,0.0008514313121706338
uniform,151,93,1.3,0.5055,8,0.5055,0.521443509491968,0.4710038265944556,0.000852806956129319
per_target,151,93,"{'scaled_angle': 1.2, 'scaled_depth': 0.8, 'scaled_left_right': 1.0}",0.5055,8,0.5055000000000001,0.5214309086912869,0.4704760530783917,0.0008528563228403785
uniform,151,90,0.9,0.5055,12,0.5055000000000001,0.5212643190208499,0.47042433097399744,0.0008529166282081553
per_target,151,90,"{'scaled_angle': 1.2, 'scaled_depth': 0.8, 'scaled_left_right': 1.0}",0.5055,12,0.5055,0.5212591923334282,0.47061405574612536,0.0008559774906289636
uniform,151,95,1.1,,6,0.5062970130957748,0.5215760517062493,0.47081918505131937,0.0008565415715043345
uniform,151,91,1.3,0.506,11,0.506,0.5214772134785679,0.4710533074211126,0.0008592810082644756
alt_contrast,25,93,0.9,0.5055,8,0.5055,0.521393106289244,0.47030012857303716,0.0008593824132663592
uniform,151,93,0.9,0.5055,8,0.5055,0.521393106289244,0.47030012857303716,0.0008593824132663602
uniform,151,92,0.9,0.506,9,0.506,0.5213297928795646,0.47053592533764516,0.000859451759294955
uniform,151,95,1.1,0.5055,6,0.5054999999999998,0.5215760517062493,0.47081918505131937,0.0008606705959277312
uniform,151,91,0.9,0.506,11,0.506,0.5214164398184284,0.47033438452995363,0.0008649672765524096
per_target,151,93,"{'scaled_angle': 0.8, 'scaled_depth': 1.0, 'scaled_left_right': 0.8}",0.5055,8,0.5055,0.521380505488563,0.47012420406768257,0.0008659085036923409
uniform,151,91,1.3,,11,0.5060233378957414,0.5214772134785679,0.4710533074211126,0.0008660964999411625
per_target,151,90,"{'scaled_angle': 0.8, 'scaled_depth': 1.0, 'scaled_left_right': 0.8}",0.5055,12,0.5055,0.5212660279166571,0.47023460620186947,0.0008665759990734567
uniform,151,85,1.1,0.5055,17,0.5055,0.521221979536963,0.47073043535313136,0.0008696046647817274
uniform,151,88,1.0,0.505,14,0.5049999999999999,0.5212414685042905,0.47054450407826076,0.0008749923014202404
uniform,151,85,1.1,,17,0.5055574943453893,0.521221979536963,0.47073043535313136,0.000887412647866932
uniform,151,88,1.1,0.506,14,0.506,0.5212376454464082,0.4707272736836023,0.0009076685396225637
uniform,151,90,1.3,0.5055,12,0.5055,0.521257483437621,0.47118323006250923,0.000914773450634723
uniform,151,95,1.2,0.506,6,0.506,0.521602992853807,0.47101031023554424,0.0009173114508551781
uniform,151,92,1.3,0.505,9,0.5050000000000001,0.5213520567890978,0.47134442192111153,0.0009173778136676575
uniform,151,90,0.9,0.505,12,0.505,0.5212643190208499,0.47042433097399744,0.0009235721401810787
per_target,151,90,"{'scaled_angle': 1.2, 'scaled_depth': 0.8, 'scaled_left_right': 1.0}",,12,0.5057288780822538,0.5212591923334282,0.47061405574612536,0.0009241683056957308
uniform,151,90,0.9,,12,0.5057605974907958,0.5212643190208499,0.47042433097399744,0.0009305577685337707
alt_contrast,25,88,1.0,0.5055,14,0.5055,0.5212414685042905,0.47054450407826076,0.0009348007694444508
uniform,151,88,1.0,0.5055,14,0.5054999999999998,0.5212414685042905,0.47054450407826076,0.0009348007694444534
per_target,151,93,"{'scaled_angle': 1.2, 'scaled_depth': 0.8, 'scaled_left_right': 1.0}",,8,0.5057674933613707,0.5214309086912869,0.4704760530783917,0.0009357082489286713
uniform,151,92,0.8,0.5055,9,0.5055,0.5213242269021813,0.4703338011917785,0.0009426537115343725
uniform,151,88,1.0,,14,0.5055323411395313,0.5212414685042905,0.47054450407826076,0.0009440547238236223
uniform,151,93,1.3,,8,0.5059502249535294,0.521443509491968,0.4710038265944556,0.0009443897147272773
uniform,151,91,1.3,0.505,11,0.505,0.5214772134785679,0.4710533074211126,0.0009456240836137582
uniform,151,91,0.8,0.5055,11,0.5055,0.5214012464033937,0.4701546538071638,0.0009499076137415262
uniform,151,93,0.9,,8,0.5058040396798025,0.521393106289244,0.47030012857303716,0.0009535539955060806
per_target,151,90,"{'scaled_angle': 0.8, 'scaled_depth': 1.0, 'scaled_left_right': 0.8}",,12,0.5057923168993379,0.5212660279166571,0.47023460620186947,0.0009536674646579204
uniform,151,93,0.9,0.505,8,0.505,0.521393106289244,0.47030012857303716,0.0009546728837305304
uniform,151,93,1.3,0.506,8,0.506,0.521443509491968,0.4710038265944556,0.0009586321321539781
uniform,151,95,1.0,0.506,6,0.506,0.5215491105586917,0.47062805986709444,0.0009637924439795087
per_target,151,93,"{'scaled_angle': 0.8, 'scaled_depth': 1.0, 'scaled_left_right': 0.8}",,8,0.5058405859982342,0.521380505488563,0.47012420406768257,0.0009713997420834887
uniform,151,88,1.2,0.505,14,0.505,0.5212338223885257,0.4709100432889438,0.0009759375772338015
uniform,151,85,1.0,0.505,17,0.505,0.5212272267684314,0.4705473783232872,0.0009898997839237866
uniform,151,90,0.9,0.506,12,0.506,0.5212643190208499,0.47042433097399744,0.001001884179830591
uniform,151,95,1.0,0.5055,6,0.5055,0.5215491105586917,0.47062805986709444,0.0010098919055787912
uniform,151,93,1.3,0.505,8,0.505,0.521443509491968,0.4710038265944556,0.0010106240652738444
uniform,151,93,0.9,0.506,8,0.506,0.521393106289244,0.47030012857303716,0.0010142496699035457
uniform,151,95,1.1,0.505,6,0.505,0.5215760517062493,0.47081918505131937,0.0010184877050722567
uniform,151,88,1.2,0.5055,14,0.5055,0.5212338223885257,0.4709100432889438,0.0010232299438891182
alt_contrast,25,88,1.2,0.5055,14,0.5055,0.5212338223885257,0.4709100432889438,0.0010232299438891184
uniform,151,85,1.1,0.506,17,0.506,0.521221979536963,0.47073043535313136,0.0010244719214189128
uniform,151,90,1.3,,12,0.5058874751249641,0.521257483437621,0.47118323006250923,0.0010256439141200478
uniform,151,95,1.2,,6,0.5063717303941254,0.521602992853807,0.47101031023554424,0.0010280629842081774
per_target,151,91,"{'scaled_angle': 1.0, 'scaled_depth': 0.5, 'scaled_left_right': 1.0}",0.5055,11,0.5055,0.5214316332334633,0.47051411525274334,0.0010288898441705304
per_target,151,92,"{'scaled_angle': 1.0, 'scaled_depth': 1.5, 'scaled_left_right': 0.8}",0.5055,9,0.5054999999999998,0.5213353588569479,0.4703338011917785,0.0010319250618766398
uniform,151,95,1.0,,6,0.5062222957974241,0.5215491105586917,0.47062805986709444,0.0010326451245975788
per_target,151,92,"{'scaled_angle': 1.0, 'scaled_depth': 0.5, 'scaled_left_right': 1.0}",0.5055,9,0.5055,0.5213353588569479,0.47073804948351167,0.001032981736504987
uniform,151,88,1.2,,14,0.505543784804654,0.5212338223885257,0.4709100432889438,0.00103524170445793
uniform,151,85,1.0,0.5055,17,0.5055,0.5212272267684314,0.4705473783232872,0.0010414025324247294
uniform,151,91,0.8,,11,0.5058124859411935,0.5214012464033937,0.4701546538071638,0.0010448517197678992
uniform,151,92,0.8,,9,0.5058436484765668,0.5213242269021813,0.4703338011917785,0.0010490935051612796
uniform,151,91,0.8,0.505,11,0.505,0.5214012464033937,0.4701546538071638,0.0010507282854959465
uniform,151,85,1.0,,17,0.5055500060243464,0.5212272267684314,0.4705473783232872,0.001055711040866047
uniform,151,90,1.3,0.506,12,0.5060000000000001,0.521257483437621,0.47118323006250923,0.0010578412972424088
