test,player,feature,r2
single_coord,4,right_wrist_x_f165,0.018078923225402832
single_coord,4,right_wrist_x_f170,0.024983489513397218
single_coord,4,right_wrist_y_f175,0.04180699586868286
single_coord,4,right_elbow_x_f165,0.010700523853302002
single_coord,4,right_elbow_x_f170,0.02043675184249878
single_coord,4,right_elbow_y_f170,0.012730896472930908
single_coord,4,right_elbow_y_f175,0.13571326732635497
velocity,1,wrist_z_vel_f160,0.009473752975463868
acceleration,2,wrist_z_acc_f165,0.003924715518951416
velocity,3,wrist_y_vel_f130,0.004109561443328857
acceleration,4,wrist_x_acc_f145,0.009252917766571046
velocity,4,wrist_y_vel_f165,0.04786537885665894
acceleration,4,wrist_z_acc_f165,0.017470121383666992
velocity,4,wrist_z_vel_f170,0.06192626953125
trajectory,2,wrist_trajectory_145_165,0.011231005191802979
trajectory,2,wrist_trajectory_150_160,0.0092140793800354
trajectory,2,wrist_trajectory_150_170,0.02842463254928589
trajectory,2,wrist_trajectory_155_170,0.021989047527313232
trajectory,2,wrist_trajectory_155_175,0.00137559175491333
trajectory,2,wrist_trajectory_160_170,0.020141220092773436
trajectory,4,wrist_trajectory_140_150,0.09549442529678345
trajectory,4,wrist_trajectory_140_155,0.04101852178573608
trajectory,4,wrist_trajectory_140_160,0.008046948909759521
trajectory,4,wrist_trajectory_160_180,0.01104201078414917
kinetic_chain,4,kinetic_chain_z_f150,0.11529148817062378
kinetic_chain,4,kinetic_chain_z_f155,0.20826870203018188
kinetic_chain,4,kinetic_chain_z_f160,0.13156317472457885
kinetic_chain,4,kinetic_chain_z_f165,0.011779463291168213
