Feature,Pearson r,R²,p-value,N valid
baseline_f133_right_elbow_x,0.7629729509353638,0.5821277499198914,0.0,345
f153_left_ankle_z,-0.6705732345581055,0.4496684670448303,0.0,345
baseline_f153_left_ankle_z,-0.6705732345581055,0.4496684670448303,0.0,345
baseline_f153_right_knee_z,-0.6623196601867676,0.43866732716560364,5.605193857299268e-45,345
f153_right_knee_z,-0.6623196601867676,0.43866732716560364,5.605193857299268e-45,345
baseline_f153_left_knee_z,-0.6573385000228882,0.43209391832351685,4.764414778704378e-44,345
f153_left_knee_z,-0.6573385000228882,0.43209391832351685,4.764414778704378e-44,345
f153_right_ankle_z,-0.6043187975883484,0.3652012050151825,1.0060742903550282e-35,345
baseline_f153_right_ankle_z,-0.6043187975883484,0.3652012050151825,1.0060742903550282e-35,345
shoulder_elevation_release,-0.5949140191078186,0.35392269492149353,2.094362213648242e-34,345
baseline_f153_right_hip_z,-0.585875928401947,0.3432506024837494,3.530466876290196e-33,345
f153_mid_hip_z,-0.5788781642913818,0.3350999355316162,2.962410921028455e-32,345
baseline_f153_mid_hip_z,-0.5788781642913818,0.3350999355316162,2.962410921028455e-32,345
baseline_f153_left_hip_z,-0.5710541009902954,0.3261027932167053,3.0098735037833013e-31,345
ankle_z_rise,-0.5323051810264587,0.28334879875183105,1.23019491643674e-26,345
head_stability,0.5272897481918335,0.2780344784259796,4.408489696110942e-26,345
release_angle_computed,0.4929567337341424,0.24300634133383417,9.90332440568399e-22,332
hip_z_rise,-0.4756242334842682,0.22621841728687286,7.088671277702355e-21,345
release_frame,-0.4643968962113414,0.2156644772107274,7.407920960415557e-20,345
release_frame_timing,-0.4643968962113414,0.2156644772107274,7.407920960415557e-20,345
hip_z_velocity_f153,-0.44938403367996216,0.20194600522518158,1.4964364195453142e-18,345
wrist_vz_release,0.4363609850406647,0.19041091203689575,7.257417996744248e-17,332
hip_velocity_at_release,0.43320080637931824,0.18766294419765472,1.278370579009262e-16,332
trunk_lean_angle,-0.42157453298568726,0.17772509157657623,2.684590722890312e-16,345
baseline_f153_right_ankle_x,0.3990703225135803,0.15925712883472443,1.2772016788360069e-14,345
baseline_f133_right_shoulder_x,0.3905588686466217,0.15253622829914093,5.108974427867584e-14,345
baseline_f153_right_knee_x,0.3793545961380005,0.14390991628170013,2.984201969737088e-13,345
release_before_peak,0.36015763188597427,0.12971351980571294,5.266053832720945e-12,345
jump_height,-0.3548910617828369,0.12594766914844513,1.1199909923098605e-11,345
