test,player,window,best_r2,best_frame,fingers,best_config
velocity_window,1,1.0,0.11765753690638947,170.0,,
velocity_window,1,2.0,0.1528600153296491,170.0,,
velocity_window,1,3.0,0.16599414715521066,165.0,,
velocity_window,1,5.0,0.1624506227905782,165.0,,
velocity_window,1,10.0,0.21134899785371652,160.0,,
velocity_window,2,1.0,-0.034302170239553176,165.0,,
velocity_window,2,2.0,-0.037901437782717595,165.0,,
velocity_window,2,3.0,-0.03842459464846271,165.0,,
velocity_window,2,5.0,-0.04337796903404367,165.0,,
velocity_window,2,10.0,-0.04628645202589121,160.0,,
velocity_window,3,1.0,-0.07182890564911348,145.0,,
velocity_window,3,2.0,-0.07482954741812509,160.0,,
velocity_window,3,3.0,-0.05669244012009789,160.0,,
velocity_window,3,5.0,-0.07339785963596346,160.0,,
velocity_window,3,10.0,-0.0922962089584769,160.0,,
velocity_window,4,1.0,0.07840566862726517,155.0,,
velocity_window,4,2.0,0.06096318434973269,155.0,,
velocity_window,4,3.0,0.026335271026966423,145.0,,
velocity_window,4,5.0,0.0234895128461291,170.0,,
velocity_window,4,10.0,0.06942091209678991,150.0,,
velocity_window,5,1.0,-0.027349831927063528,145.0,,
velocity_window,5,2.0,-0.014321133342267034,145.0,,
velocity_window,5,3.0,-0.035305023771084354,145.0,,
velocity_window,5,5.0,-0.03734726782231701,165.0,,
velocity_window,5,10.0,-0.022770611840365662,170.0,,
finger_combo,1,,0.10643822290846627,170.0,index,
finger_combo,2,,-0.05384960273721906,170.0,index,
finger_combo,3,,-0.048100771271126996,150.0,index,
finger_combo,4,,0.013182194111793222,165.0,index,
finger_combo,5,,0.2225704865613074,150.0,index,
finger_combo,1,,0.11456124347681418,170.0,middle,
finger_combo,2,,-0.03890232042245212,170.0,middle,
finger_combo,3,,-0.04144251883061134,150.0,middle,
finger_combo,4,,0.07735046204812157,165.0,middle,
finger_combo,5,,0.22871129747864227,150.0,middle,
finger_combo,1,,0.11041256004703237,170.0,"index,middle",
finger_combo,2,,-0.03269104629444186,170.0,"index,middle",
finger_combo,3,,-0.043012897749311385,150.0,"index,middle",
finger_combo,4,,0.03244736604070608,165.0,"index,middle",
finger_combo,5,,0.23679930292831108,150.0,"index,middle",
finger_combo,1,,0.0502035058803465,155.0,"thumb,index,middle",
finger_combo,2,,-0.018383562689270327,170.0,"thumb,index,middle",
finger_combo,3,,-0.07108108146731218,150.0,"thumb,index,middle",
finger_combo,4,,0.07564014023634236,160.0,"thumb,index,middle",
finger_combo,5,,0.21907566542343204,150.0,"thumb,index,middle",
finger_combo,1,,0.09581387713367462,170.0,"index,middle,ring",
finger_combo,2,,-0.004198934630214923,170.0,"index,middle,ring",
finger_combo,3,,-0.05434987287847526,150.0,"index,middle,ring",
finger_combo,4,,0.06014595212012763,165.0,"index,middle,ring",
finger_combo,5,,0.24939387479461894,150.0,"index,middle,ring",
finger_combo,1,,0.09134085010059279,155.0,"thumb,index,middle,ring,pinky",
finger_combo,2,,0.00449636682207466,170.0,"thumb,index,middle,ring,pinky",
finger_combo,3,,-0.09822967080082834,170.0,"thumb,index,middle,ring,pinky",
finger_combo,4,,0.061828889136386844,150.0,"thumb,index,middle,ring,pinky",
finger_combo,5,,0.24426692056140986,150.0,"thumb,index,middle,ring,pinky",
finger_curl,1,,-0.03697615519375552,145.0,,
finger_curl,2,,0.030948013872684088,165.0,,
finger_curl,3,,0.004008609817909292,145.0,,
finger_curl,4,,0.02983126641359768,160.0,,
finger_curl,5,,0.048149746386924375,155.0,,
wrist_snap,1,2.0,0.09430145813561552,171.0,,
wrist_snap,2,2.0,-0.028609376798764297,168.0,,
wrist_snap,3,2.0,-0.038628241319243806,159.0,,
wrist_snap,4,2.0,0.17842761283425856,171.0,,
wrist_snap,5,2.0,0.019612020123441876,168.0,,
wrist_snap,1,3.0,0.12842596585198374,165.0,,
wrist_snap,2,3.0,0.05080314492940763,162.0,,
wrist_snap,3,3.0,-0.12587366827959734,159.0,,
wrist_snap,4,3.0,0.18775357274870064,171.0,,
wrist_snap,5,3.0,0.0191048979989884,174.0,,
wrist_snap,1,5.0,0.09458586360995835,165.0,,
wrist_snap,2,5.0,-0.06965209384516413,162.0,,
wrist_snap,3,5.0,-0.13974629671085093,159.0,,
wrist_snap,4,5.0,0.16451256704596284,168.0,,
wrist_snap,5,5.0,0.03224893662832451,174.0,,
combined,1,,0.2841933505880897,,,"frame=165, window=3, model=ridge"
combined,2,,-0.04190389162378061,,,"frame=155, window=3, model=ridge"
combined,3,,-0.14230887480677112,,,"frame=145, window=5, model=rf"
combined,4,,0.2922137786325524,,,"frame=145, window=5, model=rf"
combined,5,,0.3781922333071923,,,"frame=155, window=3, model=ridge"
