trial_id,timestamp,model_type,n_features,feature_indices,best_params,cv_score_angle,cv_score_depth,cv_score_left_right,cv_score_combined,optuna_trials,duration_seconds
0,2026-01-28T19:19:45.323363,lightgbm,50,"arm_extension_angle,arm_plane_angle,forward_position,lateral_offset,left_wrist_z_mean,left_wrist_z_q75,left_wrist_z_std,mid_hip_z_max,mid_hip_z_min,mid_hip_z_q25,mid_hip_z_q75,mid_hip_z_range,neck_z_mean,neck_z_min,neck_z_q25,neck_z_range,peak_velocity_magnitude,release_frame,right_elbow_vel_load_mean,right_elbow_vel_prop_mean,right_elbow_vel_std,right_elbow_z_min,right_elbow_z_q25,right_elbow_z_q75,right_elbow_z_range,right_hip_z_min,right_hip_z_q25,right_hip_z_q75,right_hip_z_range,right_hip_z_std,right_knee_vel_range,right_knee_vel_std,right_knee_z_mean,right_knee_z_range,right_shoulder_z_energy,right_shoulder_z_min,right_wrist_vel_max,right_wrist_vel_max_time,right_wrist_vel_mean,right_wrist_vel_min,right_wrist_vel_prop_mean,right_wrist_vel_release_mean,right_wrist_vel_std,set_point_height,shoulder_elevation_rate,shoulder_rotation,velocity_magnitude_release,wrist_vx_release,wrist_vz_release,wrist_z_release","{""n_estimators"": 362, ""num_leaves"": 48, ""learning_rate"": 0.044803926826840625, ""subsample"": 0.7993292420985183, ""colsample_bytree"": 0.5780093202212182, ""reg_alpha"": 0.000602521573620386, ""reg_lambda"": 0.00019517224641449495, ""min_child_samples"": 44}",0.02550072557674446,0.023151292235297247,0.018340665481540248,0.022330894431193984,5,43.3
1,2026-01-28T19:19:45.475631,ridge,30,"arm_extension_angle,elbow_height_relative,elevation_angle,hip_vertical_velocity_max,left_wrist_z_max,left_wrist_z_q25,left_wrist_z_range,mid_hip_z_q75,neck_z_range,neck_z_std,peak_velocity_magnitude,release_height_relative,right_elbow_vel_load_mean,right_elbow_vel_max,right_elbow_vel_min,right_elbow_z_mean,right_hip_z_energy,right_knee_vel_max,right_knee_vel_max_time,right_knee_vel_mean,right_knee_z_q25,right_shoulder_z_energy,right_shoulder_z_std,right_wrist_vel_prep_mean,right_wrist_z_energy,right_wrist_z_mean,right_wrist_z_std,time_to_peak_velocity,wrist_vy_release,wrist_y_release","{""alpha"": 0.0004901481844781308}",0.07836915854426053,0.08681969211424531,0.02716698844446763,0.06411861303432449,5,0.1
2,2026-01-28T19:20:39.277954,lightgbm,75,"arm_extension_angle,arm_plane_angle,elevation_angle,forward_position,hip_lateral_range,hip_vertical_velocity_max,jerk_at_release,knee_bend_depth,knee_extension_rate_max,left_wrist_z_energy,left_wrist_z_max,left_wrist_z_q25,left_wrist_z_q75,left_wrist_z_std,mid_hip_z_energy,mid_hip_z_mean,mid_hip_z_min,mid_hip_z_q25,mid_hip_z_q75,neck_z_energy,neck_z_max,neck_z_mean,neck_z_q75,release_height_relative,release_time,right_elbow_vel_load_mean,right_elbow_vel_mean,right_elbow_vel_min,right_elbow_vel_prep_mean,right_elbow_vel_prop_mean,right_elbow_vel_release_mean,right_elbow_vel_std,right_elbow_z_energy,right_elbow_z_q75,right_elbow_z_range,right_hip_z_energy,right_hip_z_max,right_hip_z_min,right_hip_z_q25,right_hip_z_std,right_knee_vel_load_mean,right_knee_vel_max_time,right_knee_vel_min,right_knee_vel_prep_mean,right_knee_vel_range,right_knee_vel_release_mean,right_knee_vel_std,right_knee_z_energy,right_knee_z_mean,right_knee_z_q25,right_knee_z_std,right_shoulder_z_energy,right_shoulder_z_max,right_shoulder_z_mean,right_shoulder_z_min,right_shoulder_z_std,right_wrist_vel_max,right_wrist_vel_max_time,right_wrist_vel_mean,right_wrist_vel_prop_mean,right_wrist_vel_range,right_wrist_vel_std,right_wrist_z_max,right_wrist_z_mean,right_wrist_z_q25,right_wrist_z_range,set_point_height,set_position_stability,shoulder_rotation,velocity_magnitude_release,wrist_snap_angle,wrist_vy_release,wrist_x_release,wrist_y_release,wrist_z_release","{""n_estimators"": 281, ""num_leaves"": 35, ""learning_rate"": 0.06627278050674712, ""subsample"": 0.5744240315221094, ""colsample_bytree"": 0.7814749790794866, ""reg_alpha"": 0.0006248507839965018, ""reg_lambda"": 0.0007319385695073038, ""min_child_samples"": 9}",0.02530008502357413,0.030418842884661842,0.018702328847413713,0.024807085585216562,5,53.8
3,2026-01-28T19:22:29.400851,catboost,20,"arm_extension_angle,arm_plane_angle,knee_extension_rate_max,left_wrist_z_energy,left_wrist_z_mean,left_wrist_z_q25,left_wrist_z_q75,right_elbow_vel_load_mean,right_elbow_vel_prop_mean,right_hip_z_min,right_knee_vel_max,right_knee_z_min,right_knee_z_range,right_wrist_vel_max,right_wrist_vel_prep_mean,right_wrist_z_mean,right_wrist_z_std,set_position_stability,wrist_y_release,wrist_z_release","{""iterations"": 411, ""depth"": 6, ""learning_rate"": 0.005782272875976323, ""l2_leaf_reg"": 0.2538484185112764}",0.03949580079561071,0.021116392860029143,0.014455817612699368,0.02502267042277974,5,110.1
4,2026-01-28T19:28:07.337153,catboost,30,"arm_plane_angle,hip_lateral_range,hip_vertical_velocity_max,jerk_at_release,left_wrist_z_min,left_wrist_z_q75,left_wrist_z_std,mid_hip_z_energy,mid_hip_z_max,mid_hip_z_q75,neck_z_max,neck_z_q25,peak_velocity_magnitude,right_elbow_vel_release_mean,right_elbow_z_min,right_elbow_z_q75,right_hip_z_max,right_hip_z_range,right_knee_vel_load_mean,right_knee_vel_max,right_knee_vel_range,right_knee_z_energy,right_knee_z_max,right_knee_z_q75,right_wrist_vel_prep_mean,right_wrist_vel_prop_mean,right_wrist_vel_release_mean,right_wrist_z_mean,set_point_height,wrist_y_release","{""iterations"": 319, ""depth"": 10, ""learning_rate"": 0.005685114794275552, ""l2_leaf_reg"": 1.2361794512342033}",0.03199312733448046,0.01802550879991847,0.014177920588492468,0.0213988522409638,5,337.9
5,2026-01-28T19:28:07.651032,ridge,75,"arm_extension_angle,arm_plane_angle,elbow_alignment,forward_position,guide_hand_vx,hip_vertical_velocity_max,jerk_at_release,knee_bend_depth,lateral_offset,left_wrist_z_max,left_wrist_z_min,left_wrist_z_q25,left_wrist_z_q75,left_wrist_z_std,mid_hip_z_max,mid_hip_z_mean,mid_hip_z_min,mid_hip_z_q25,mid_hip_z_std,neck_z_energy,neck_z_max,neck_z_q75,neck_z_std,release_frame,release_height_relative,release_time,right_elbow_vel_load_mean,right_elbow_vel_max,right_elbow_vel_range,right_elbow_vel_release_mean,right_elbow_vel_std,right_elbow_z_energy,right_elbow_z_mean,right_elbow_z_q25,right_elbow_z_range,right_elbow_z_std,right_hip_z_max,right_hip_z_mean,right_hip_z_min,right_hip_z_q25,right_hip_z_range,right_knee_vel_max_time,right_knee_vel_mean,right_knee_vel_min,right_knee_vel_prep_mean,right_knee_vel_range,right_knee_vel_release_mean,right_knee_z_mean,right_knee_z_q25,right_knee_z_q75,right_knee_z_range,right_knee_z_std,right_shoulder_z_energy,right_shoulder_z_max,right_shoulder_z_mean,right_shoulder_z_q75,right_shoulder_z_range,right_shoulder_z_std,right_wrist_vel_max,right_wrist_vel_max_time,right_wrist_vel_mean,right_wrist_vel_prep_mean,right_wrist_vel_prop_mean,right_wrist_vel_range,right_wrist_vel_std,right_wrist_z_max,right_wrist_z_mean,right_wrist_z_q75,right_wrist_z_std,set_point_height,set_position_stability,shoulder_elevation_rate,shoulder_rotation,wrist_vz_release,wrist_x_release","{""alpha"": 70.29081301965}",0.06857720049362043,0.045959578006055574,0.01764663250659853,0.044061137002091515,5,0.2
6,2026-01-28T19:28:58.036094,xgboost,30,"acceleration_at_release,arm_plane_angle,elbow_height_relative,elevation_angle,guide_hand_vx,knee_extension_rate_max,left_wrist_z_range,mid_hip_z_energy,mid_hip_z_range,neck_z_range,release_height_relative,right_elbow_vel_max,right_elbow_z_q75,right_elbow_z_std,right_hip_z_max,right_hip_z_q25,right_knee_vel_min,right_knee_vel_release_mean,right_shoulder_z_mean,right_shoulder_z_q25,right_shoulder_z_q75,right_wrist_vel_mean,right_wrist_vel_min,right_wrist_vel_prep_mean,right_wrist_vel_range,right_wrist_z_max,wrist_snap_angle,wrist_vy_release,wrist_y_release,wrist_z_release","{""n_estimators"": 202, ""max_depth"": 9, ""learning_rate"": 0.005593243496737607, ""subsample"": 0.8068151937432084, ""colsample_bytree"": 0.5760339127201184, ""reg_alpha"": 0.7234112373611674, ""reg_lambda"": 0.0020682126952463148, ""min_child_weight"": 16}",0.02249271099946255,0.018518990422955756,0.01597202243140722,0.01899457461794184,5,50.4
7,2026-01-28T19:30:46.645160,xgboost,75,"acceleration_at_release,arm_extension_angle,arm_plane_angle,elbow_alignment,guide_hand_vx,hip_lateral_range,hip_vertical_velocity_max,jerk_at_release,knee_bend_depth,knee_extension_rate_max,left_wrist_z_energy,left_wrist_z_mean,left_wrist_z_min,left_wrist_z_range,left_wrist_z_std,mid_hip_z_energy,mid_hip_z_min,mid_hip_z_range,mid_hip_z_std,neck_z_mean,neck_z_min,neck_z_q25,neck_z_q75,neck_z_range,release_frame,release_time,right_elbow_vel_load_mean,right_elbow_vel_min,right_elbow_vel_prop_mean,right_elbow_vel_range,right_elbow_vel_release_mean,right_elbow_vel_std,right_elbow_z_energy,right_elbow_z_max,right_elbow_z_mean,right_elbow_z_q75,right_elbow_z_std,right_hip_z_max,right_hip_z_min,right_hip_z_q25,right_hip_z_q75,right_hip_z_range,right_hip_z_std,right_knee_vel_load_mean,right_knee_vel_max,right_knee_vel_min,right_knee_vel_prep_mean,right_knee_vel_prop_mean,right_knee_vel_range,right_knee_vel_release_mean,right_knee_vel_std,right_knee_z_min,right_knee_z_q75,right_knee_z_range,right_knee_z_std,right_shoulder_z_energy,right_shoulder_z_min,right_shoulder_z_q25,right_shoulder_z_q75,right_shoulder_z_range,right_shoulder_z_std,right_wrist_vel_mean,right_wrist_vel_min,right_wrist_vel_range,right_wrist_vel_release_mean,right_wrist_z_max,right_wrist_z_min,right_wrist_z_q75,right_wrist_z_std,set_point_height,shoulder_elevation_rate,velocity_magnitude_release,wrist_vy_release,wrist_vz_release,wrist_z_release","{""n_estimators"": 774, ""max_depth"": 3, ""learning_rate"": 0.011914005288824801, ""subsample"": 0.6560820710554836, ""colsample_bytree"": 0.8509531337604976, ""reg_alpha"": 0.34517895206147503, ""reg_lambda"": 5.189718876813226, ""min_child_weight"": 13}",0.02359153206883127,0.026428799451244104,0.017473357017352992,0.022497896179142787,5,108.6
8,2026-01-28T19:32:13.993849,xgboost,50,"azimuth_angle,elbow_height_relative,hip_lateral_range,hip_vertical_velocity_max,lateral_offset,left_wrist_z_energy,left_wrist_z_max,left_wrist_z_min,left_wrist_z_q75,left_wrist_z_std,mid_hip_z_mean,mid_hip_z_q25,neck_z_max,neck_z_mean,neck_z_min,neck_z_q25,neck_z_range,neck_z_std,peak_velocity_magnitude,release_height_relative,right_elbow_vel_range,right_elbow_vel_release_mean,right_elbow_z_mean,right_hip_z_max,right_hip_z_mean,right_hip_z_q75,right_hip_z_range,right_knee_vel_max,right_knee_vel_min,right_knee_vel_range,right_knee_vel_release_mean,right_knee_vel_std,right_knee_z_energy,right_knee_z_min,right_knee_z_q25,right_knee_z_q75,right_shoulder_z_mean,right_shoulder_z_min,right_shoulder_z_std,right_wrist_vel_load_mean,right_wrist_vel_max,right_wrist_vel_min,right_wrist_vel_range,right_wrist_vel_release_mean,right_wrist_z_energy,right_wrist_z_std,velocity_magnitude_release,wrist_snap_angle,wrist_y_release,wrist_z_release","{""n_estimators"": 446, ""max_depth"": 4, ""learning_rate"": 0.010748534190291202, ""subsample"": 0.6981649548613884, ""colsample_bytree"": 0.688657548845562, ""reg_alpha"": 9.613270235040272, ""reg_lambda"": 0.010989704164567923, ""min_child_weight"": 16}",0.024491458495889823,0.0243292304444036,0.01680588714318913,0.021875525361160855,5,87.3
9,2026-01-28T19:34:18.113070,xgboost,100,"acceleration_at_release,arm_extension_angle,arm_plane_angle,azimuth_angle,elbow_alignment,elbow_height_relative,forward_position,hip_lateral_range,hip_vertical_velocity_max,jerk_at_release,knee_bend_depth,knee_extension_rate_max,left_wrist_z_min,left_wrist_z_q25,left_wrist_z_range,left_wrist_z_std,mid_hip_z_energy,mid_hip_z_max,mid_hip_z_mean,mid_hip_z_min,mid_hip_z_q25,mid_hip_z_q75,mid_hip_z_range,neck_z_energy,neck_z_max,neck_z_mean,neck_z_min,neck_z_q25,neck_z_q75,neck_z_range,neck_z_std,peak_velocity_magnitude,release_frame,release_height_relative,right_elbow_vel_load_mean,right_elbow_vel_max,right_elbow_vel_max_time,right_elbow_vel_mean,right_elbow_vel_min,right_elbow_vel_prep_mean,right_elbow_vel_prop_mean,right_elbow_vel_range,right_elbow_vel_release_mean,right_elbow_vel_std,right_elbow_z_max,right_elbow_z_mean,right_elbow_z_min,right_elbow_z_q25,right_elbow_z_q75,right_elbow_z_range,right_hip_z_energy,right_hip_z_max,right_hip_z_min,right_hip_z_q75,right_hip_z_range,right_hip_z_std,right_knee_vel_load_mean,right_knee_vel_max,right_knee_vel_max_time,right_knee_vel_mean,right_knee_vel_prep_mean,right_knee_vel_prop_mean,right_knee_vel_std,right_knee_z_max,right_knee_z_min,right_knee_z_q25,right_knee_z_range,right_shoulder_z_energy,right_shoulder_z_max,right_shoulder_z_mean,right_shoulder_z_min,right_shoulder_z_q25,right_shoulder_z_q75,right_shoulder_z_range,right_shoulder_z_std,right_wrist_vel_load_mean,right_wrist_vel_max,right_wrist_vel_max_time,right_wrist_vel_mean,right_wrist_vel_min,right_wrist_vel_prep_mean,right_wrist_vel_prop_mean,right_wrist_vel_range,right_wrist_vel_release_mean,right_wrist_vel_std,right_wrist_z_energy,right_wrist_z_max,right_wrist_z_mean,right_wrist_z_min,right_wrist_z_std,set_point_height,set_position_stability,time_to_peak_velocity,velocity_magnitude_release,wrist_snap_angle,wrist_vx_release,wrist_vy_release,wrist_vz_release,wrist_x_release,wrist_z_release","{""n_estimators"": 326, ""max_depth"": 5, ""learning_rate"": 0.01898726575512677, ""subsample"": 0.530137402814268, ""colsample_bytree"": 0.8773191959203372, ""reg_alpha"": 0.4401028208628637, ""reg_lambda"": 0.0666506967256477, ""min_child_weight"": 15}",0.024715841234338003,0.026600687770414362,0.018875606815250457,0.023397378606667605,5,124.1
