strategy,cv,angle_std,pred_lb
1. Regularization Ladder,0.009545621562600562,0.1418597630564613,0.008623231943919684
2. Frame Window Ensemble,0.009539190029532721,0.14099836517009265,0.00859394441578315
3. PCA Component Ladder,0.009578140418570965,0.1401517449821921,0.008565159329394532
4. Hierarchical Target,0.009632602533435787,0.1434617251457867,0.008677698654956748
5. Body Part Ensemble,0.009833043972859909,0.13918829869613847,0.008532402155668709
6. Residual Boosting,0.010475525181548226,0.13901617342938274,0.008526549896599013
7. Player Mean Shrinkage,0.009820487272573885,0.14139278502941902,0.008607354691000248
8. Model Type Ensemble,0.009413843326481637,0.14025564409054134,0.008568691899078405
9. Target-Specific Config,0.007580052776121986,0.14100289985899028,0.00859409859520567
10. Bootstrap Ensemble,0.009628980393236482,0.14277702198025127,0.008654418747328543
11. Confidence-Weighted,0.009629026237122003,0.14293901455638724,0.008659926494917166
12. Global + Local Blend,0.009306194809099133,0.1386935288495617,0.008515579980885098
