target,participant_id,feature,delta_mse_mean,delta_mse_std,baseline_mse_mean
angle,1,acceleration_at_release,0.0,0.0,0.0019217965009923291
angle,1,arm_extension_angle,0.0,0.0,0.0019217965009923291
angle,1,arm_plane_angle,0.0,0.0,0.0019217965009923291
angle,1,azimuth_angle,0.0,0.0,0.0019217965009923291
angle,1,elbow_alignment,0.0,0.0,0.0019217965009923291
angle,1,elbow_height_relative,0.0,0.0,0.0019217965009923291
angle,1,elevation_angle,0.0,0.0,0.0019217965009923291
angle,1,forward_position,0.0,0.0,0.0019217965009923291
angle,1,guide_hand_vx,0.0,0.0,0.0019217965009923291
angle,1,hip_lateral_range,0.0,0.0,0.0019217965009923291
angle,1,hip_vertical_velocity_max,0.0,0.0,0.0019217965009923291
angle,1,jerk_at_release,0.0,0.0,0.0019217965009923291
angle,1,knee_bend_depth,0.0,0.0,0.0019217965009923291
angle,1,knee_extension_rate_max,0.0,0.0,0.0019217965009923291
angle,1,lateral_offset,0.0,0.0,0.0019217965009923291
angle,1,left_wrist_z_energy,0.0,0.0,0.0019217965009923291
angle,1,left_wrist_z_max,0.0,0.0,0.0019217965009923291
angle,1,left_wrist_z_mean,0.0,0.0,0.0019217965009923291
angle,1,left_wrist_z_min,0.0,0.0,0.0019217965009923291
angle,1,left_wrist_z_q25,0.0,0.0,0.0019217965009923291
angle,1,left_wrist_z_q75,0.0,0.0,0.0019217965009923291
angle,1,left_wrist_z_range,0.0,0.0,0.0019217965009923291
angle,1,left_wrist_z_std,0.0,0.0,0.0019217965009923291
angle,1,mid_hip_z_energy,0.0,0.0,0.0019217965009923291
angle,1,mid_hip_z_max,0.0,0.0,0.0019217965009923291
angle,1,mid_hip_z_mean,0.0,0.0,0.0019217965009923291
angle,1,mid_hip_z_min,0.0,0.0,0.0019217965009923291
angle,1,mid_hip_z_q25,0.0,0.0,0.0019217965009923291
angle,1,mid_hip_z_q75,0.0,0.0,0.0019217965009923291
angle,1,mid_hip_z_range,0.0,0.0,0.0019217965009923291
angle,1,mid_hip_z_std,0.0,0.0,0.0019217965009923291
angle,1,neck_z_energy,0.0,0.0,0.0019217965009923291
angle,1,neck_z_max,0.0,0.0,0.0019217965009923291
angle,1,neck_z_mean,0.0,0.0,0.0019217965009923291
angle,1,neck_z_min,0.0,0.0,0.0019217965009923291
angle,1,neck_z_q25,0.0,0.0,0.0019217965009923291
angle,1,neck_z_q75,0.0,0.0,0.0019217965009923291
angle,1,neck_z_range,0.0,0.0,0.0019217965009923291
angle,1,neck_z_std,0.0,0.0,0.0019217965009923291
angle,1,participant_1,0.0,0.0,0.0019217965009923291
angle,1,participant_2,0.0,0.0,0.0019217965009923291
angle,1,participant_3,0.0,0.0,0.0019217965009923291
angle,1,participant_4,0.0,0.0,0.0019217965009923291
angle,1,participant_5,0.0,0.0,0.0019217965009923291
angle,1,participant_id,0.0,0.0,0.0019217965009923291
angle,1,peak_velocity_magnitude,0.0,0.0,0.0019217965009923291
angle,1,release_frame,0.0,0.0,0.0019217965009923291
angle,1,release_height_relative,0.0,0.0,0.0019217965009923291
angle,1,release_time,0.0,0.0,0.0019217965009923291
angle,1,right_elbow_vel_load_mean,0.0,0.0,0.0019217965009923291
angle,1,right_elbow_vel_max,0.0,0.0,0.0019217965009923291
angle,1,right_elbow_vel_max_time,0.0,0.0,0.0019217965009923291
angle,1,right_elbow_vel_mean,0.0,0.0,0.0019217965009923291
angle,1,right_elbow_vel_min,0.0,0.0,0.0019217965009923291
angle,1,right_elbow_vel_prep_mean,0.0,0.0,0.0019217965009923291
angle,1,right_elbow_vel_prop_mean,0.0,0.0,0.0019217965009923291
angle,1,right_elbow_vel_range,0.0,0.0,0.0019217965009923291
angle,1,right_elbow_vel_release_mean,0.0,0.0,0.0019217965009923291
angle,1,right_elbow_vel_std,0.0,0.0,0.0019217965009923291
angle,1,right_elbow_z_energy,0.0,0.0,0.0019217965009923291
angle,1,right_elbow_z_max,0.0,0.0,0.0019217965009923291
angle,1,right_elbow_z_mean,0.0,0.0,0.0019217965009923291
angle,1,right_elbow_z_min,0.0,0.0,0.0019217965009923291
angle,1,right_elbow_z_q25,0.0,0.0,0.0019217965009923291
angle,1,right_elbow_z_q75,0.0,0.0,0.0019217965009923291
angle,1,right_elbow_z_range,0.0,0.0,0.0019217965009923291
angle,1,right_elbow_z_std,0.0,0.0,0.0019217965009923291
angle,1,right_hip_z_energy,0.0,0.0,0.0019217965009923291
angle,1,right_hip_z_max,0.0,0.0,0.0019217965009923291
angle,1,right_hip_z_mean,0.0,0.0,0.0019217965009923291
