target,player,best_r2,best_model,n_features
angle,1,0.19642632576888563,ridge,9
angle,2,0.15098732490983846,ridge,12
angle,3,0.023314868524812793,ridge,12
angle,4,0.18593928218399558,ridge,18
angle,5,0.2891651049218865,ridge,18
depth,1,0.508466172876568,rf,21
depth,2,0.4960302884023522,ridge,15
depth,3,0.452642357158312,rf,12
depth,4,0.43278810578303495,rf,15
depth,5,0.6614271945174016,ridge,12
left_right,1,0.5264175949126702,ridge,18
left_right,2,0.7375147637982313,ridge,18
left_right,3,0.5267500631019975,ridge,18
left_right,4,0.3963260470260921,ridge,9
left_right,5,0.4488064898483728,ridge,15
