Keypoint,Start,End,Window,Test R²,Std
left_elbow_z,110,120,10,-0.060762655735015866,0.13273488464053332
left_wrist_z,110,115,5,-0.06307867288589478,0.12721542546591907
right_hip_z,110,115,5,-0.06526015043258666,0.11542030091128198
right_elbow_z,110,125,15,-0.06715896844863892,0.1319067910317173
left_elbow_z,110,115,5,-0.06821798086166382,0.12743738725739864
right_elbow_z,170,175,5,-0.06974279165267944,0.14609442662396402
left_wrist_z,110,120,10,-0.0701365351676941,0.12136174099944039
left_hip_z,110,115,5,-0.07019450902938842,0.11573415676661601
right_wrist_z,170,175,5,-0.07370102882385254,0.15785454742964689
left_wrist_z,100,125,25,-0.07383570909500121,0.12359329932031844
right_shoulder_z,170,180,10,-0.07392715692520141,0.12421224870358404
left_elbow_z,100,125,25,-0.07414546489715576,0.1295314266468735
right_wrist_z,100,125,25,-0.0741464114189148,0.12417990933657651
right_knee_z,110,115,5,-0.07513066291809083,0.11155320159292254
left_knee_z,110,115,5,-0.07538558959960938,0.11593028025732964
right_knee_z,110,125,15,-0.07549911975860596,0.11921549302621733
right_wrist_z,110,115,5,-0.07649440765380859,0.12060321023150275
right_wrist_z,100,130,30,-0.0765242600440979,0.120866499373141
right_elbow_z,110,120,10,-0.07667239427566529,0.12507990541344113
left_knee_z,110,120,10,-0.0767971658706665,0.11392334225783048
left_knee_z,110,125,15,-0.07746376991271972,0.11884346122815005
right_wrist_z,170,180,10,-0.07759705305099487,0.16616223094560753
right_ankle_z,170,215,45,-0.07782032620138317,0.12225228485298661
right_wrist_z,100,120,20,-0.07789709568023681,0.12490548277237845
right_elbow_z,160,180,20,-0.0780338430404663,0.1445637444942569
right_shoulder_z,170,185,15,-0.07805461168289185,0.11751367891967188
right_knee_z,110,120,10,-0.07806644678115844,0.11294853060058148
right_elbow_z,110,115,5,-0.07887542009353637,0.12337382087869181
right_hip_z,110,120,10,-0.0789709758758545,0.11832066461865257
left_elbow_z,110,125,15,-0.07921337366104125,0.12194519631879214
left_shoulder_z,150,205,55,-0.07921862125396728,0.11762627554363306
left_wrist_z,100,120,20,-0.07948926925659179,0.12363539299791801
left_hip_z,110,120,10,-0.07952746868133545,0.1211514739806637
left_shoulder_z,110,115,5,-0.07996440649032593,0.12368525495368479
right_knee_z,100,105,5,-0.07998257875442505,0.12980642585635035
right_ankle_z,110,125,15,-0.08034605026245117,0.10768711428997477
left_hip_z,130,135,5,-0.08041844844818115,0.12016311053935856
right_ankle_z,60,65,5,-0.08052286386489868,0.10536645633831036
left_knee_z,170,215,45,-0.0807388181299681,0.1236931297000292
left_knee_z,70,120,50,-0.08078556776046752,0.12093200784015329
left_hip_z,70,120,50,-0.08088197469711304,0.11591867068852363
right_elbow_z,170,180,10,-0.0809628939628601,0.1502350197691779
left_shoulder_z,110,120,10,-0.0809919786453247,0.12600718048797305
left_shoulder_z,140,150,10,-0.08101183414459229,0.1194306927840861
right_knee_z,170,215,45,-0.08137896531080745,0.12987660897878447
right_ankle_z,110,120,10,-0.08152441024780273,0.1098765105423304
right_wrist_z,110,120,10,-0.0815438985824585,0.11443801620030758
left_knee_z,130,135,5,-0.08171615839004516,0.11556085888624647
left_hip_z,110,125,15,-0.08186731338500977,0.12197744512435162
left_hip_z,70,115,45,-0.08200998306274414,0.11572099905305275
left_hip_z,120,140,20,-0.08202893018722535,0.12381803069106255
right_ankle_z,160,215,55,-0.0820730339299416,0.13450415626757387
left_elbow_z,140,145,5,-0.0820746374130249,0.12726961593018044
right_knee_z,90,125,35,-0.08211193799972534,0.11336713783143135
left_shoulder_z,140,145,5,-0.082180917263031,0.11774678562041467
right_hip_z,70,115,45,-0.08221123218536378,0.11440160387204065
right_elbow_z,160,175,15,-0.0822540020942688,0.13422256652964965
right_ankle_z,110,115,5,-0.08230571985244751,0.12265176197968265
right_shoulder_z,130,135,5,-0.08239055156707764,0.11751194023711306
right_wrist_z,90,130,40,-0.08251325845718384,0.11794704761744217
right_hip_z,70,120,50,-0.08260726451873779,0.1131563207632756
right_shoulder_z,110,115,5,-0.08264072418212891,0.12206152364029103
left_hip_z,60,70,10,-0.08265965223312378,0.10771075456177578
right_wrist_z,160,185,25,-0.08294126033782959,0.16377815255609224
right_knee_z,100,125,25,-0.08309428930282593,0.1127875801469853
right_knee_z,70,120,50,-0.08315949201583862,0.11621415408264968
right_wrist_z,160,180,20,-0.0831654953956604,0.15422148542266878
left_knee_z,70,125,55,-0.08320635795593262,0.11441408639767978
left_shoulder_z,130,135,5,-0.08320900440216064,0.11286712720503668
left_ankle_z,70,105,35,-0.08359605073928833,0.1015812167536011
right_shoulder_z,150,185,35,-0.08366664171218872,0.113279840328909
right_elbow_z,160,185,25,-0.08383240222930909,0.15054200063743634
right_shoulder_z,130,185,55,-0.083936185836792,0.12183642500159461
left_elbow_z,140,150,10,-0.08394727945327758,0.12205201111668407
right_shoulder_z,110,125,15,-0.08396921157836915,0.12725608788380272
right_elbow_z,130,135,5,-0.08401886940002441,0.11624642328343869
right_wrist_z,110,125,15,-0.08403871774673462,0.12012109711109988
right_hip_z,110,125,15,-0.08420645475387573,0.11990662604699188
right_elbow_z,140,185,45,-0.0842950701713562,0.13091605225224115
right_elbow_z,110,130,20,-0.08459075689315795,0.12371197807265835
left_hip_z,120,135,15,-0.08503365516662598,0.11915158381414036
right_elbow_z,160,215,55,-0.08511721182522149,0.13739223162750513
right_shoulder_z,110,120,10,-0.08514321088790894,0.12568863915954503
right_ankle_z,70,80,10,-0.08514375686645508,0.11520190363644782
