target,config,lopo_mse,vs_baseline
angle,right_wrist_f100,0.05532551699499565,-117.06054705739628
angle,right_wrist_f110,0.07934861787632244,-211.31122382535992
angle,right_wrist_f120,0.1426484580329463,-459.65771346205554
angle,right_wrist_f130,0.17299957726630175,-578.7353272364068
angle,right_wrist_f140,0.13764963838653466,-440.0456684957244
angle,right_wrist_f150,0.04176424402412588,-63.85512775479977
angle,right_wrist_f160,0.029758538788579373,-16.752722069674604
angle,right_wrist_f170,0.033018886407242154,-29.544158573887213
angle,right_wrist_f180,0.03952152222163086,-55.0561784130132
angle,right_elbow_f100,0.033128715694702736,-29.975055680935924
angle,right_elbow_f110,0.0486234414682321,-90.76605837885634
angle,right_elbow_f120,0.1236860216166442,-385.26171961285337
angle,right_elbow_f130,0.04966874655729401,-94.86714060632438
angle,right_elbow_f140,0.05418667324951829,-112.59248132872774
angle,right_elbow_f150,0.03052115654668537,-19.74472714728004
angle,right_elbow_f160,0.0358586200561928,-40.68538549444682
angle,right_elbow_f170,0.04589136956255987,-80.04722456300605
angle,right_elbow_f180,0.05664585347325242,-122.2406696090965
angle,right_shoulder_f100,0.04468954535652767,-75.33206537792758
angle,right_shoulder_f110,0.0539194364114888,-111.54402164127796
angle,right_shoulder_f120,0.11358811692478354,-345.64425491302995
angle,right_shoulder_f130,0.15032101694502542,-489.75973374569134
angle,right_shoulder_f140,0.09648235410169956,-278.53261388582484
angle,right_shoulder_f150,0.07412077339484155,-190.80063766700778
angle,right_shoulder_f160,0.07373786070622611,-189.29834284573022
angle,right_shoulder_f170,0.09641778064998993,-278.2792705911794
angle,right_shoulder_f180,0.10734717106725876,-321.15893248734966
angle,left_wrist_f100,0.07984763380138474,-213.26903055844787
angle,left_wrist_f110,0.1089696981889352,-327.52465022078553
angle,left_wrist_f120,0.05000781287125063,-96.19741140348326
angle,left_wrist_f130,0.1013153653078888,-297.49413676585243
angle,left_wrist_f140,0.1150176442073097,-351.2527695882144
angle,left_wrist_f150,0.10303066569836813,-304.22383512834375
angle,left_wrist_f160,0.07686357492886715,-201.56156741122174
angle,left_wrist_f170,0.043654373158558885,-71.27073787853816
angle,left_wrist_f180,0.034238799514483484,-34.330286581407556
