n_features,kernel,alpha,within_player_mse,lopo_mse,wp_angle,wp_depth,wp_lr
30,rbf,0.05,0.02373072800538496,0.30110023368603217,0.04283522262540697,0.015996712926580486,0.01236024846416741
30,rbf,0.1,0.023334823522515046,0.45306116558610127,0.04173552352275132,0.01591335184379374,0.012355595201000068
30,rbf,0.2,0.02247784565770318,0.25698291525120215,0.03933825365896042,0.015748989681686126,0.012346293632462998
30,rbf_linear,0.05,0.019367069139795103,0.048391856529771266,0.01775940172806035,0.014589150210126056,0.025752655481198896
30,rbf_linear,0.1,0.01942785153876084,0.04839185114914119,0.017930054419243606,0.014593464434115092,0.025760035762923825
30,rbf_linear,0.2,0.02127328697642103,0.04839183972497729,0.023411497075586343,0.014591460780828661,0.02581690307284809
50,rbf,0.05,0.023887447172151615,0.3739283368462914,0.04336638721385432,0.015156837574285216,0.013139116728315308
50,rbf,0.1,0.023527358782119603,0.21221362923258805,0.042348787721395095,0.01509919149872758,0.013134097126236135
50,rbf,0.2,0.02281358163767593,0.1946136822318171,0.04033268102780229,0.014984136537031631,0.013123927348193867
50,rbf_linear,0.05,0.02219710245262003,0.049183089716371094,0.024734832959629215,0.01626828158589706,0.025588192812333817
50,rbf_linear,0.1,0.022198861631541996,0.04918304904024717,0.024739384148523013,0.016268990815530463,0.025588209930572505
50,rbf_linear,0.2,0.02218772356390344,0.047522854757649224,0.024707214701782127,0.01627044585931365,0.025585510130614535
80,rbf,0.05,0.021566021602508992,0.20124136128352152,0.035212033600545554,0.015759412857165454,0.013726618349815964
80,rbf,0.1,0.02121369945699179,0.19297090059884814,0.034219605302986414,0.01569524785675171,0.013726245211237253
80,rbf,0.2,0.020602751223658754,0.1781487091926699,0.032515281689583626,0.015567686796899828,0.013725285184492807
80,rbf_linear,0.05,0.04707245728014014,0.046005555192713925,0.0417687815324855,0.016646363258152833,0.08280222704978207
80,rbf_linear,0.1,0.04537179513144579,0.04477536498435822,0.03656535746777319,0.01664397793645051,0.08290604999011367
80,rbf_linear,0.2,0.04709942875621808,0.044783827142946875,0.04186518164271726,0.01653346744104362,0.08289963718489335
