timestamp,phase,experiment_id,feature_set,model,preprocessing,strategy,n_features,angle_mse_cv,depth_mse_cv,left_right_mse_cv,scaled_mse_cv,scaled_mse_std,hyperparams
2026-01-23T14:11:32.023326,1,P1_F3_M1,F3,M1,P1,S2,126,0.026804734314125868,0.03358444344238933,0.017414561620233998,0.025934579792249734,0.007386692373279544,"{""n_estimators"": 500, ""num_leaves"": 20, ""learning_rate"": 0.02, ""max_depth"": -1, ""subsample"": 0.7, ""colsample_bytree"": 0.7, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""min_child_samples"": 10, ""random_state"": 42, ""verbose"": -1, ""n_jobs"": -1}"
2026-01-23T14:11:50.468037,1,P1_F3_M3,F3,M3,P1,S2,126,0.029849755273883293,0.03188909845311947,0.01742356743035194,0.026387473719118232,0.008445037432382358,"{""n_estimators"": 500, ""max_depth"": 5, ""learning_rate"": 0.02, ""subsample"": 0.7, ""colsample_bytree"": 0.7, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""min_child_weight"": 3, ""random_state"": 42, ""tree_method"": ""hist"", ""n_jobs"": -1, ""verbosity"": 0}"
2026-01-23T14:12:34.221622,1,P1_F3_M5,F3,M5,P1,S2,126,0.028599976405304196,0.02437351682897127,0.015805583540318274,0.02292635892486458,0.009996633488858216,"{""iterations"": 500, ""depth"": 6, ""learning_rate"": 0.03, ""l2_leaf_reg"": 3.0, ""random_seed"": 42, ""verbose"": false, ""thread_count"": -1}"
2026-01-23T14:13:13.565278,1,P1_F4_M1,F4,M1,P1,S2,132,0.02609329860041622,0.03216295608859153,0.017897164671809816,0.025384473120272526,0.007677166554646598,"{""n_estimators"": 500, ""num_leaves"": 20, ""learning_rate"": 0.02, ""max_depth"": -1, ""subsample"": 0.7, ""colsample_bytree"": 0.7, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""min_child_samples"": 10, ""random_state"": 42, ""verbose"": -1, ""n_jobs"": -1}"
2026-01-23T14:13:31.447267,1,P1_F4_M3,F4,M3,P1,S2,132,0.02962257800723876,0.02930594929439558,0.01819733564197292,0.025708620981202423,0.00859631623213569,"{""n_estimators"": 500, ""max_depth"": 5, ""learning_rate"": 0.02, ""subsample"": 0.7, ""colsample_bytree"": 0.7, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""min_child_weight"": 3, ""random_state"": 42, ""tree_method"": ""hist"", ""n_jobs"": -1, ""verbosity"": 0}"
2026-01-23T14:14:17.947068,1,P1_F4_M5,F4,M5,P1,S2,132,0.027638505521959567,0.024610489329415418,0.015729220029618567,0.022659404960331184,0.009917779774287818,"{""iterations"": 500, ""depth"": 6, ""learning_rate"": 0.03, ""l2_leaf_reg"": 3.0, ""random_seed"": 42, ""verbose"": false, ""thread_count"": -1}"
2026-01-23T14:28:37.154777,1,P1_F3_M1,F3,M1,P1,S2,126,0.026804734314125868,0.03358444344238933,0.017414561620233998,0.025934579792249734,0.007386692373279544,"{""n_estimators"": 500, ""num_leaves"": 20, ""learning_rate"": 0.02, ""max_depth"": -1, ""subsample"": 0.7, ""colsample_bytree"": 0.7, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""min_child_samples"": 10, ""random_state"": 42, ""verbose"": -1, ""n_jobs"": -1}"
2026-01-23T14:28:50.734780,1,P1_F3_M3,F3,M3,P1,S2,126,0.029849755273883293,0.03188909845311947,0.01742356743035194,0.026387473719118232,0.008445037432382358,"{""n_estimators"": 500, ""max_depth"": 5, ""learning_rate"": 0.02, ""subsample"": 0.7, ""colsample_bytree"": 0.7, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""min_child_weight"": 3, ""random_state"": 42, ""tree_method"": ""hist"", ""n_jobs"": -1, ""verbosity"": 0}"
2026-01-23T14:29:19.750043,1,P1_F3_M5,F3,M5,P1,S2,126,0.028599976405304196,0.02437351682897127,0.015805583540318274,0.02292635892486458,0.009996633488858216,"{""iterations"": 500, ""depth"": 6, ""learning_rate"": 0.03, ""l2_leaf_reg"": 3.0, ""random_seed"": 42, ""verbose"": false, ""thread_count"": -1}"
2026-01-23T14:29:35.466444,1,P1_F4_M1,F4,M1,P1,S2,132,0.02609329860041622,0.03216295608859153,0.017897164671809816,0.025384473120272526,0.007677166554646598,"{""n_estimators"": 500, ""num_leaves"": 20, ""learning_rate"": 0.02, ""max_depth"": -1, ""subsample"": 0.7, ""colsample_bytree"": 0.7, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""min_child_samples"": 10, ""random_state"": 42, ""verbose"": -1, ""n_jobs"": -1}"
2026-01-23T14:29:49.351558,1,P1_F4_M3,F4,M3,P1,S2,132,0.02962257800723876,0.02930594929439558,0.01819733564197292,0.025708620981202423,0.00859631623213569,"{""n_estimators"": 500, ""max_depth"": 5, ""learning_rate"": 0.02, ""subsample"": 0.7, ""colsample_bytree"": 0.7, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""min_child_weight"": 3, ""random_state"": 42, ""tree_method"": ""hist"", ""n_jobs"": -1, ""verbosity"": 0}"
2026-01-23T14:30:22.874566,1,P1_F4_M5,F4,M5,P1,S2,132,0.027638505521959567,0.024610489329415418,0.015729220029618567,0.022659404960331184,0.009917779774287818,"{""iterations"": 500, ""depth"": 6, ""learning_rate"": 0.03, ""l2_leaf_reg"": 3.0, ""random_seed"": 42, ""verbose"": false, ""thread_count"": -1}"
2026-01-23T14:45:40.898843,2,P2_F1_P1,F1,M5,P1,S2,3116,0.040641306891606395,0.02503843316962101,0.014879217251839622,0.026852985771022343,0.016166205689500304,
2026-01-23T15:02:08.902095,2,P2_F1_P1,F1,M5,P1,S2,3116,0.040641306891606395,0.02503843316962101,0.014879217251839622,0.026852985771022343,0.016166205689500304,
2026-01-23T15:11:38.159362,2,P2_F2_P1,F2,M5,P1,S2,38,0.043272673665193946,0.021362961118332486,0.015280102283088117,0.026638579022204855,0.012920465142508776,
2026-01-23T15:11:59.589958,2,P2_F2_P2,F2,M5,P2,S2,38,0.04461091094020504,0.020784060463545417,0.015504479918024266,0.02696648377392491,0.013415081330311395,
2026-01-23T15:12:34.618348,2,P2_F3_P1,F3,M5,P1,S2,126,0.028599976405304196,0.02437351682897127,0.015805583540318274,0.02292635892486458,0.009996633488858216,
2026-01-23T15:13:32.536777,2,P2_F3_P2,F3,M5,P2,S2,126,0.027667599746130655,0.024588491889112378,0.015763653474642664,0.0226732483699619,0.00921680300874982,
2026-01-23T15:14:15.490989,2,P2_F4_P1,F4,M5,P1,S2,132,0.027638505521959567,0.024610489329415418,0.015729220029618567,0.022659404960331184,0.009917779774287818,
2026-01-23T15:15:14.364586,2,P2_F4_P2,F4,M5,P2,S2,132,0.02743801494585103,0.021487200813845697,0.016422754380578095,0.021782656713424938,0.009835573926011731,
2026-01-23T15:16:08.214235,2,P2_F5_P1,F5,M5,P1,S2,132,0.027638505521959567,0.024610489329415418,0.015729220029618567,0.022659404960331184,0.009917779774287818,
2026-01-23T15:17:09.402305,2,P2_F5_P2,F5,M5,P2,S2,132,0.02743801494585103,0.021487200813845697,0.016422754380578095,0.021782656713424938,0.009835573926011731,
2026-01-23T15:18:12.895257,2,P2_F6_P1,F6,M5,P1,S2,133,0.042986121326777045,0.021622185278498584,0.015439386578962008,0.026682564394745884,0.01402703977940599,
