combination,target,cv_mse,n_features
All features,angle,0.0640482465304424,37
All features,depth,0.018425029399937766,37
All features,left_right,0.016973081478837762,37
Top correlated,angle,0.046917864629662395,23
Top correlated,depth,0.023053915300360755,23
Top correlated,left_right,0.017063762012902463,23
V1+V4 (velocity),angle,0.044413177424153294,14
V1+V4 (velocity),depth,0.03259173376814632,14
V1+V4 (velocity),left_right,0.017221967010225048,14
V5+V6 (position+trajectory),angle,0.09949906156029034,9
V5+V6 (position+trajectory),depth,0.018912401546588825,9
V5+V6 (position+trajectory),left_right,0.01566521220192508,9
Launch angle only,angle,0.05139640476907761,5
Launch angle only,depth,0.021528615970514094,5
Launch angle only,left_right,0.015751375063055434,5
