feature,target,correlation,abs_corr
v2_launch_angle,angle,-0.6114725910371048,0.6114725910371048
v2_launch_angle,depth,0.1720416048599816,0.1720416048599816
v2_launch_angle,left_right,0.028438085386103176,0.028438085386103176
v4_right_elbow_vz,angle,-0.42730879061040306,0.42730879061040306
v4_right_elbow_vz,depth,0.219675938099392,0.219675938099392
v4_right_elbow_vz,left_right,0.014541887893288825,0.014541887893288825
v7_angle_nba_percentile,angle,-0.4434368695020741,0.4434368695020741
v7_angle_nba_percentile,depth,0.0076803526033090265,0.0076803526033090265
v7_angle_nba_percentile,left_right,0.032465746069551105,0.032465746069551105
v3_peak_accel,angle,-0.13175721211079558,0.13175721211079558
v3_peak_accel,depth,-0.047339552590283586,0.047339552590283586
v3_peak_accel,left_right,-0.05562070562033467,0.05562070562033467
v2_avg_speed,angle,0.11635723188216344,0.11635723188216344
v2_avg_speed,depth,0.08867466488450425,0.08867466488450425
v2_avg_speed,left_right,-0.013926923569033882,0.013926923569033882
v3_accel_at_release,angle,-0.15568976227185166,0.15568976227185166
v3_accel_at_release,depth,0.010544100157719834,0.010544100157719834
v3_accel_at_release,left_right,-0.026252934794658206,0.026252934794658206
v5_release_height,angle,-0.37295729810387984,0.37295729810387984
v5_release_height,depth,0.1287625354772313,0.1287625354772313
v5_release_height,left_right,0.047039002839234345,0.047039002839234345
v6_path_length_ratio,angle,-0.320602605493661,0.320602605493661
v6_path_length_ratio,depth,-0.1772525422750216,0.1772525422750216
v6_path_length_ratio,left_right,-0.11350524904469776,0.11350524904469776
v1_vz,angle,-0.39259926506963666,0.39259926506963666
v1_vz,depth,0.20089392448490687,0.20089392448490687
v1_vz,left_right,0.025321895824531628,0.025321895824531628
v1_speed,angle,0.06710022425357047,0.06710022425357047
v1_speed,depth,0.11215822797304692,0.11215822797304692
v1_speed,left_right,-0.012549682033209893,0.012549682033209893
v6_max_curvature,angle,0.018545564089044557,0.018545564089044557
v6_max_curvature,depth,-0.12158776804924235,0.12158776804924235
v6_max_curvature,left_right,-0.06999826887373892,0.06999826887373892
v5_wrist_above_shoulder,angle,-0.2284818028209052,0.2284818028209052
v5_wrist_above_shoulder,depth,0.0848292219731181,0.0848292219731181
v5_wrist_above_shoulder,left_right,0.0450284488597874,0.0450284488597874
v2_avg_vz,angle,-0.37891748941344777,0.37891748941344777
v2_avg_vz,depth,0.19994136627177636,0.19994136627177636
v2_avg_vz,left_right,0.025431577951741693,0.025431577951741693
v1_launch_angle,angle,-0.6100290693706001,0.6100290693706001
v1_launch_angle,depth,0.14841337898048443,0.14841337898048443
v1_launch_angle,left_right,0.029058296387786477,0.029058296387786477
v4_right_shoulder_speed,angle,-0.3860888817507556,0.3860888817507556
v4_right_shoulder_speed,depth,0.1827936036243406,0.1827936036243406
v4_right_shoulder_speed,left_right,0.06925018199632542,0.06925018199632542
v4_right_shoulder_vz,angle,-0.4937314664383479,0.4937314664383479
v4_right_shoulder_vz,depth,0.2668977149208095,0.2668977149208095
v4_right_shoulder_vz,left_right,0.02127324378649416,0.02127324378649416
v4_right_wrist_speed,angle,0.06710022425357047,0.06710022425357047
v4_right_wrist_speed,depth,0.11215822797304692,0.11215822797304692
v4_right_wrist_speed,left_right,-0.012549682033209893,0.012549682033209893
v7_angle_in_optimal,angle,-0.132683444893544,0.132683444893544
v7_angle_in_optimal,depth,0.17752256312119544,0.17752256312119544
v7_angle_in_optimal,left_right,-0.03345215808214548,0.03345215808214548
v4_launch_angle,angle,-0.6100290693706001,0.6100290693706001
v4_launch_angle,depth,0.14841337898048443,0.14841337898048443
v4_launch_angle,left_right,0.029058296387786477,0.029058296387786477
v2_consistency,angle,-0.21924082179992035,0.21924082179992035
v2_consistency,depth,-0.03736606215896547,0.03736606215896547
v2_consistency,left_right,-0.02619361721327356,0.02619361721327356
v4_right_elbow_speed,angle,0.00701768133275172,0.00701768133275172
