feature_set,target,cv_mse,n_features
V1: Basic velocity,angle,0.0326771946765224,5
V1: Basic velocity,depth,0.023411560527984036,5
V1: Basic velocity,left_right,0.01675581205720931,5
V2: Multi-window velocity,angle,0.03771295357383075,5
V2: Multi-window velocity,depth,0.021991916671255763,5
V2: Multi-window velocity,left_right,0.016665620810939197,5
V3: Acceleration-based,angle,0.049229827078929075,5
V3: Acceleration-based,depth,0.020231982255228563,5
V3: Acceleration-based,left_right,0.015216014179699065,5
V4: Multi-joint velocity,angle,0.041072859907233514,9
V4: Multi-joint velocity,depth,0.024666593598030286,9
V4: Multi-joint velocity,left_right,0.020549786046152395,9
V5: Position features,angle,0.09126989921572294,4
V5: Position features,depth,0.020129108951335697,4
V5: Position features,left_right,0.01533348622476204,4
V6: Trajectory features,angle,0.10245031060771348,5
V6: Trajectory features,depth,0.01807173741784715,5
V6: Trajectory features,left_right,0.015635560367880868,5
V7: NBA comparison,angle,0.028346954416106844,4
V7: NBA comparison,depth,0.016642806262723395,4
V7: NBA comparison,left_right,0.01417148519119355,4
