test,config,angle,depth,left_right,total
novel_only,ridge_alpha10,0.01069133546617296,0.010232168530660963,0.01540140900760889,0.012108304334814272
novel_only,ridge_alpha100,0.0078117688496907554,0.009328820537817991,0.012179069221019745,0.009773219536176164
novel_only,ridge_alpha1000,0.007435640229119195,0.012398958746808457,0.013503359630703926,0.011112652868877193
novel_only,lgb,0.007397641075981988,0.008636977937486436,0.012475063093006611,0.009503227368825012
baseline_only,ridge_alpha100,0.008130158848232693,0.008240580829092705,0.013255810365080833,0.009875516680802077
baseline_only,lgb,0.0074862824545966255,0.009482004204574896,0.011159362271428108,0.009375882976866543
combined,ridge_alpha10,0.010065855450100369,0.00927496497052597,0.01565295271575451,0.011664591045460283
combined,ridge_alpha100,0.008424688445197212,0.007836194265456427,0.01293000765144825,0.009730296787367296
combined,ridge_alpha1000,0.0073738172319200304,0.008737050486800351,0.012307412922382355,0.009472760213700913
combined,lgb,0.007604431046379937,0.008642516168607336,0.011087867431342602,0.009111604882109959
