experiment_name,timestamp,phase,model_type,feature_set,n_features,angle_mse,depth_mse,left_right_mse,total_scaled_mse,training_time_seconds,per_player,per_target,notes,error_message,hyperparams
baseline_f4_global,2026-01-28T21:26:06.289421,1_baselines,lgbm,f4_hybrid,132,0.007155665123502263,0.029802305269988005,0.018291203395841015,0.018416391263110427,7.1,False,False,,,"{""n_estimators"": 300, ""num_leaves"": 20, ""learning_rate"": 0.02, ""subsample"": 0.7, ""colsample_bytree"": 0.7, ""reg_lambda"": 1.0, ""verbose"": -1, ""n_jobs"": -1, ""random_state"": 42}"
baseline_f4_per_player,2026-01-28T21:26:12.927608,1_baselines,lgbm,f4_hybrid,132,0.007155665123502263,0.029802305269988005,0.018291203395841015,0.018416391263110427,6.6,True,False,,,"{""n_estimators"": 300, ""num_leaves"": 20, ""learning_rate"": 0.02, ""subsample"": 0.7, ""colsample_bytree"": 0.7, ""reg_lambda"": 1.0, ""verbose"": -1, ""n_jobs"": -1, ""random_state"": 42}"
baseline_raw_ridge,2026-01-28T21:26:14.294881,1_baselines,ridge,raw_flattened,49680,0.06906391989714479,0.12277973554689595,0.05425096050100593,0.08203153864834889,1.4,False,False,,,"{""alpha"": 1.0}"
baseline_pca50_ridge,2026-01-28T21:26:14.586704,1_baselines,ridge,pca_50,50,0.0605110231271272,0.140885908918909,0.0958257600067851,0.09907423068427378,0.3,False,False,,,"{""alpha"": 1.0, ""pca_components"": 50}"
feat_f4_hybrid,2026-01-28T21:26:46.020149,2_feature_types,lgbm,f4_hybrid,132,0.007155665123502263,0.029802305269988005,0.018291203395841015,0.018416391263110427,6.7,False,False,F4 hybrid features,,"{""n_estimators"": 300, ""num_leaves"": 20, ""learning_rate"": 0.02, ""subsample"": 0.7, ""colsample_bytree"": 0.7, ""reg_lambda"": 1.0, ""verbose"": -1, ""n_jobs"": -1, ""random_state"": 42}"
feat_velocity,2026-01-28T21:26:53.524657,2_feature_types,lgbm,velocity,378,0.040730661219654754,0.03707968272548967,0.01710595919252778,0.0316387677125574,7.5,False,False,Velocity only,,"{""n_estimators"": 300, ""num_leaves"": 20, ""learning_rate"": 0.02, ""subsample"": 0.7, ""colsample_bytree"": 0.7, ""reg_lambda"": 1.0, ""verbose"": -1, ""n_jobs"": -1, ""random_state"": 42}"
feat_acceleration,2026-01-28T21:27:02.202618,2_feature_types,lgbm,acceleration,378,0.03840024335404361,0.021366421394537354,0.014547732796151068,0.02477146584824401,8.7,False,False,Acceleration only,,"{""n_estimators"": 300, ""num_leaves"": 20, ""learning_rate"": 0.02, ""subsample"": 0.7, ""colsample_bytree"": 0.7, ""reg_lambda"": 1.0, ""verbose"": -1, ""n_jobs"": -1, ""random_state"": 42}"
feat_jerk,2026-01-28T21:27:09.467938,2_feature_types,lgbm,jerk,126,0.04255713387319379,0.01880598782816959,0.01598653328244475,0.025783218327936046,7.3,False,False,Jerk only,,"{""n_estimators"": 300, ""num_leaves"": 20, ""learning_rate"": 0.02, ""subsample"": 0.7, ""colsample_bytree"": 0.7, ""reg_lambda"": 1.0, ""verbose"": -1, ""n_jobs"": -1, ""random_state"": 42}"
feat_critical_frames,2026-01-28T21:27:15.322789,2_feature_types,lgbm,critical_frames,240,0.02839765296512789,0.020745201291707083,0.017223763581069057,0.022122205945968008,5.9,False,False,Critical frame features,,"{""n_estimators"": 300, ""num_leaves"": 20, ""learning_rate"": 0.02, ""subsample"": 0.7, ""colsample_bytree"": 0.7, ""reg_lambda"": 1.0, ""verbose"": -1, ""n_jobs"": -1, ""random_state"": 42}"
feat_fft,2026-01-28T21:27:24.923817,2_feature_types,lgbm,fft,482,0.0431026278224102,0.027368711032550494,0.01681220056463226,0.029094513139864317,9.6,False,False,FFT frequency features,,"{""n_estimators"": 300, ""num_leaves"": 20, ""learning_rate"": 0.02, ""subsample"": 0.7, ""colsample_bytree"": 0.7, ""reg_lambda"": 1.0, ""verbose"": -1, ""n_jobs"": -1, ""random_state"": 42}"
feat_geometric,2026-01-28T21:27:30.795967,2_feature_types,lgbm,geometric,209,0.03174225785155837,0.020852940989383287,0.016148076275612565,0.02291442503885141,5.9,False,False,Geometric distance features,,"{""n_estimators"": 300, ""num_leaves"": 20, ""learning_rate"": 0.02, ""subsample"": 0.7, ""colsample_bytree"": 0.7, ""reg_lambda"": 1.0, ""verbose"": -1, ""n_jobs"": -1, ""random_state"": 42}"
feat_pca_50,2026-01-28T21:27:35.453662,2_feature_types,lgbm,pca_50,50,0.04726069045651884,0.019973290589206813,0.0161613085099895,0.02779842985190505,4.7,False,False,PCA 50 components,,"{""n_estimators"": 300, ""num_leaves"": 20, ""learning_rate"": 0.02, ""subsample"": 0.7, ""colsample_bytree"": 0.7, ""reg_lambda"": 1.0, ""verbose"": -1, ""n_jobs"": -1, ""random_state"": 42}"
feat_pca_100,2026-01-28T21:27:40.729929,2_feature_types,lgbm,pca_100,100,0.04625589559308399,0.01953404836170143,0.016302067719947112,0.027364003891577515,5.3,False,False,PCA 100 components,,"{""n_estimators"": 300, ""num_leaves"": 20, ""learning_rate"": 0.02, ""subsample"": 0.7, ""colsample_bytree"": 0.7, ""reg_lambda"": 1.0, ""verbose"": -1, ""n_jobs"": -1, ""random_state"": 42}"
combo_f4_velocity,2026-01-28T21:28:18.028794,3_combinations,lgbm,f4_hybrid+velocity,510,0.008893590974923874,0.033195673076313596,0.016472694872236186,0.01952065297449122,8.7,False,False,F4 + velocity,,"{""n_estimators"": 300, ""num_leaves"": 20, ""learning_rate"": 0.02, ""subsample"": 0.7, ""colsample_bytree"": 0.7, ""reg_lambda"": 1.0, ""verbose"": -1, ""n_jobs"": -1, ""random_state"": 42}"
combo_f4_critical,2026-01-28T21:28:26.094623,3_combinations,lgbm,f4_hybrid+critical_frames,372,0.009345858018650743,0.02156809456782114,0.01759169629929242,0.016168549628588103,8.1,False,False,F4 + critical frames,,"{""n_estimators"": 300, ""num_leaves"": 20, ""learning_rate"": 0.02, ""subsample"": 0.7, ""colsample_bytree"": 0.7, ""reg_lambda"": 1.0, ""verbose"": -1, ""n_jobs"": -1, ""random_state"": 42}"
