feature,importance_mean,importance_std,target,player_id,rank
phase_setup_mid_hip_vel_mean,0.1815979254199192,0.018053743168840692,angle,1,1
angle_f153_right_small_toe_vz,0.142357946629636,0.017063624914902483,angle,1,2
right_wrist_z_q25,0.1341832224978134,0.013039562599435308,angle,1,3
lr_f237_right_ankle_x,0.11851072951685637,0.02198998514335712,angle,1,4
right_knee_z_q25,0.11368423595558852,0.018639060679309465,angle,1,5
wrist_snap_angle,0.08759568638633937,0.016334622512979603,angle,1,6
angle_f153_right_knee_vz,0.0819060769630596,0.009522883933935212,angle,1,7
phase_load_mid_hip_vel_mean,0.06707383065950126,0.00531894994947003,angle,1,8
angle_f153_left_ankle_vz,0.06501787721645087,0.005902362954681454,angle,1,9
angle_f153_left_small_toe_vz,0.05899472467135638,0.0074833656699728555,angle,1,10
elbow_alignment,0.05668896965216845,0.004867669087791708,angle,1,11
depth_f102_left_second_finger_pip_y,0.05573642447125167,0.004177254699584651,angle,1,12
phase_setup_mid_hip_z_range,0.053380302037112415,0.005531629570216778,angle,1,13
angle_f153_left_hip_z,0.05306643925141543,0.0029288810447899325,angle,1,14
depth_f102_right_elbow_vel_mag,0.052961218054406345,0.00747298667894907,angle,1,15
angle_f153_left_small_toe_z,0.052916843141429123,0.0056190785173556405,angle,1,16
phase_propulsion_right_elbow_vel_max,0.04947578019928187,0.007276655256511985,angle,1,17
angle_f153_left_big_toe_z,0.048848056118004024,0.00397505599412965,angle,1,18
angle_window_left_knee_z_std,0.048593733157031235,0.005977603624006146,angle,1,19
depth_f102_right_shoulder_vel_mag,0.04653450183104724,0.005435317708089544,angle,1,20
phase_propulsion_mid_hip_vel_max,0.3263214597478509,0.04216971346075731,angle,2,1
left_wrist_z_std,0.2859272802248597,0.03654456923566019,angle,2,2
phase_propulsion_right_knee_vel_max,0.2821462104097009,0.035273427212373754,angle,2,3
right_wrist_vel_min,0.26496132705360653,0.021895707824982322,angle,2,4
angle_window_right_knee_z_std,0.25658706221729516,0.016480085331966432,angle,2,5
right_wrist_z_q75,0.20531298015266658,0.030580297943000073,angle,2,6
lr_elbow_deviation_f237,0.1960913384333253,0.017309344713443187,angle,2,7
lr_f237_left_ankle_x,0.1843035811558366,0.019764575481922588,angle,2,8
right_knee_z_q25,0.1794020587578416,0.01556331737602855,angle,2,9
right_elbow_vel_max_time,0.1665859052911401,0.01683679163220819,angle,2,10
right_knee_vel_max_time,0.15985611621290446,0.018538707882693187,angle,2,11
angle_f153_right_knee_vz,0.15074563417583703,0.016793002301510665,angle,2,12
phase_load_right_knee_vel_max,0.1352124521508813,0.016517758102830758,angle,2,13
phase_setup_right_elbow_vel_max,0.1322844171896577,0.014303748514364082,angle,2,14
wrist_jerk_mean,0.12918533850461245,0.006757029456896991,angle,2,15
phase_setup_mid_hip_vel_max,0.12155280131846666,0.02373192463289299,angle,2,16
right_elbow_z_q75,0.11030531693249941,0.016795453553656817,angle,2,17
angle_f153_right_big_toe_y,0.10187655556946992,0.005187367831434204,angle,2,18
neck_z_std,0.09975020308047533,0.013237403365106426,angle,2,19
angle_f153_right_ankle_y,0.09772020224481821,0.0061867572871171506,angle,2,20
neck_z_max,0.4347938555292785,0.04790959879495932,angle,3,1
left_wrist_z_max,0.3742912727408111,0.03482467289333346,angle,3,2
mid_hip_z_max,0.2914328697137535,0.04916303700935587,angle,3,3
right_elbow_z_q25,0.2799729797057807,0.026426402027378514,angle,3,4
right_elbow_vel_load_mean,0.2473392623476684,0.026376438496276532,angle,3,5
phase_load_right_elbow_vel_mean,0.24549261210486292,0.026213282975093486,angle,3,6
phase_setup_mid_hip_z_range,0.2387672352604568,0.019317390359463334,angle,3,7
phase_propulsion_mid_hip_vel_max,0.23685068814083934,0.020522824007128772,angle,3,8
right_wrist_z_min,0.2362736719660461,0.01666873869552499,angle,3,9
acceleration_at_release,0.21105729518458247,0.023524049127021267,angle,3,10
phase_setup_mid_hip_z_mean,0.18063796488568187,0.023430869485633315,angle,3,11
lr_hip_x_setup,0.16454951642081142,0.01857826404927672,angle,3,12
depth_f102_left_third_finger_pip_x,0.1620981010608375,0.010512622547476215,angle,3,13
angle_f153_left_big_toe_z,0.16168065695092082,0.01883248346225599,angle,3,14
right_wrist_z_range,0.15900161443278193,0.011858505735579743,angle,3,15
right_wrist_vel_min,0.15630923537537456,0.03012622707428663,angle,3,16
phase_setup_right_wrist_vel_max,0.14186657248064877,0.014827140751976834,angle,3,17
hip_lateral_range,0.12633468462154268,0.015954746677371186,angle,3,18
right_elbow_vel_min,0.1230276401154697,0.014982874512627899,angle,3,19
