Target,Player,Baseline R²,Generic R²,Optimal R²,Best,Optimal Beats Baseline
angle,1,-1.8379938651896666,-0.4697633028030396,0.10699814558029175,Optimal,True
angle,2,-0.9772866105078801,-0.5896143794059754,0.05800708532333374,Optimal,True
angle,3,-3.036521893383294,-0.6461097836494446,0.001862013339996338,Optimal,True
angle,4,-0.23000501418362793,-0.15131598711013794,0.0776087760925293,Optimal,True
angle,5,-3.1090178007776723,-0.4471163868904114,-0.175909161567688,Optimal,True
depth,1,0.18619179790140042,-0.3397534847259521,0.06408636569976807,Baseline,False
depth,2,-4.909230708638523,0.18673198223114013,0.1928882360458374,Optimal,True
depth,3,-4.0224528367468135,0.21033072471618652,0.15948691368103027,Generic,True
depth,4,0.31933198458610956,0.4385455846786499,0.3694234609603882,Generic,True
depth,5,0.5107183820046222,0.4482342004776001,0.6245870590209961,Optimal,True
left_right,1,-0.09205354719762977,-2.154868948459625,-0.2082151412963867,Baseline,False
left_right,2,-1.4840328632538182,0.1933644413948059,-0.2392532467842102,Generic,True
left_right,3,-1.435259773085089,-0.36246955394744873,-0.16539599895477294,Optimal,True
left_right,4,-0.5444941630053515,0.09471161365509033,-0.025890815258026122,Generic,True
left_right,5,-0.20706028407498436,-0.489494776725769,-0.15843757390975952,Optimal,True
