target,player,mse,r2,model,n_features,n_samples
angle,1,1.1983911212966112,0.28419311945039516,ridge,18,70
angle,2,3.163560622224891,0.24977596229240107,ridge,9,66
angle,3,2.2399987665247703,0.155223207317147,ridge,6,68
angle,4,4.967592716298271,0.3105832626782984,ridge,6,67
angle,5,11.615171302251198,0.29939437355417475,ridge,21,74
depth,1,7.508895686878688,0.6318130811915823,ridge,9,70
depth,2,8.435777218687672,0.5284812784472634,ridge,6,66
depth,3,2.8987581483350118,0.4546956389729252,rf,6,68
depth,4,12.369971418053716,0.46707473849117187,rf,15,67
depth,5,17.859670619995462,0.7281245578641937,ridge,3,74
left_right,1,14.056591952368452,0.16198319378444437,lgb,15,70
left_right,2,3.676018054094458,0.7337884138238764,ridge,21,66
left_right,3,3.57361752233979,0.5545327923626716,lgb,30,68
left_right,4,10.36059212574802,0.3202574588102336,ridge,6,67
left_right,5,10.51106806438727,0.38547251374043745,rf,6,74
