target,player,n_samples,physics_r2,physics_n_feats,sub9_ridge_r2,sub9_ensemble_r2,sub9_n_feats,diff_vs_ensemble
angle,1,70,0.12966733693104082,12,-1.958754617438219,-0.15290400427421935,362,0.2825713412052602
angle,2,66,0.2500215810041678,6,-1.264159026892547,-0.011768783702152508,362,0.26179036470632033
angle,3,68,0.155223207317147,6,-4.18797068141396,-0.381433117029609,362,0.536656324346756
angle,4,67,0.3105832626782984,6,0.09005767436954037,0.25190185402174603,362,0.05868140865655236
angle,5,74,0.29939437355417475,21,-7.297651738005561,-0.8512371503191756,362,1.1506315238733502
depth,1,70,0.6318130811915823,9,0.286752612065327,0.5696509772880752,362,0.06216210390350707
depth,2,66,0.5284812784472634,6,-1.3583124543279692,0.26870006019300263,362,0.2597812182542608
depth,3,68,0.4546956389729252,6,-0.37026586933675487,0.19265905557877105,362,0.26203658339415414
depth,4,67,0.46707473849117187,15,-3.0504456500617074,-0.4065641950193044,362,0.8736389335104763
depth,5,74,0.7281245578641937,3,-1.3164910151321552,-1.4867798145268991,362,2.214904372391093
left_right,1,70,0.13367905302484373,12,-0.36181097970491427,-0.01832771046031212,362,0.15200676348515585
left_right,2,66,0.7337884138238764,21,-1.8755004475177475,-0.26747298928636165,362,1.001261403110238
left_right,3,68,0.5712966189219342,24,-24.61233913927235,-0.37030255910442866,362,0.9415991780263628
left_right,4,67,0.3202574588102336,6,-2.3642683653227365,-0.04628042292948997,362,0.36653788173972357
left_right,5,74,0.38547251374043745,6,-15.858893735520752,-0.22152186976349153,362,0.606994383503929
