feature,correlation
phase_propulsion_right_elbow_vel_max,0.39727917
lr_f237_left_hip_x,-0.3184436
lr_f237_right_ankle_x,-0.31141412
lr_f237_mid_hip_x,-0.31119725
angle_f153_left_knee_angle,0.30950826
lr_f237_right_hip_x,-0.2994063
depth_f102_left_third_finger_mcp_y,-0.28166294
lr_f237_left_ankle_x,-0.27889812
depth_f102_left_first_finger_cmc_y,-0.27453837
depth_window_right_wrist_y_std,0.27097303
phase_follow_mid_hip_vel_max,0.26513666
angle_f153_left_small_toe_z,-0.26436454
depth_f102_left_first_finger_mcp_y,-0.26195347
depth_f102_left_thumb_y,-0.26195347
left_wrist_z_energy,0.26178968
phase_load_mid_hip_vel_max,0.26075917
neck_z_energy,0.2553301
