feature,correlation,p_value
phase_propulsion_right_elbow_vel_max,0.39727917,0.00066082884
lr_f237_left_hip_x,-0.3184436,0.007217355
lr_f237_right_ankle_x,-0.31141412,0.0086861625
lr_f237_mid_hip_x,-0.31119725,0.008735349
angle_f153_left_knee_angle,0.30950826,0.009126857
lr_f237_right_hip_x,-0.2994063,0.0118036885
depth_f102_left_third_finger_mcp_y,-0.28166294,0.01816827
lr_f237_left_ankle_x,-0.27889812,0.019386604
depth_f102_left_first_finger_cmc_y,-0.27453837,0.02144936
depth_window_right_wrist_y_std,0.27097303,0.023272479
phase_follow_mid_hip_vel_max,0.26513666,0.026540253
angle_f153_left_small_toe_z,-0.26436454,0.027000358
depth_f102_left_first_finger_mcp_y,-0.26195347,0.028480401
depth_f102_left_thumb_y,-0.26195347,0.028480401
left_wrist_z_energy,0.26178968,0.028583381
phase_load_mid_hip_vel_max,0.26075917,0.029238528
neck_z_energy,0.2553301,0.032901984
lr_hip_x_range,0.25396317,0.033882577
left_wrist_z_max,0.25386602,0.033953283
phase_setup_right_knee_vel_max,0.2522508,0.035145458
lr_f237_right_first_finger_mcp_x,-0.2521189,0.035244387
phase_load_right_knee_vel_max,0.25150993,0.03570389
left_wrist_z_std,0.24782464,0.03859266
angle_f153_left_knee_vz,-0.24776489,0.03864112
angle_window_right_knee_z_std,-0.24657273,0.039617162
right_knee_vel_range,0.24629945,0.03984373
right_knee_vel_max,0.24608248,0.040024403
angle_f153_right_heel_x,0.24606545,0.04003863
phase_follow_right_knee_vel_max,0.24349916,0.042228412
lr_hip_x_follow,-0.24280737,0.04283534
depth_f102_left_third_finger_pip_y,-0.242529,0.04308158
right_knee_vel_std,0.24035858,0.04504202
lr_f237_right_second_finger_pip_x,-0.24029052,0.04510467
angle_f153_left_ankle_vz,-0.23918289,0.046134252
depth_f102_left_wrist_y,-0.23841208,0.046862137
lr_f237_right_second_finger_dip_x,-0.23620951,0.048994336
depth_window_left_wrist_y_mean,-0.23463404,0.050567754
lr_f237_right_third_finger_distal_x,-0.23338957,0.05183961
neck_z_range,0.23308195,0.052158073
lr_f237_right_third_finger_dip_x,-0.23185585,0.053443037
angle_window_left_knee_z_std,-0.23110904,0.05423835
lr_f237_right_third_finger_pip_x,-0.230347,0.05505971
left_wrist_z_mean,0.22966486,0.055803675
lr_f237_right_wrist_x,-0.22720864,0.05855019
right_wrist_z_max,0.22664243,0.05919869
mid_hip_z_energy,0.22656257,0.05929049
neck_z_std,0.22556925,0.060443677
depth_f102_left_second_finger_mcp_y,-0.22517377,0.060907878
lr_hip_x_std,0.22439168,0.061834145
mid_hip_z_range,0.21996072,0.067299955
angle_f153_right_ankle_x,0.21943265,0.067976534
right_shoulder_z_range,0.21857844,0.06908238
angle_f153_left_big_toe_z,-0.21649833,0.071835965
right_knee_z_energy,0.21425666,0.07490124
angle_f153_right_knee_angle,0.2120593,0.07800636
right_hip_z_energy,0.21094075,0.07962586
angle_f153_right_small_toe_x,0.20790777,0.08415184
right_elbow_vel_range,0.20646569,0.08637407
depth_f102_right_elbow_z,-0.20609647,0.086950555
right_elbow_vel_max,0.20580114,0.08741367
depth_f102_right_shoulder_y,-0.20578492,0.08743915
lr_f237_right_elbow_x,-0.20485675,0.08890788
angle_f153_right_small_toe_y,-0.20266718,0.0924496
trajectory_straightness,-0.2015655,0.09427314
angle_window_left_ankle_z_std,-0.20131698,0.09468841
right_hip_z_range,0.2006425,0.09582252
depth_f102_right_wrist_vel_mag,0.20043989,0.09616514
left_wrist_z_q75,0.19960795,0.0975826
angle_f153_right_knee_vz,-0.1985968,0.099327244
mid_hip_z_min,-0.19232282,0.11070211
lr_elbow_deviation_f153,0.19113985,0.11295543
angle_f153_right_big_toe_y,-0.19103974,0.11314754
phase_propulsion_mid_hip_vel_mean,0.18939066,0.11635159
phase_propulsion_right_elbow_vel_mean,0.18894863,0.11722212
right_knee_vel_max_time,0.18864489,0.117823206
right_elbow_vel_prop_mean,0.18857966,0.117952555
wrist_acc_smoothness,0.18820179,0.118704304
wrist_jerk_max,0.18785521,0.11939691
depth_f102_right_wrist_y,-0.18703455,0.1210494
right_shoulder_z_energy,0.18587151,0.12342143
neck_z_min,-0.1858192,0.12352899
right_knee_vel_prop_mean,0.1849658,0.1252928
phase_propulsion_right_knee_vel_mean,0.18455051,0.1261582
phase_setup_mid_hip_vel_max,0.18424778,0.12679198
angle_window_right_ankle_z_std,-0.18141425,0.13284083
right_shoulder_z_max,0.18126151,0.13317291
wrist_snap_angle,-0.18094334,0.13386686
depth_f102_left_second_finger_pip_y,-0.17937526,0.13732691
right_knee_vel_mean,0.17936759,0.13734417
depth_f102_left_wrist_z,-0.17878169,0.13865404
right_wrist_vel_std,0.1770527,0.14257507
depth_f102_right_wrist_z,-0.17659411,0.14362891
right_wrist_vel_range,0.17535141,0.14651404
depth_f102_left_first_finger_cmc_z,-0.17480642,0.14779295
right_wrist_vel_max,0.17452733,0.148451
depth_f102_left_second_finger_mcp_z,-0.17445484,0.14862227
right_elbow_vel_std,0.17441748,0.14871049
depth_f102_left_second_finger_pip_z,-0.17403683,0.14961274
depth_f102_left_third_finger_pip_z,-0.17323866,0.15151809
phase_follow_mid_hip_vel_mean,0.1731324,0.15177298
