feature,importance_mean,importance_std
phase_load_mid_hip_vel_max,1.8384577509015798,0.11581743051515976
right_elbow_vel_max_time,1.6309157606214284,0.14730128698445732
phase_propulsion_right_knee_vel_max,1.2339974280446768,0.14949626410188896
phase_setup_mid_hip_z_range,0.9030174549669028,0.09047638751888328
depth_f102_right_wrist_vel_mag,0.873500096425414,0.10728716694181017
knee_bend_depth,0.7825167831033468,0.06670047429821281
right_knee_vel_max_time,0.7585437413305044,0.0842111928274259
right_wrist_vel_min,0.6839294489473104,0.056676628161874014
lr_f237_left_hip_z,0.574987256154418,0.04711246410633586
lr_f237_mid_hip_z,0.5577614184468984,0.04600952982281886
guide_hand_vx,0.5460923191159963,0.07556908189650381
lr_f237_right_hip_z,0.5314575251191854,0.04287738593345224
phase_setup_right_knee_z_mean,0.48916575871407986,0.05440602178181495
angle_f153_left_big_toe_y,0.48481954298913477,0.0741529967288968
left_wrist_z_q25,0.47282192669808865,0.06848328884123474
wrist_snap_angle,0.4671393182128668,0.05026092803897962
mid_hip_z_q25,0.4544207599014044,0.06806371449760049
knee_extension_rate_max,0.4368956442922354,0.06347885250387907
lr_f237_right_ankle_z,0.4315936919301748,0.04062634756821407
angle_f153_right_heel_vz,0.4257600482553244,0.04520924435225003
angle_f153_right_ankle_vz,0.4018701549619436,0.045481562241278584
phase_load_right_elbow_vel_max,0.399262535199523,0.06422013985875781
left_wrist_z_q75,0.39210105799138545,0.04203691626486788
angle_f153_left_small_toe_y,0.3918104197829962,0.05779320435649996
angle_f153_left_ankle_vz,0.344234686717391,0.04093902160018781
right_knee_z_q25,0.32160598002374174,0.02273058221303107
angle_f153_left_ankle_z,0.3087497349828482,0.03132706796133522
release_azimuth_angle,0.30506730638444424,0.036060717890132425
right_knee_z_min,0.3034139867872,0.0362381003306324
phase_setup_right_wrist_vel_max,0.2954742979258299,0.039041896469544285
right_hip_z_q25,0.2922448839992285,0.04321725424654335
depth_f102_right_shoulder_z,0.2883735831826925,0.028011146935553354
phase_setup_right_elbow_z_range,0.28664365969598293,0.030607837163464234
release_vy,0.28432213328778744,0.02897753588189867
phase_setup_mid_hip_z_mean,0.2770608734339476,0.03744202715438556
angle_window_left_ankle_z_std,0.2740555088967085,0.028251231933874268
phase_load_mid_hip_vel_mean,0.2734837766736746,0.04309857368779085
