feature,importance_mean,importance_std
neck_z_q75,3.403474539145827,0.5161878504103597
lr_elbow_deviation_f153,0.977907919511199,0.14626054455949722
right_elbow_vel_max_time,0.5823806758970023,0.04792703112761246
lr_hip_x_setup,0.5644895698875189,0.07628173324102347
phase_setup_mid_hip_vel_max,0.49889475367963315,0.10122968763971056
angle_f153_right_small_toe_vz,0.47663328908383845,0.04435538987756151
right_knee_vel_max_time,0.45925496481359007,0.0513273512085551
left_wrist_z_mean,0.4154705937951803,0.060432363771198525
lateral_offset,0.3868413414806128,0.04610552820872296
lr_f237_right_elbow_z,0.3803599026054144,0.03026464758656902
angle_f153_left_knee_z,0.37239716909825804,0.05542124645135572
neck_z_std,0.362170534953475,0.046539688844954845
right_shoulder_z_mean,0.35270560942590234,0.029040209598398092
angle_window_left_knee_z_mean,0.3425669874995947,0.05174686919791108
wrist_jerk_mean,0.3344467248767614,0.0225629339474859
phase_setup_right_elbow_vel_max,0.32718998454511167,0.03809209637859282
right_wrist_vel_release_mean,0.3057580407708883,0.03005505091307447
phase_follow_right_wrist_vel_mean,0.30381737016141414,0.029844176604605435
left_wrist_z_energy,0.2842151191085577,0.03627591468291004
phase_setup_right_elbow_z_range,0.28295162729918955,0.02978353869310812
angle_f153_left_hip_z,0.2762808006256819,0.04339257036583802
right_wrist_z_max,0.27611940167844296,0.026111461691582117
phase_load_right_knee_vel_max,0.2693914171308279,0.03171551530453482
phase_load_right_wrist_vel_mean,0.2626582782715559,0.043027589161513016
right_wrist_vel_load_mean,0.26191001646220685,0.04293761390414177
phase_follow_right_knee_z_mean,0.2572551738470793,0.01974005565627765
right_shoulder_z_energy,0.25720330886542797,0.020551219015464823
hip_lateral_range,0.2558718990534544,0.026336995814331614
lr_elbow_deviation_f237,0.24510572515428067,0.021141903392519344
set_position_stability,0.21635785065591334,0.024957667051663305
right_hip_z_q75,0.21494127325713636,0.03605075146937535
shoulder_rotation,0.21455128900706769,0.007319686060618643
knee_bend_depth,0.20968831591308118,0.02342511071918348
phase_follow_right_knee_z_range,0.20873296223580837,0.016126338389407552
phase_load_mid_hip_z_mean,0.20856959484517573,0.026565791471130796
right_wrist_vel_mean,0.2084124680608511,0.019976546178560144
phase_propulsion_right_wrist_vel_max,0.20826930664479731,0.023035331182386317
angle_f153_right_big_toe_vz,0.20653761886060237,0.02125263527545358
right_shoulder_z_q25,0.20546358935534953,0.012781045811494317
neck_z_max,0.1991975497454405,0.02808935575965558
right_knee_vel_min,0.19759551547467707,0.019125328821330244
knee_extension_rate_max,0.19526477269828318,0.028980397878956864
