feature,importance_mean,importance_std
neck_z_max,0.4347938555292785,0.04790959879495932
left_wrist_z_max,0.3742912727408111,0.03482467289333346
mid_hip_z_max,0.2914328697137535,0.04916303700935587
right_elbow_z_q25,0.2799729797057807,0.026426402027378514
right_elbow_vel_load_mean,0.2473392623476684,0.026376438496276532
phase_load_right_elbow_vel_mean,0.24549261210486292,0.026213282975093486
phase_setup_mid_hip_z_range,0.2387672352604568,0.019317390359463334
phase_propulsion_mid_hip_vel_max,0.23685068814083934,0.020522824007128772
right_wrist_z_min,0.2362736719660461,0.01666873869552499
acceleration_at_release,0.21105729518458247,0.023524049127021267
phase_setup_mid_hip_z_mean,0.18063796488568187,0.023430869485633315
lr_hip_x_setup,0.16454951642081142,0.01857826404927672
depth_f102_left_third_finger_pip_x,0.1620981010608375,0.010512622547476215
angle_f153_left_big_toe_z,0.16168065695092082,0.01883248346225599
right_wrist_z_range,0.15900161443278193,0.011858505735579743
right_wrist_vel_min,0.15630923537537456,0.03012622707428663
phase_setup_right_wrist_vel_max,0.14186657248064877,0.014827140751976834
hip_lateral_range,0.12633468462154268,0.015954746677371186
right_elbow_vel_min,0.1230276401154697,0.014982874512627899
right_wrist_z_q25,0.12092998055741191,0.011769009592651446
phase_load_mid_hip_vel_max,0.12029527081176639,0.0117080337481501
depth_f102_right_shoulder_z,0.1075878451578319,0.011450903160076414
right_shoulder_z_q25,0.09639777792617679,0.015826861140237396
left_wrist_z_q25,0.0895615111105144,0.006154012040007679
angle_f153_left_ankle_vz,0.08879574639722705,0.010794084381762808
depth_window_left_wrist_y_std,0.0887106659822166,0.00996593246949883
depth_f102_right_shoulder_x,0.08774094237014651,0.009618057438168395
angle_f153_left_big_toe_vz,0.08338097212836146,0.013182723332303081
phase_load_right_knee_z_range,0.08254959313198924,0.010015778100289292
mid_hip_z_q75,0.08132802126929164,0.008179824524607854
depth_f102_left_first_finger_cmc_y,0.07857499374076723,0.009802723015009066
angle_f153_left_hip_x,0.07851057974621653,0.01465687068364257
right_wrist_z_max,0.07712973905727268,0.009129643589200702
right_wrist_vel_load_mean,0.07564795790240168,0.008412693149196081
phase_load_right_wrist_vel_mean,0.07414471833035349,0.008306185363574314
trajectory_straightness,0.0739066849462688,0.007437956970882349
mid_hip_z_range,0.06890909438952804,0.008411236467797121
mid_hip_z_mean,0.06770842401310802,0.005882722676204331
depth_f102_left_third_finger_pip_y,0.06002444205805659,0.009423668158365907
phase_setup_right_elbow_z_range,0.05918577117845416,0.008677790543313479
phase_load_mid_hip_z_mean,0.05909542767331004,0.008797875186340391
depth_f102_right_elbow_vel_mag,0.05697679584845901,0.0059384109567959635
set_point_height,0.05629641888663173,0.007656659597138818
lr_hip_x_release,0.0557279328815639,0.011596956101763185
right_hip_z_q75,0.05519096022471785,0.0054774272489450035
lr_elbow_deviation_f153,0.05463735675439239,0.003595869049397788
phase_load_mid_hip_z_range,0.051854126062244175,0.006195466934065744
angle_f153_right_big_toe_x,0.05001124581322074,0.006697617115623518
neck_z_range,0.046961703803390265,0.003991587284598723
angle_f153_right_small_toe_z,0.04608257217332721,0.0053161171408209204
depth_f102_left_third_finger_mcp_x,0.04545078007504344,0.002852241887035471
depth_f102_left_second_finger_mcp_y,0.044643242564052346,0.006068212108944927
lr_f237_left_ankle_y,0.044375695195049046,0.0042213585480468906
angle_window_right_ankle_z_std,0.043333389516919854,0.003930140053591439
right_knee_vel_min,0.04009078582748771,0.004249119483159531
depth_f102_left_thumb_y,0.03933364367112517,0.005174250901840555
depth_f102_left_first_finger_mcp_y,0.039333642926067114,0.005174255344880791
depth_f102_left_second_finger_pip_x,0.038606759067624806,0.002587782303066223
right_shoulder_z_energy,0.03699103882536292,0.00630345855134787
lr_f237_left_hip_z,0.03514091512188315,0.0028950350388913296
depth_window_right_wrist_y_mean,0.034926891606301066,0.004623754351166204
phase_load_right_elbow_vel_max,0.0323214185424149,0.005310326309944123
phase_load_right_knee_vel_max,0.03175045764073729,0.002233876447804119
phase_load_right_wrist_vel_max,0.031332469265908006,0.0044585230428947275
angle_f153_right_heel_vz,0.03131152791902423,0.00224195906631923
phase_setup_right_knee_z_range,0.03058755276724696,0.0032193514714417967
angle_f153_right_small_toe_y,0.030561718810349702,0.0034208450073281737
angle_f153_left_small_toe_vz,0.030253978725522757,0.00284965231728352
right_knee_z_q75,0.029452757071703674,0.003677223583503807
phase_propulsion_right_elbow_vel_max,0.029367913026362658,0.0035783295708848063
depth_f102_left_first_finger_mcp_x,0.028336239885538815,0.002075362726541673
depth_f102_left_thumb_x,0.028336238395422698,0.0020753610794730605
depth_f102_left_second_finger_mcp_z,0.028031934332102538,0.0034438377267396406
angle_f153_right_knee_angle,0.02787236953154206,0.003974439595379561
angle_f153_right_knee_y,0.027740562800318003,0.0034223315774755433
phase_setup_right_knee_vel_max,0.027579015586525202,0.002019109945703634
depth_f102_right_wrist_y,0.02731450693681836,0.0037289640582443334
right_shoulder_z_max,0.02728398619219661,0.0020520650304129383
angle_f153_right_small_toe_vz,0.026920606661587954,0.004361778875422089
depth_window_left_wrist_y_mean,0.026309858728200197,0.003182601774831979
lr_hip_x_follow,0.025904374849051236,0.004080054463068821
angle_f153_right_heel_y,0.02535967482253909,0.004910659855422441
phase_propulsion_right_wrist_vel_max,0.025223709363490342,0.003200425653560634
lr_f237_left_ankle_z,0.025212977919727562,0.003260249633335945
right_hip_z_mean,0.025113431829959156,0.002503277657404176
angle_f153_left_hip_z,0.02475856663659215,0.0022295862336676885
phase_follow_right_knee_z_mean,0.024446478206664325,0.004333552341013946
phase_setup_right_knee_z_mean,0.024363470915704965,0.003604981324351012
phase_load_mid_hip_vel_mean,0.024099755194038154,0.0029478418407754116
depth_f102_right_shoulder_y,0.024085914064198733,0.0031968135444602258
phase_setup_mid_hip_vel_max,0.023684567492455243,0.0020260500142536227
elbow_height_relative,0.023270502779632808,0.003939160627783853
phase_setup_right_wrist_vel_mean,0.022790421452373266,0.003791884074168139
phase_load_right_knee_z_mean,0.022495666425675152,0.004095956739448095
right_elbow_z_min,0.022165076714009045,0.0038058992779736473
angle_f153_right_ankle_y,0.021877815667539834,0.004222952966747934
right_wrist_vel_prep_mean,0.021848556865006686,0.003642013383311631
lr_f237_right_third_finger_distal_z,0.02134416000917554,0.002540062521183033
phase_propulsion_right_knee_z_range,0.021069519128650425,0.002853953096496885
phase_follow_mid_hip_vel_mean,0.020722738560289146,0.0030030157297011393
angle_window_left_knee_z_std,0.020198066253215075,0.0018574359588812846
depth_f102_left_wrist_y,0.019698423240333794,0.00241168990753945
depth_f102_left_second_finger_pip_y,0.019248755369335412,0.0024470331886339825
angle_f153_mid_hip_x,0.019239650387316943,0.004077349845839044
phase_setup_mid_hip_vel_mean,0.019008917082101107,0.0026211439209821896
right_shoulder_z_range,0.018714199867099525,0.0027863416846928635
right_shoulder_z_mean,0.0185008660890162,0.001717124903605495
left_wrist_z_q75,0.018181731458753347,0.002922461237026495
release_azimuth_angle,0.01817021882161498,0.003718562546365346
angle_f153_left_heel_vz,0.018067825678735973,0.003335164222962909
lr_elbow_deviation_mean,0.017501894477754833,0.002137991969408909
right_hip_z_max,0.01747008031234145,0.0016264295532101016
angle_f153_left_small_toe_z,0.017469487618654966,0.0021070432331599313
release_height_relative,0.01737936297431588,0.0024796425827353415
phase_setup_right_wrist_z_mean,0.017051475029438733,0.0021122943081660337
depth_f102_left_third_finger_mcp_z,0.016628687176853417,0.0022794377971120275
depth_f102_left_second_finger_mcp_x,0.016570235695689918,0.001635360407567402
phase_load_right_wrist_z_mean,0.016396299097687007,0.0019178470801597537
lr_f237_right_ankle_y,0.016239055898040533,0.005313260231918057
depth_f102_right_shoulder_vel_mag,0.0158783714286983,0.002959965731222174
wrist_snap_angle,0.015472072828561067,0.0025983705583907304
right_wrist_z_q75,0.015340312290936709,0.0024690581801370542
right_shoulder_z_std,0.015220718737691642,0.0022874760888447194
right_knee_z_q25,0.014686582516878844,0.0022221972604527674
