n_base_features,alpha,baseline_lopo,poly2_lopo,improvement_pct,baseline_angle,baseline_depth,baseline_lr,poly2_angle,poly2_depth,poly2_lr
10,50,0.03929786407607826,0.0869141236529159,-121.16755120495984,0.07817045271488564,0.0240626138467225,0.015660525666626634,0.05107976750920282,0.11596487825422959,0.09369772519531529
10,100,0.0333372135995029,0.05959647524372622,-78.76861563683558,0.0623824623153024,0.022368885805055378,0.015260292678150916,0.04835264340452653,0.07175709153144856,0.05867969079520358
10,200,0.028570718475596505,0.04033749375576375,-41.18473705943994,0.05043352360972535,0.02036564062064128,0.014912991196422897,0.04528723889652203,0.042293290427760186,0.03343195194300903
10,500,0.024738175018410528,0.027896007152347097,-12.76501654461763,0.04123119349535697,0.018419216569233038,0.014564114990641577,0.04144154622028077,0.024129398698181516,0.018117076538579018
15,50,0.04324702216063576,0.06564529156566053,-51.79147207368208,0.087699247393083,0.025408007157122308,0.016633811931701967,0.05152555392697026,0.0743831716607181,0.07102714910929324
15,100,0.037966037941231386,0.04546920467596477,-19.762838425088574,0.07454860602151157,0.02344450532195279,0.01590500248022981,0.04657665795919675,0.04815231483068972,0.04167864123800785
15,200,0.03252753410657259,0.033197101749282115,-2.0584641937989177,0.06116007020282927,0.021128957221459587,0.01529357489542892,0.04332863736136504,0.03141213886787968,0.024850529018601627
15,500,0.026829387721515597,0.026046516683077735,2.91796088141827,0.04699047320929258,0.018762536782163858,0.014735153173090347,0.04011147634741673,0.021761291210849274,0.0162667824909672
20,50,0.04562988104900756,0.07056694889002339,-54.65074040897201,0.09090895158639062,0.028156054167333334,0.01782463739329874,0.06237783963058731,0.09675238687034875,0.052570620169134115
20,100,0.04054399806804827,0.048244810582638624,-18.993717643892577,0.0800464755975335,0.024833629286379062,0.01675188932023226,0.053414183408827254,0.05948389127599585,0.03183635706309276
20,200,0.03518892255301249,0.03460828838009918,1.6500481708087926,0.06802653150194966,0.021663650528858356,0.015876585628229453,0.04688608487541446,0.03605014459626624,0.020888635668616838
20,500,0.029160623215166704,0.026630746593986426,8.675660333159362,0.05362698184763372,0.018794630108410478,0.015060257689455916,0.041504025594351866,0.02283095055577434,0.015557263631833067
25,50,0.039439786200287485,0.16834593115468557,-326.8429101004063,0.07943850212124885,0.020240135726948525,0.018640720752665083,0.20656152099458436,0.27174662378661474,0.026729648682857664
25,100,0.03585240692862123,0.11816339791028042,-229.58288726760418,0.07093057112357146,0.019203333715049217,0.017423315947243032,0.15182874916260822,0.1792346770522832,0.023426767515949912
25,200,0.032263462312921466,0.07571078663421131,-134.66417181112413,0.062135075481297534,0.01828277883175534,0.01637253262571152,0.10492764597137688,0.1016715522047215,0.02053316172653551
25,500,0.02801647183917182,0.04141985739462133,-47.84109017149436,0.05128644026180236,0.017456937077485295,0.015306038178227819,0.06409480818655733,0.04309924317895583,0.017065520818350825
30,50,0.041680349342520046,0.1330802479102153,-219.28774592696132,0.07525742416505515,0.027979138854585493,0.021804485007919476,0.15784542674587293,0.20984942267805942,0.03154589430671351
30,100,0.03674258982391285,0.09328199300098294,-153.87974404643919,0.06619456607436965,0.02432508524596381,0.019708118151405073,0.11564183270851291,0.13621055113342884,0.027993595161007075
30,200,0.03209865718406665,0.06088159914977705,-89.67023698423705,0.05728819277486074,0.021454329903773557,0.017553448873565664,0.08216834154180803,0.07623867848168225,0.02423777742584087
30,500,0.027402486883003715,0.036080164042105456,-31.667480386548547,0.047802234656069295,0.018885519795161797,0.015519706197780047,0.055158291645274575,0.03412451007790005,0.018957690403141738
