Keypoint,Frame A,Frame B,Test R²,Std
right_elbow_z,153,180,-0.08517073392868042,0.14376852579906005
right_knee_z,120,155,-0.08623918771743774,0.11256554770136719
right_elbow_z,140,180,-0.08651123523712158,0.12249707031387037
right_elbow_z,150,180,-0.0865894079208374,0.14087873303087067
right_elbow_z,120,180,-0.0887703013420105,0.12057211589628376
right_elbow_z,100,165,-0.08980525255203248,0.119386405932049
right_knee_z,120,160,-0.08998535394668579,0.10859133895485487
right_elbow_z,100,170,-0.09007279396057129,0.12440723582199954
right_wrist_z,140,180,-0.09096181392669678,0.1348527070158439
right_wrist_z,120,180,-0.09114456176757812,0.12608608265276908
right_knee_z,120,165,-0.09160882234573364,0.10701485880457441
right_wrist_z,100,165,-0.09211980819702148,0.1166425847472243
right_elbow_z,100,160,-0.09261526107788086,0.11328491540381748
right_wrist_z,100,170,-0.09272322177886963,0.11961864346193848
right_wrist_z,153,180,-0.09273919582366943,0.15119804102108234
right_elbow_z,100,155,-0.09321579217910766,0.11789931153320786
right_knee_z,150,155,-0.09329613924026489,0.11482205427039992
right_knee_z,120,180,-0.09341959476470947,0.10930855290550162
right_wrist_z,150,180,-0.09352134704589844,0.14845449582802026
right_wrist_z,100,160,-0.0937612271308899,0.11513042760869634
right_knee_z,120,170,-0.09428029537200927,0.10572369072289663
right_elbow_z,100,180,-0.09446969032287597,0.14185525845654348
right_wrist_z,100,155,-0.09781568288803101,0.11940135362434562
right_elbow_z,120,170,-0.09822503566741943,0.114732994204388
right_wrist_z,100,180,-0.09824744701385497,0.14574230183620726
right_knee_z,100,180,-0.09847442626953125,0.115218371665315
right_knee_z,140,180,-0.09922261476516724,0.11454374771003441
right_knee_z,140,170,-0.0995309853553772,0.11221591862529137
right_knee_z,140,155,-0.09990371227264404,0.11173240874632318
right_knee_z,153,155,-0.10005842685699463,0.11476931921308312
right_knee_z,100,170,-0.10021812200546265,0.10786735834557924
right_elbow_z,140,155,-0.10055393218994141,0.11292840964840276
right_knee_z,140,165,-0.10094695329666138,0.10998718028460851
right_knee_z,100,155,-0.10128251552581786,0.11765058753581112
right_wrist_z,120,170,-0.10214603424072266,0.11663375644259485
right_knee_z,140,160,-0.10233604431152343,0.11096119121725023
right_elbow_z,120,165,-0.1024015212059021,0.11964133360612088
right_wrist_z,153,155,-0.10260708093643188,0.10855052680130485
right_wrist_z,140,155,-0.10265500545501709,0.11670650133165474
right_wrist_z,150,155,-0.10315122842788696,0.10936124946864913
right_elbow_z,150,155,-0.10362513780593872,0.10878577814267545
right_knee_z,100,165,-0.10383817434310913,0.11282549531849925
right_elbow_z,140,160,-0.10402509927749634,0.11148309737401996
right_wrist_z,140,160,-0.10429270267486572,0.11384343790913846
right_elbow_z,153,155,-0.10455158948898316,0.10918157254806425
right_elbow_z,120,160,-0.10464298963546753,0.12439209587081602
right_wrist_z,140,170,-0.10470551013946533,0.11396688330831226
right_knee_z,150,160,-0.10498666524887085,0.11341680357600763
right_elbow_z,140,170,-0.10519334077835082,0.11358967185659913
right_elbow_z,150,170,-0.10524160623550415,0.11979848366740144
right_elbow_z,153,170,-0.10529351711273194,0.12097436664933738
right_wrist_z,153,170,-0.10536083459854126,0.12219173587834552
right_elbow_z,120,155,-0.10565409183502197,0.12966241537500217
right_wrist_z,120,165,-0.10576852083206177,0.1229107436355655
right_wrist_z,140,165,-0.10630746603012085,0.11412329093086973
right_wrist_z,150,160,-0.10683644771575927,0.10862705701262812
right_wrist_z,120,160,-0.10695604801177978,0.1259281071062261
right_elbow_z,140,165,-0.1079833173751831,0.11288563817985166
right_elbow_z,150,160,-0.10803940296173095,0.11047972803612262
right_wrist_z,120,155,-0.1083688759803772,0.13164500174137658
right_knee_z,100,160,-0.10837711572647095,0.11921632896290929
right_wrist_z,150,170,-0.10846987962722779,0.11759524680029738
right_wrist_z,153,165,-0.10862099885940552,0.11233203041504865
right_wrist_z,153,160,-0.10910753726959228,0.10755121611532148
right_wrist_z,150,165,-0.10960302829742431,0.11033657201075793
right_elbow_z,153,160,-0.11039069414138794,0.11152674163593078
right_knee_z,153,165,-0.11146598815917969,0.10811947200690707
right_elbow_z,150,165,-0.11151066541671753,0.11521386710668532
right_knee_z,153,160,-0.11163548946380615,0.1105519640819197
right_knee_z,153,180,-0.11188207149505615,0.11597685939014882
right_knee_z,150,165,-0.11192294836044311,0.11003694390278304
right_knee_z,153,170,-0.11225673913955689,0.10643765685399027
right_knee_z,150,180,-0.1123654580116272,0.11639548518437783
right_knee_z,150,170,-0.11306368589401244,0.10821009693467581
right_elbow_z,153,165,-0.11311898469924926,0.11602405771889826
