test,config,n_features,within_player_mse,lopo_mse,angle_wp,depth_wp,lr_wp,angle_lopo,depth_lopo,lr_lopo
ridge_alpha,alpha=0.1,150,0.02732439183836306,0.08345707944551384,0.035938424004448785,0.018140114894529588,0.0278946366161108,0.10021090189615886,0.08106710905390802,0.06909322738647461
ridge_alpha,alpha=1.0,150,0.01766919949118017,0.06641694094960382,0.01991220474243164,0.013095932482591832,0.019999461248517036,0.08649889628092448,0.05967115544948448,0.05308077111840248
ridge_alpha,alpha=10.0,150,0.011177848404271983,0.04624845088575703,0.010539015663994683,0.008571256045040901,0.014423273503780365,0.06852689107259115,0.039052768629424424,0.03116569295525551
ridge_alpha,alpha=100.0,150,0.008894447512046145,0.039063222570540505,0.007492196294996474,0.008142178291095897,0.011048967950046062,0.05630568610297309,0.039798330017228246,0.021085651591420174
ridge_alpha,alpha=1000.0,150,0.010029952097360328,0.032884361610993555,0.007266036139594184,0.010537538939322473,0.01228628121316433,0.052815335591634115,0.030226489043289843,0.015611260198056698
feature_set,wrist_only,30,0.009067608510071549,0.030021514255252194,0.007327209048800998,0.009778081154336735,0.010097535327076912,0.043837581210666235,0.024600915627684992,0.021626045927405357
feature_set,wrist_elbow,60,0.008890357721351981,0.033368313305096826,0.007197580867343479,0.00932058239199407,0.010152909904718399,0.045239579942491316,0.031479067813241834,0.023386292159557343
feature_set,upper_body,90,0.008979286212482555,0.03815693905648866,0.00742337703704834,0.00918673171478064,0.010327749885618687,0.0541184573703342,0.03687599943338338,0.023476360365748405
feature_set,full_arm_leg,150,0.008894447512046145,0.039063222570540505,0.007492196294996474,0.008142178291095897,0.011048967950046062,0.05630568610297309,0.039798330017228246,0.021085651591420174
feature_set,wrist_many_frames,63,0.00833980461724739,0.03322895365805898,0.007366072336832682,0.008107941707515933,0.009545399807393551,0.04794509463840061,0.027201481687238696,0.024540284648537636
feature_set,left_guide_hand,60,0.009728514693497213,0.0481721615096947,0.006989550060696072,0.009436937146176015,0.012759056873619556,0.06607289632161459,0.0579838785184484,0.02045970968902111
feature_set,both_hands,60,0.008234997386773113,0.03896769333481564,0.0066839599609375,0.00883906985086108,0.009181962348520756,0.049952680799696184,0.04688852444257326,0.020061874762177467
model_comparison,Ridge_1,150,0.01766919949118017,0.06641694094960382,0.01991220474243164,0.013095932482591832,0.019999461248517036,0.08649889628092448,0.05967115544948448,0.05308077111840248
model_comparison,Ridge_100,150,0.008894447512046145,0.039063222570540505,0.007492196294996474,0.008142178291095897,0.011048967950046062,0.05630568610297309,0.039798330017228246,0.021085651591420174
model_comparison,Ridge_1000,150,0.010029952097360328,0.032884361610993555,0.007266036139594184,0.010537538939322473,0.01228628121316433,0.052815335591634115,0.030226489043289843,0.015611260198056698
model_comparison,Lasso_0.1,150,0.011261142167746346,0.03975752005501399,0.009632306628757054,0.008341947110061473,0.01580917276442051,0.05700518290201823,0.034764244442894346,0.027503132820129395
model_comparison,Lasso_1,150,0.00939582425889785,0.029996450720713927,0.007723971472846137,0.009555616616662127,0.010907884687185287,0.055936690436469184,0.01990920129546773,0.014143460430204868
model_comparison,ElasticNet,150,0.008889744818655497,0.03900412568694384,0.007561413447062174,0.007727257518811561,0.011380563490092754,0.05961879730224609,0.04106146191793775,0.016332117840647697
model_comparison,LightGBM_conservative,150,0.00930973024882562,0.02913392314142516,0.007437923219468859,0.009639014462494796,0.010852253064513206,0.027408568064371745,0.039812191813981455,0.02018100954592228
model_comparison,LightGBM_standard,150,0.009322020624449598,0.027738314890559657,0.007471547656589085,0.009647322890439541,0.010847191326320171,0.027560323079427084,0.03625083239981377,0.019403789192438126
model_comparison,RandomForest,150,0.008315262805617,0.033251765922714345,0.006933640903896756,0.009251729701381693,0.008760417811572552,0.03751407623291016,0.042969117629555076,0.019272103905677795
