r_wrist_height_f125,elbow_angle_f125,shoulder_angle_f125,arm_extension_ratio_f125,arm_elevation_f125,wrist_y_diff_f125,wrist_x_diff_f125,r_wrist_height_f140,elbow_angle_f140,shoulder_angle_f140,arm_extension_ratio_f140,arm_elevation_f140,wrist_y_diff_f140,wrist_x_diff_f140,r_wrist_height_f155,elbow_angle_f155,shoulder_angle_f155,arm_extension_ratio_f155,arm_elevation_f155,wrist_y_diff_f155,wrist_x_diff_f155,wrist_velocity_mag_v135,wrist_velocity_y_v135,wrist_velocity_z_v135,elbow_velocity_mag_v135,wrist_velocity_mag_v145,wrist_velocity_y_v145,wrist_velocity_z_v145,elbow_velocity_mag_v145,wrist_velocity_mag_v155,wrist_velocity_y_v155,wrist_velocity_z_v155,elbow_velocity_mag_v155,peak_wrist_velocity,peak_velocity_frame_ratio,wrist_velocity_pct50,wrist_velocity_pct60,wrist_velocity_pct70,wrist_height_max,wrist_height_min,wrist_height_range,max_height_frame_ratio,kinetic_chain_score,hip_to_wrist_delay
0.07640648,78.087746,96.28279,0.6350873,-15.15436,0.68094444,-0.12564468,0.17313194,95.94806,119.952446,0.74456406,-7.6955824,0.7037277,-0.18962288,0.2795353,165.89835,141.67451,0.9924391,-0.86290824,1.0002079,-0.68302345,2.4262466,-0.061912537,2.3502731,2.1056547,6.223438,0.07770538,4.726982,3.96761,0.7803934,0.77911377,-0.030155182,0.8220209,8.085531,0.9458333333333333,5.951339,5.900222,1.2265221,-24.675512,-25.231762,0.5562496,0.0,0.6666666666666666,89
0.04886818,77.72116,81.58702,0.6405637,-17.776426,0.6771412,-0.023931503,0.22468376,90.30873,117.17737,0.7119314,-7.188244,0.6614189,-0.23733902,0.24970055,162.76552,137.72699,0.98872894,-2.3170142,0.8639107,-0.59090424,2.9615223,0.23860931,2.7805138,3.0264053,3.7762911,-0.6440735,3.5164833,2.4834142,4.3579445,0.95809937,2.4207687,2.6882477,13.640082,0.8541666666666666,6.5436935,3.2777984,0.53363174,-24.23777,-25.278324,1.040554,0.9958333333333333,1.0,60
0.126997,81.865486,101.25379,0.6595149,-14.0454035,0.65008163,-0.10621452,0.22191048,101.76328,122.804405,0.7765062,-6.1010923,0.70048714,-0.12811661,0.2794323,164.12791,139.55977,0.99042636,-1.9196428,0.9438343,-0.6530304,2.5746853,0.032958984,2.5526047,2.3039377,6.2130256,0.22304535,4.2510223,3.9153056,0.99133074,0.3498459,0.0026893616,0.8352831,9.371931,0.9458333333333333,5.0916076,6.2426353,1.7116168,-24.706497,-25.21311,0.5066128,0.03333333333333333,0.6666666666666666,90
0.19056702,81.731514,103.178734,0.6578117,-12.348836,0.6703472,-0.17790031,0.21519661,106.5297,124.65288,0.8017915,-6.6576147,0.71009827,-0.2196598,0.26654625,167.64598,139.77512,0.9941955,-1.988963,1.0083351,-0.68172264,2.4503796,-0.16227722,2.440567,1.9047626,6.0698814,0.19729614,3.576765,3.398895,0.8729689,0.104026794,0.01871109,0.43066263,9.39975,0.95,5.1837096,5.98232,1.1841371,-24.600624,-25.130217,0.5295925,0.004166666666666667,1.0,93
0.09073639,77.72132,91.47819,0.63613313,-15.88854,0.6660328,-0.0567379,0.24882698,92.55689,119.38895,0.72442573,-6.118222,0.6907177,-0.20246315,0.31577492,168.4255,137.5626,0.9949032,-1.1477098,0.9785652,-0.7243233,2.491926,0.34194946,2.3630047,2.3507242,5.920818,-0.2950287,4.403887,3.6138299,1.7733032,0.70919037,0.8051777,1.1400826,14.321995,0.8541666666666666,6.437448,5.2308784,0.82413995,-24.160896,-25.262533,1.1016369,0.9958333333333333,1.0,66
0.13221169,81.37688,102.637054,0.65626466,-13.076078,0.670948,-0.1714611,0.19357872,96.36569,121.225105,0.7461635,-7.0360675,0.6855812,-0.1890297,0.25223732,161.21445,137.09312,0.98659736,-2.143765,0.94268036,-0.71886444,2.2040143,-0.16170502,2.1859932,1.9331751,6.0588303,-0.07232666,3.7421322,3.2360198,0.72856796,0.67245483,-0.26355743,1.0053536,11.162186,0.9666666666666667,5.6216598,5.8268085,0.53701913,-24.695868,-25.291815,0.59594727,0.9958333333333333,0.6666666666666666,94
0.123664856,75.33506,96.43996,0.61657166,-13.676479,0.68827057,-0.16173172,0.17256546,97.41416,120.52425,0.75227696,-7.2630587,0.69023323,-0.2012558,0.24661446,168.84488,141.13849,0.9952676,-2.057417,0.96471596,-0.684618,2.3496065,0.010070801,2.2711658,2.267379,6.6588035,0.023231506,4.6403217,4.19612,0.937217,0.3232956,-0.20270348,1.084912,14.033391,0.8458333333333333,6.372814,6.281626,0.5326328,-24.287912,-25.224628,0.9367161,0.9958333333333333,1.0,66
0.14589882,81.013405,98.955215,0.65431273,-13.375635,0.6906147,-0.15429688,0.22123909,96.19648,121.56382,0.7449332,-6.468427,0.694067,-0.1601677,0.26089287,169.04988,139.45488,0.9954381,-1.90891,0.9479351,-0.7102394,1.979287,-0.2268219,1.9619751,1.8415606,6.0221996,0.013618469,3.9035225,3.6375136,0.6732798,0.30303955,-0.20012856,0.673693,14.157947,0.8458333333333333,5.6424966,5.8277807,0.359831,-24.250376,-25.274035,1.0236588,0.9958333333333333,0.6666666666666666,-22
0.15839005,80.23459,102.242546,0.6478837,-12.156655,0.6897049,-0.14406013,0.21537971,101.546974,120.80311,0.7757056,-6.3558793,0.70449066,-0.1924572,0.35177612,168.79228,139.53644,0.9952208,0.5144456,1.0201302,-0.66846085,2.27088,-0.19592285,2.2555733,2.1076503,6.0268216,0.48923492,4.0303516,3.8211572,0.942818,0.4348755,-0.18078804,0.6910313,6.942457,0.44583333333333336,5.290872,6.0787287,1.0247786,-24.738747,-25.23026,0.4915142,0.0,0.3333333333333333,-30
0.07956505,77.34334,91.17812,0.63147223,-16.396437,0.6738262,-0.06129837,0.22805214,93.44528,118.36881,0.7297568,-6.7215424,0.6875076,-0.2018547,0.2947464,168.43414,138.39874,0.9949109,-1.6120219,0.97250557,-0.67477226,2.5984561,0.69431305,2.2439575,2.3604114,6.2074,-0.3275299,4.5871925,3.5781014,1.7761388,0.9369278,0.75834274,1.0222543,7.4441915,0.4708333333333333,6.575896,5.454695,0.23802686,-24.7107,-25.20971,0.4990101,0.0375,0.6666666666666666,-26
0.06547165,77.31123,96.59154,0.62898177,-15.289178,0.71800613,-0.08808899,0.17976189,93.678,121.074585,0.73092407,-7.080499,0.71108437,-0.18937874,0.22978592,171.3438,138.8212,0.99714833,-2.0697384,0.9559479,-0.7067299,2.3672483,-0.029411316,2.3173714,2.3580637,5.619249,-0.35957336,3.812914,3.4168224,1.8474752,0.55023193,0.6981468,0.8157253,20.338627,0.9791666666666666,7.150676,4.844474,0.63265026,-24.136515,-25.289833,1.1533184,0.9958333333333333,1.0,2
0.16791916,77.03924,94.99703,0.6271673,-13.193676,0.70288277,-0.113313675,0.23106003,96.18918,118.94083,0.745196,-6.711868,0.68930435,-0.1723671,0.26124763,169.04578,140.57765,0.99543446,-1.7565349,0.94303894,-0.6434803,2.1288786,-0.18722534,2.1019363,1.930282,6.2110543,0.017280579,4.5943165,3.9357908,0.8781583,0.7019806,0.32818794,0.98210424,9.393964,0.9916666666666667,5.205827,5.813289,1.1500125,-24.743402,-25.177372,0.4339695,0.0,1.0,99
0.017820358,79.00558,91.23007,0.64299786,-18.124617,0.6547432,-0.07586098,0.22729683,92.06078,120.05607,0.72106177,-6.0497704,0.6828613,-0.1581726,0.29257202,166.04579,140.38324,0.99259514,-1.1860619,0.9623337,-0.6919365,2.4356487,0.6667328,2.0723534,2.4468725,5.847557,-0.30635834,4.3333626,3.546345,2.66248,0.91243744,1.5386009,1.6225245,13.828928,0.8583333333333333,6.1812615,5.0625553,0.45958486,-24.174007,-25.292517,1.1185093,0.9958333333333333,1.0,64
0.12327194,78.07378,96.10498,0.6350281,-13.950861,0.69319534,-0.098371506,0.17558098,100.73342,124.81259,0.7707358,-6.7409186,0.683691,-0.1772747,0.25281715,169.0131,140.02873,0.9954071,-1.5814551,0.9836502,-0.70575523,2.83696,-0.39608002,2.7972221,2.5545404,6.6604614,0.20713806,4.1110325,3.8699775,0.76133466,0.4522705,-0.37765503,0.74622786,7.7612777,0.44166666666666665,7.0015154,6.449069,0.522604,-24.849768,-25.374794,0.5250263,0.004166666666666667,0.3333333333333333,-31
0.12190628,76.26122,88.06571,0.62535906,-15.511484,0.7084923,-0.024726868,0.25979233,91.81515,116.790474,0.71955615,-6.8491187,0.68019485,-0.16002846,0.30306053,166.85318,138.20811,0.993426,-1.8062501,0.91090775,-0.7027378,2.6170223,0.04714966,2.5680256,2.61791,5.680253,-0.20690918,4.331503,3.4265678,1.8475133,0.69763184,0.89232445,1.280709,14.701917,0.8375,7.2218847,5.2212453,0.3525166,-24.342606,-25.209566,0.8669605,0.0,1.0,62
0.18932724,80.77747,100.57332,0.6509766,-12.408141,0.6593323,-0.1859703,0.20438004,103.58985,121.05455,0.78672683,-7.5445805,0.6611366,-0.23168945,0.3109684,169.76598,137.62889,0.9960182,-1.5895965,0.99121094,-0.7366867,2.4237256,-0.019226074,2.423458,2.0809317,5.6807823,0.31780243,3.6865425,3.4896178,0.8255453,0.3557968,-0.54184914,0.7645857,9.245259,0.85,5.1686234,5.6933265,0.5930624,-24.496723,-25.17088,0.6741562,0.9958333333333333,0.6666666666666666,68
0.20842934,78.302284,102.628914,0.63546234,-9.669494,0.7103138,-0.15629578,0.20598793,97.66018,119.75378,0.7540582,-6.1126466,0.683651,-0.22747993,0.26189804,165.52707,139.48904,0.99203503,-1.8381169,0.9256954,-0.72839355,1.891388,-0.22087097,1.8721962,1.4986972,5.7570744,0.058021545,3.9293861,3.6208189,0.7096646,0.5699158,0.41604996,0.857501,6.5290017,0.9666666666666667,5.2382894,5.666986,1.0658846,-24.596294,-25.17283,0.5765362,0.008333333333333333,1.0,95
0.12999916,78.45271,94.77412,0.6371954,-15.065742,0.7145462,-0.118341446,0.23404694,91.85683,119.068375,0.7197996,-6.566302,0.7131214,-0.1547966,0.2945652,168.80765,138.74324,0.99523634,-1.4176619,0.9399071,-0.683815,2.3854458,0.3697586,2.2764587,2.0356023,5.64411,-0.54130554,3.9945602,3.5496726,2.7116687,0.580101,1.243372,1.083829,13.787863,0.7958333333333333,6.0337825,4.927722,0.5111675,-23.603779,-25.297867,1.694088,0.9333333333333333,0.6666666666666666,-40
0.06077957,75.02032,85.03826,0.6196675,-16.676153,0.7264862,0.006641388,0.20925522,89.10109,116.65897,0.7028673,-7.535987,0.6667881,-0.23482323,0.26574898,168.13152,135.69942,0.9946428,-1.9725138,0.9345474,-0.75850105,2.4691532,-0.32604218,2.4279785,2.5973115,5.857306,-0.42938232,4.671049,3.5009367,2.8997731,0.7827759,1.2052059,1.4950434,15.25994,0.8666666666666667,7.4579086,4.9731436,0.6984469,-23.942747,-25.282442,1.339695,0.9958333333333333,0.6666666666666666,67
0.06970215,76.894844,90.31698,0.62925786,-16.800037,0.7061882,-0.055425644,0.20298958,92.9026,121.69826,0.72559667,-7.52843,0.69470215,-0.1584549,0.21797371,169.09872,141.50928,0.99547845,-2.697618,0.92149734,-0.6753311,2.1725585,-0.32478333,2.0003128,2.1303666,5.5631204,-0.5373001,4.2884445,3.0113354,2.7703056,0.7484436,0.9438801,1.0961798,15.279965,0.8458333333333333,6.6599245,4.7449355,0.43727756,-24.044142,-25.176006,1.1318645,0.9791666666666666,0.6666666666666666,73
-0.00015068054,74.27153,90.116615,0.6124905,-17.07357,0.71382904,-0.039506912,0.16381073,93.18196,119.770355,0.7278238,-7.525718,0.7016163,-0.18549728,0.1947918,164.88268,139.69846,0.9913112,-2.647353,0.9246807,-0.6881962,2.7780519,0.21102905,2.649994,2.5844111,5.8099933,-0.38017273,4.4489765,3.4742959,1.8738557,0.68733215,1.2449169,1.6811377,8.230572,0.475,7.3529983,5.153711,0.9162658,-24.797626,-25.409748,0.6121216,0.008333333333333333,0.6666666666666666,-28
0.15302467,82.271416,107.710075,0.6613545,-11.500394,0.688715,-0.2014656,0.1968689,110.69872,125.47813,0.8234308,-5.834653,0.7064018,-0.23964691,0.2939148,167.35759,135.93036,0.9939203,-1.9403725,0.9990711,-0.74752235,2.6734357,-0.34561157,2.650566,1.8267037,5.7887206,0.37742615,3.2803917,2.9984708,0.8474808,0.28312683,-0.02998352,0.9545125,124.267944,0.975,4.3979106,5.8622804,0.9840797,-24.657953,-25.389927,0.73197365,0.9958333333333333,0.6666666666666666,1
0.17678452,79.05071,99.54726,0.6406877,-11.128676,0.70664215,-0.14513588,0.23042297,95.08701,117.67432,0.73969984,-5.9627557,0.6946106,-0.20546913,0.29762268,165.67633,136.23589,0.9921985,-1.3902974,0.9699402,-0.7306824,2.0667617,-0.48568726,2.00346,1.9817888,6.1200476,-0.20587921,4.0732956,3.8075788,0.4405978,0.43727875,0.030527115,0.97076344,8.688969,0.8416666666666667,5.582164,5.7818937,0.8538346,-24.855766,-25.245302,0.3895359,0.7291666666666666,0.6666666666666666,64
0.18573952,77.227486,96.680855,0.62825304,-12.86231,0.70246506,-0.11874771,0.20687103,98.55291,118.59448,0.7590252,-7.2908144,0.6970482,-0.19573975,0.35479546,168.11871,138.80568,0.99463004,0.18915029,1.0291061,-0.71489143,2.1161587,-0.111694336,2.1013927,1.8842387,6.372591,0.4838562,4.070406,3.7535946,1.2653487,0.6124878,-0.0696373,0.74681747,6.7422233,0.45,5.6634493,6.2541304,1.3176225,-24.731487,-25.215208,0.48372078,0.0625,0.3333333333333333,-30
