n_features,alpha,lopo_mse,lopo_angle,lopo_depth,lopo_lr,within_mse,within_angle,within_depth,within_lr
20,10,0.05351885168817628,0.10447999644696314,0.03517567203318833,0.020900886584377356,0.013249274936120853,0.008649528599454444,0.015745004623639692,0.015353291585268426
20,50,0.0451758076987421,0.08858755916848961,0.02887806224885973,0.018061801678876957,0.011293808450440417,0.007407506459217314,0.013803207904584341,0.012670710987519597
20,100,0.04017070243190764,0.07836469611455917,0.02527301520194494,0.016874395979218807,0.010898834804196072,0.0072273404203186085,0.013098305993447433,0.012370857998822173
20,200,0.03491356804185872,0.0669432696273664,0.02187331913649804,0.01592411536171172,0.01091696431699398,0.007207516714858631,0.012990300500866359,0.012553075735256946
30,10,0.05046451655149619,0.08560610353747125,0.03867420042195875,0.027113245695058564,0.015578740322406838,0.011780233882184575,0.015439041973680317,0.01951694511135562
30,50,0.0413883337600036,0.07393658880094456,0.027785924743492982,0.022442487735573263,0.011351327588738226,0.008311556881849348,0.012922407254393127,0.012820018629972202
30,100,0.03650613480155567,0.06510312108542333,0.024236182909396282,0.020179100409847387,0.010756290176425749,0.007700922634641032,0.012414756548607577,0.012153191346028639
30,200,0.03193734716877635,0.05654266824576398,0.021428255977356377,0.0178411172832087,0.010703640603027045,0.0074208094812473705,0.012451871060767328,0.012238241267066437
40,10,0.05541089920115134,0.0874613636611607,0.04764149146461311,0.031129842477680223,0.015325804954154532,0.012572549499245017,0.014468410635805794,0.018936454727412778
40,50,0.043280804481390066,0.07403761114139917,0.03314050941212853,0.022664292890642493,0.011238638980579923,0.008375013003218367,0.012478667159032451,0.012862236779488952
40,100,0.03809154899084762,0.06587458837265243,0.028192758092621662,0.020207300507268766,0.010712178952804704,0.007739159653430948,0.012266969410250779,0.012130407794732382
40,200,0.03337115425848349,0.05784677349761955,0.024194297480831323,0.0180723917969996,0.01068781798846715,0.007477808373539952,0.012485740860430132,0.01209990473143137
50,10,0.051571502944916324,0.07418256455648181,0.04553593504010676,0.03499600923816039,0.016710976853893476,0.014289757249235072,0.016087595020765295,0.01975557829168006
50,50,0.042499044375362505,0.0713409390796844,0.03193826256133775,0.024217931485065354,0.011909735257089426,0.009075245568684265,0.013188818786527194,0.013465141416056819
50,100,0.038670216500098366,0.06660419897782482,0.027996929580225132,0.02140952094224513,0.011102947366578514,0.008145687818406707,0.01266162067035861,0.012501533610970228
50,200,0.034841849897541154,0.06089631839761601,0.02464556533159442,0.018983665963413037,0.010871655570591714,0.007689346412023076,0.01263166719921759,0.012293953100534478
60,10,0.04821961248014378,0.06542848039491511,0.04265396167048627,0.03657639537502997,0.01540811265395369,0.010922074794995275,0.014768162815364664,0.020534100351501123
60,50,0.04068358945152078,0.06576327584441943,0.031103888488575104,0.0251836040215678,0.011635526128670068,0.00816370266672172,0.012856061946116784,0.013886813773171702
60,100,0.03756786723642595,0.0632840508732262,0.0273835357458921,0.022036015090159563,0.010979824468110666,0.007668800959221118,0.012595230274285295,0.01267544217082558
60,200,0.03441149370035597,0.0597319291137267,0.024192398317237965,0.01931015367010325,0.010811638748969088,0.00744439799483559,0.012684054389256476,0.012306463862815198
80,10,0.04787437241525603,0.0672779960647972,0.04478582355441665,0.031559297626554246,0.02201436200161869,0.01374546533612751,0.014722895947213089,0.037574724721515476
80,50,0.04320424006490852,0.06987499742526666,0.03534405753271082,0.024393665236748064,0.013120513230258668,0.007438832325358357,0.013334123207981673,0.01858858415743598
80,100,0.04008398384082062,0.06659231545181865,0.03153029175267147,0.022129344317971734,0.011929347263526617,0.0071879302698368,0.013133774232917792,0.015466337287825259
80,200,0.036202302377244484,0.061200969634500925,0.02761503809919044,0.0197908993980421,0.011370657994228898,0.007188853397626203,0.013074518942402885,0.013848601642657605
100,10,0.054423337533761273,0.08311594799134685,0.049262010611557557,0.030892053998379396,0.022408209201248974,0.010037419603279554,0.015142243821949248,0.04204496417851812
100,50,0.047121691003825905,0.07928535291183275,0.03882969904728614,0.023250021052358814,0.013644225270711519,0.008202565734512885,0.013592419666628282,0.019137690410993387
100,100,0.043260455220707816,0.07364620952349618,0.03460231641434484,0.02153283972428245,0.012368838614612588,0.007991916384597774,0.013554230258519337,0.015560369200720655
100,200,0.03899619082881688,0.06690598514228867,0.030252767482641475,0.019829819861520485,0.011701059367613967,0.007769602271186434,0.013469991523794128,0.013863584307861335
