target,config,alpha,cv_mse,pred_std,n_features
angle,right_wrist_f100,1.0,0.007364551399288523,0.13836108240788875,3
angle,right_wrist_f100,5.0,0.007260870240226415,0.13804966474367658,3
angle,right_wrist_f100,10.0,0.00718979432695514,0.13786855683559796,3
angle,right_wrist_f120,1.0,0.007308471140022975,0.13958032463082848,3
angle,right_wrist_f120,5.0,0.007241740090394102,0.13933871978460788,3
angle,right_wrist_f120,10.0,0.0071822910094710805,0.1391137278908502,3
angle,right_wrist_f140,1.0,0.007267373713893929,0.139522923044678,3
angle,right_wrist_f140,5.0,0.007186754084117156,0.13907533412209497,3
angle,right_wrist_f140,10.0,0.00712090317786797,0.13870105672012822,3
angle,right_wrist_f150,1.0,0.0070090997868610385,0.13974066749861377,3
angle,right_wrist_f150,5.0,0.006944154128314049,0.13935745027152224,3
angle,right_wrist_f150,10.0,0.006894386518981357,0.1390308426793403,3
angle,right_wrist_f160,1.0,0.0070899183762899816,0.13743752062502076,3
angle,right_wrist_f160,5.0,0.00704910623431034,0.13723978234290368,3
angle,right_wrist_f160,10.0,0.007026416561381614,0.13717502380172303,3
angle,right_elbow_f100,1.0,0.007521777229826829,0.13781472342242093,3
angle,right_elbow_f100,5.0,0.007458068675381159,0.13766344766557742,3
angle,right_elbow_f100,10.0,0.007400038823568387,0.1375561363339471,3
angle,right_elbow_f120,1.0,0.007260771677271392,0.13948567902892975,3
angle,right_elbow_f120,5.0,0.0071896468975321,0.139199081974445,3
angle,right_elbow_f120,10.0,0.007132609740947438,0.13895291948757238,3
angle,right_elbow_f140,1.0,0.007332792438235887,0.14002174608857987,3
angle,right_elbow_f140,5.0,0.007223038002650236,0.13967289373314887,3
angle,right_elbow_f140,10.0,0.007130707344801878,0.13936153983429067,3
angle,right_elbow_f150,1.0,0.0072609528729118125,0.13951226712938178,3
angle,right_elbow_f150,5.0,0.00714077533686506,0.1390650155146133,3
angle,right_elbow_f150,10.0,0.00704978770138484,0.13869389634918997,3
angle,right_elbow_f160,1.0,0.007273762718096362,0.13796079243150083,3
angle,right_elbow_f160,5.0,0.007198612787898084,0.137853287857589,3
angle,right_elbow_f160,10.0,0.007148924942528622,0.13780555223695967,3
angle,right_shoulder_f100,1.0,0.0072498869115916915,0.13674673464199438,3
angle,right_shoulder_f100,5.0,0.007200370733077533,0.1367309975341222,3
angle,right_shoulder_f100,10.0,0.0071553022896674095,0.13673304636058875,3
angle,right_shoulder_f120,1.0,0.00739463455022661,0.13928244847665155,3
angle,right_shoulder_f120,5.0,0.007309325589508953,0.13900518786549818,3
angle,right_shoulder_f120,10.0,0.007229233615402813,0.1387513894672558,3
angle,right_shoulder_f140,1.0,0.007467246865887424,0.13907443368094155,3
angle,right_shoulder_f140,5.0,0.0073753391227312825,0.13880569083509314,3
angle,right_shoulder_f140,10.0,0.0072881280761100346,0.13855581490537017,3
angle,right_shoulder_f150,1.0,0.0072227059650672755,0.13975007590847413,3
angle,right_shoulder_f150,5.0,0.007140508693342299,0.13937975659603993,3
angle,right_shoulder_f150,10.0,0.00706826057015883,0.1390370466079457,3
angle,right_shoulder_f160,1.0,0.007556343974565965,0.13907479638254017,3
angle,right_shoulder_f160,5.0,0.007464195931243351,0.1388806943280959,3
angle,right_shoulder_f160,10.0,0.00737796724555792,0.13869554982574306,3
angle,left_wrist_f100,1.0,0.0073109968624184025,0.1371205460192891,3
angle,left_wrist_f100,5.0,0.007244421954771605,0.13705774462431297,3
angle,left_wrist_f100,10.0,0.007187564232132929,0.1370319207027624,3
angle,left_wrist_f120,1.0,0.007487414927439392,0.13903141757409387,3
angle,left_wrist_f120,5.0,0.007385847065808721,0.13885125990805325,3
angle,left_wrist_f120,10.0,0.007298917471962598,0.13869553154568748,3
angle,left_wrist_f140,1.0,0.007153947002315387,0.13961004262977397,3
angle,left_wrist_f140,5.0,0.007085840563948514,0.13921362103877954,3
angle,left_wrist_f140,10.0,0.007027171767550433,0.13885120815574478,3
angle,left_wrist_f150,1.0,0.0066606802477354255,0.14113336438905907,3
angle,left_wrist_f150,5.0,0.006598390295042357,0.14064127210517102,3
angle,left_wrist_f150,10.0,0.006549923863883284,0.14016606288132344,3
angle,left_wrist_f160,1.0,0.0072194050539372955,0.139416113734609,3
angle,left_wrist_f160,5.0,0.0071148937538475275,0.1390906053844892,3
angle,left_wrist_f160,10.0,0.007037803834622529,0.1388077250477664,3
angle,right_hip_f100,1.0,0.0072290941498075086,0.13658523056098348,3
angle,right_hip_f100,5.0,0.007200494699595554,0.1366199204576434,3
angle,right_hip_f100,10.0,0.007172495829228467,0.13666472367997312,3
angle,right_hip_f120,1.0,0.007394947896736797,0.13915657850087712,3
angle,right_hip_f120,5.0,0.007322219201610094,0.13884401738480984,3
angle,right_hip_f120,10.0,0.007255070225493399,0.13856032548565578,3
angle,right_hip_f140,1.0,0.00733586513166527,0.13771114946903226,3
angle,right_hip_f140,5.0,0.00729922973232542,0.13765300856291768,3
angle,right_hip_f140,10.0,0.007263438015238505,0.1376078302686398,3
angle,right_hip_f150,1.0,0.007309269885375574,0.13875190969481307,3
angle,right_hip_f150,5.0,0.00725391430648107,0.13855420226581924,3
angle,right_hip_f150,10.0,0.007205175161584672,0.13838145040260288,3
angle,right_hip_f160,1.0,0.007559691927308405,0.13808152115134084,3
angle,right_hip_f160,5.0,0.007493936246476109,0.13800135813256253,3
angle,right_hip_f160,10.0,0.007430294935158436,0.13793108085299288,3
angle,right_knee_f100,1.0,0.007343454961262161,0.13758515560763132,3
angle,right_knee_f100,5.0,0.007296083579230347,0.13753328469212447,3
angle,right_knee_f100,10.0,0.007252798690774545,0.13749726411347984,3
angle,right_knee_f120,1.0,0.006976320393006883,0.13933973606921649,3
angle,right_knee_f120,5.0,0.0069274110678186045,0.13895741474815926,3
angle,right_knee_f120,10.0,0.00689670520903538,0.13866604153266116,3
angle,right_knee_f140,1.0,0.007355422300510817,0.13764934746873966,3
angle,right_knee_f140,5.0,0.007273141705938024,0.1376767687869245,3
angle,right_knee_f140,10.0,0.007218481602874256,0.13767229824085694,3
