Keypoint,Start,End,Window,Train R²,Test R²
right_elbow_z,160,180,20,0.06198518991470337,-0.08621328830718994
right_elbow_z,160,175,15,0.054447078704833986,-0.09065207958221436
right_knee_z,140,145,5,0.0372427773475647,-0.09507236242294312
right_knee_z,140,150,10,0.031187376976013183,-0.09776783227920532
right_wrist_z,160,180,20,0.06220348119735718,-0.10072992324829101
right_elbow_z,160,170,10,0.04779246807098389,-0.10412386417388916
right_elbow_z,155,175,20,0.046850457191467285,-0.10808442831039429
right_wrist_z,160,175,15,0.04732076406478882,-0.11005130529403687
right_knee_z,150,155,5,0.036969277858734134,-0.11078506946563721
right_elbow_z,160,165,5,0.057070424556732176,-0.11168190002441407
right_knee_z,145,155,10,0.030280187129974365,-0.11556244373321534
right_wrist_z,160,170,10,0.049023120403289794,-0.11628695011138916
right_knee_z,140,155,15,0.025353090763092043,-0.12013485193252564
right_knee_z,145,160,15,0.029713685512542724,-0.12140998363494873
right_elbow_z,150,155,5,0.017267758846282958,-0.12198578834533691
right_knee_z,145,150,5,0.023107125759124755,-0.12217236995697021
right_elbow_z,140,145,5,0.06365761041641235,-0.12407569885253907
right_elbow_z,145,160,15,0.012287559509277344,-0.12470587253570557
right_wrist_z,155,165,10,0.021736223697662354,-0.12481781721115112
right_knee_z,140,160,20,0.02420128583908081,-0.12549221754074097
right_elbow_z,145,155,10,0.019445393085479736,-0.1255098271369934
right_wrist_z,150,155,5,0.01972278594970703,-0.12553614854812623
right_wrist_z,140,145,5,0.05314781427383423,-0.12580981969833374
right_elbow_z,145,165,20,0.007543270587921143,-0.12660165071487428
right_wrist_z,160,165,5,0.048764111995697024,-0.1272038698196411
right_wrist_z,145,165,20,0.008103222846984863,-0.12766706228256225
right_wrist_z,155,175,20,0.035822470188140866,-0.12767496824264526
right_wrist_z,150,165,15,0.005673356056213379,-0.1278208899497986
right_knee_z,155,165,10,0.010461544990539551,-0.12815881729125977
right_wrist_z,155,170,15,0.03573150634765625,-0.12849571228027343
right_elbow_z,150,160,10,0.012424290180206299,-0.12873945713043214
right_elbow_z,155,170,15,0.02873281478881836,-0.12931671857833862
right_wrist_z,155,160,5,0.007271492481231689,-0.12977554082870482
right_elbow_z,140,155,15,0.025537288188934325,-0.12985460996627807
right_wrist_z,150,160,10,0.011932389736175537,-0.1299600601196289
right_elbow_z,140,150,10,0.04322296380996704,-0.13033977508544922
right_wrist_z,145,160,15,0.015005412101745606,-0.1313560700416565
right_elbow_z,140,160,20,0.016105508804321288,-0.13137776613235475
right_knee_z,160,165,5,0.022242212295532228,-0.1322822952270508
right_elbow_z,145,150,5,0.026314048767089843,-0.13253093004226685
right_wrist_z,145,155,10,0.02141575574874878,-0.13278056859970092
right_knee_z,145,165,20,0.019481332302093507,-0.13294509887695313
right_knee_z,150,160,10,0.025521776676177978,-0.13383062601089477
right_elbow_z,150,170,20,0.022744314670562746,-0.13434616565704346
right_knee_z,160,180,20,0.011730809211730957,-0.13487592220306396
right_wrist_z,150,170,20,0.014114670753479004,-0.1353472328186035
right_wrist_z,140,160,20,0.018775827884674072,-0.13754212141036987
right_elbow_z,150,165,15,0.009673094749450684,-0.13778043746948243
right_wrist_z,140,155,15,0.024847440719604492,-0.13783852100372315
right_knee_z,150,165,15,0.01112548828125,-0.1390839958190918
right_elbow_z,155,165,10,0.01697641611099243,-0.13944836616516113
right_knee_z,150,170,20,0.008557054996490478,-0.1400900363922119
right_elbow_z,155,160,5,0.0085304856300354,-0.14014797449111938
right_knee_z,155,170,15,0.013264844417572022,-0.14100109100341796
right_knee_z,155,160,5,0.01429161310195923,-0.1421026659011841
right_knee_z,155,175,20,0.011566481590270995,-0.14249667167663574
right_wrist_z,145,150,5,0.02502387046813965,-0.14447460889816285
right_wrist_z,140,150,10,0.03521284818649292,-0.14531814336776733
right_knee_z,160,175,15,0.015573172569274903,-0.14669592618942262
right_knee_z,160,170,10,0.021553425788879393,-0.1496890377998352
