iter	RMSE
0	3.777693522
1	3.753791056
2	3.731639342
3	3.710603032
4	3.688663069
5	3.673404332
6	3.655162178
7	3.64317487
8	3.621106085
9	3.59760917
10	3.585918286
11	3.568836109
12	3.552854731
13	3.533555747
14	3.518125385
15	3.499750715
16	3.479289143
17	3.462111965
18	3.447463102
19	3.431458326
20	3.416773468
21	3.404361513
22	3.396652317
23	3.380974978
24	3.361865541
25	3.346780867
26	3.329016952
27	3.312431665
28	3.299267763
29	3.286540931
30	3.270432037
31	3.260063795
32	3.254017135
33	3.243172571
34	3.23130058
35	3.21802973
36	3.207880103
37	3.190692873
38	3.178879
39	3.16479098
40	3.153571254
41	3.143914946
42	3.132639406
43	3.120232206
44	3.106235826
45	3.092116739
46	3.080665886
47	3.064290803
48	3.051085804
49	3.043402927
50	3.030534675
51	3.025274761
52	3.011304573
53	3.000836791
54	2.990211931
55	2.983591597
56	2.9765649
57	2.967857353
58	2.953002391
59	2.939226134
60	2.929647888
61	2.913326634
62	2.90468196
63	2.89799777
64	2.888512396
65	2.880084536
66	2.874741826
67	2.85973234
68	2.850300645
69	2.838704536
70	2.831314603
71	2.818039006
72	2.802661559
73	2.796676881
74	2.785846438
75	2.777571549
76	2.768954288
77	2.757268565
78	2.749797065
79	2.739396446
80	2.731074579
81	2.722016447
82	2.715009683
83	2.70514024
84	2.701266912
85	2.691597662
86	2.684090417
87	2.671804901
88	2.666275387
89	2.660830333
90	2.652243745
91	2.643958148
92	2.634552407
93	2.624671727
94	2.613841289
95	2.602423738
96	2.593542357
97	2.587130851
98	2.579114576
99	2.570423839
100	2.566018769
101	2.557144079
102	2.546910911
103	2.542319695
104	2.534944797
105	2.530355633
106	2.52533482
107	2.518574191
108	2.507607097
109	2.501813019
110	2.496280027
111	2.488545072
112	2.478974077
113	2.471476275
114	2.466316297
115	2.460270083
116	2.454411395
117	2.45089634
118	2.441906274
119	2.435171214
120	2.426100653
121	2.421810416
122	2.414000651
123	2.407594823
124	2.399121679
125	2.391569667
126	2.385814039
127	2.381771748
128	2.376696067
129	2.370989387
130	2.36432495
131	2.359501735
132	2.349074903
133	2.343732432
134	2.336356719
135	2.330349299
136	2.321220323
137	2.318144706
138	2.310889705
139	2.303233756
140	2.298219967
141	2.290345389
142	2.281089007
143	2.274404617
144	2.265657004
145	2.260097268
146	2.254033534
147	2.247201196
