iter	Passed	Remaining
0	7	3952
1	19	4860
2	29	4837
3	37	4694
4	46	4629
5	56	4629
6	64	4516
7	71	4416
8	84	4634
9	95	4679
10	101	4500
11	106	4340
12	113	4241
13	118	4121
14	129	4192
15	136	4143
16	142	4040
17	147	3950
18	152	3862
19	161	3874
20	168	3849
21	174	3795
22	179	3729
23	187	3711
24	194	3692
25	200	3661
26	206	3621
27	211	3570
28	216	3519
29	222	3487
30	227	3440
31	233	3413
32	238	3369
33	243	3334
34	248	3303
35	254	3283
36	261	3270
37	267	3251
38	272	3223
39	278	3199
40	284	3181
41	289	3155
42	294	3132
43	300	3110
44	305	3090
45	311	3071
46	318	3068
47	325	3061
48	332	3058
49	337	3040
50	344	3031
51	352	3036
52	360	3039
53	369	3048
54	375	3036
55	381	3028
56	393	3058
57	399	3046
58	406	3039
59	413	3030
60	419	3017
61	425	3006
62	432	2998
63	438	2987
64	444	2973
65	450	2963
66	457	2956
67	463	2943
68	469	2931
69	475	2919
70	481	2909
71	486	2893
72	492	2878
73	497	2864
74	502	2849
75	507	2833
76	513	2818
77	518	2803
78	524	2793
79	529	2779
80	534	2764
81	540	2753
82	546	2746
83	552	2736
84	559	2732
85	566	2727
86	572	2715
87	577	2704
88	582	2691
89	588	2679
90	593	2667
91	598	2654
92	603	2643
93	608	2629
94	613	2616
95	618	2603
96	624	2592
97	629	2583
98	635	2573
99	640	2562
100	645	2551
101	651	2542
102	657	2532
103	669	2548
104	676	2544
105	681	2533
106	686	2521
107	691	2509
108	696	2500
109	702	2489
110	706	2477
111	711	2465
112	716	2455
113	721	2444
114	726	2433
115	732	2423
116	737	2414
117	743	2405
118	748	2396
119	754	2387
120	760	2380
121	765	2370
122	770	2362
123	776	2354
124	782	2346
125	787	2336
126	792	2326
127	796	2316
128	801	2306
129	806	2296
130	811	2286
131	816	2276
132	821	2265
133	826	2258
134	834	2257
135	841	2251
136	847	2245
137	852	2235
138	856	2225
139	861	2215
140	866	2206
141	871	2197
142	876	2187
143	881	2179
144	886	2169
145	891	2161
146	896	2152
147	901	2143
148	906	2135
149	912	2128
150	917	2121
151	923	2114
152	928	2106
153	934	2100
154	940	2092
155	944	2083
156	949	2074
157	954	2066
158	959	2057
159	964	2048
160	969	2040
161	974	2034
162	981	2029
163	987	2022
164	992	2014
165	997	2007
166	1002	1999
167	1008	1992
168	1013	1984
169	1018	1976
170	1023	1968
171	1027	1960
172	1032	1951
173	1037	1943
174	1042	1935
175	1046	1926
176	1051	1918
177	1056	1911
178	1062	1905
179	1068	1900
180	1074	1892
181	1079	1886
182	1085	1879
183	1090	1871
184	1095	1864
185	1100	1857
186	1106	1851
187	1111	1843
188	1116	1836
189	1121	1829
190	1125	1821
191	1131	1814
192	1135	1806
193	1140	1798
194	1144	1790
195	1149	1782
196	1154	1775
197	1159	1767
198	1164	1761
199	1171	1757
200	1179	1754
201	1187	1752
202	1195	1749
203	1202	1744
204	1208	1738
205	1215	1734
206	1222	1730
207	1228	1724
208	1234	1719
209	1247	1722
210	1255	1719
211	1273	1730
212	1288	1736
213	1296	1732
214	1302	1726
215	1307	1719
216	1312	1712
217	1322	1710
218	1331	1708
219	1337	1702
220	1344	1697
221	1350	1691
222	1357	1685
223	1365	1682
224	1371	1676
225	1379	1672
226	1385	1666
227	1391	1659
228	1396	1652
229	1401	1645
230	1407	1639
231	1413	1632
232	1420	1627
233	1430	1626
234	1438	1621
235	1445	1616
236	1452	1611
237	1458	1605
238	1465	1599
239	1471	1593
240	1477	1587
241	1482	1580
242	1489	1575
243	1496	1570
244	1503	1564
245	1508	1557
246	1513	1550
247	1518	1543
248	1523	1536
249	1528	1528
250	1534	1522
251	1540	1516
252	1545	1509
253	1551	1502
254	1556	1495
255	1561	1488
256	1566	1481
257	1571	1474
258	1577	1468
259	1584	1462
260	1590	1456
261	1596	1450
262	1601	1443
263	1606	1436
264	1611	1429
265	1616	1421
266	1621	1414
267	1626	1407
268	1630	1400
269	1636	1393
270	1641	1386
271	1646	1380
272	1651	1373
273	1656	1366
274	1662	1360
275	1668	1354
276	1674	1347
277	1680	1341
278	1686	1335
279	1691	1328
280	1696	1322
281	1701	1315
282	1707	1309
283	1712	1302
284	1718	1296
285	1725	1290
286	1732	1285
287	1740	1281
288	1748	1276
289	1754	1270
290	1762	1266
291	1768	1259
292	1774	1253
293	1780	1247
294	1787	1241
295	1794	1237
296	1803	1232
