name,kind,n,nn1_dist_p01,nn1_dist_median,nn1_abs_dangle_median,nn1_abs_dangle_p90,nn1_abs_dangle_p95,pct_nn1_abs_dangle_le_0p1,pct_nn1_abs_dangle_le_0p25,pct_nn1_abs_dangle_gt_1
all_pos_rr=False_hd=False,full,345.0,41.242042999267575,97.05021667480469,1.9300003051757812,5.6399993896484375,7.487998962402345,5.507246376811594,10.434782608695652,69.85507246376812
all_pos_rr=False_hd=True,full,345.0,21.025840606689453,56.25196838378906,1.7999992370605469,4.95999984741211,7.400001525878906,5.217391304347826,9.855072463768117,68.40579710144927
right_hand_posvel_rr=False_hd=False,full,345.0,40.203041076660156,70.96233367919922,1.8100013732910156,5.547999572753912,7.487998962402345,4.9275362318840585,8.985507246376812,71.59420289855073
all_pos_rr=True_hd=False,full,345.0,47.046931457519534,103.85137176513672,1.8999977111816406,5.734001159667972,8.153999328613285,4.9275362318840585,9.27536231884058,71.30434782608695
right_hand_posvel_rr=True_hd=True,full,345.0,37.923606872558594,70.8948745727539,1.6399993896484375,5.928002929687503,8.367999267578128,4.63768115942029,10.434782608695652,68.69565217391305
right_arm_posvelacc_rr=False_hd=False,full,345.0,29.143986206054688,52.75054168701172,1.7199974060058594,5.274002075195316,6.606000518798829,4.63768115942029,11.884057971014492,70.14492753623188
right_hand_posvel_rr=True_hd=False,full,345.0,38.57561111450195,67.8782958984375,1.7199974060058594,5.7740005493164075,7.835999298095704,4.63768115942029,9.565217391304348,69.56521739130434
both_hands_posvel_rr=False_hd=False,full,345.0,51.76780319213867,96.40469360351562,1.75,5.409999847412109,7.487998962402345,4.63768115942029,10.434782608695652,69.27536231884058
right_hand_posvel_rr=False_hd=True,full,345.0,34.48952865600586,60.56285095214844,1.75,5.705999755859377,7.509998321533203,4.63768115942029,8.985507246376812,69.56521739130434
both_hands_posvel_rr=False_hd=True,full,345.0,45.7746696472168,84.33043670654297,1.7900009155273438,5.376000976562501,7.3620025634765645,4.63768115942029,10.434782608695652,68.11594202898551
right_arm_posvelacc_rr=False_hd=True,full,345.0,28.652331161499024,50.1049690246582,1.6800003051757812,5.070001220703137,7.180002593994141,4.057971014492753,10.72463768115942,69.85507246376812
right_arm_posvelacc_rr=True_hd=True,full,345.0,33.81091339111328,57.7469367980957,1.7199974060058594,5.496000671386719,7.398001861572266,4.057971014492753,10.144927536231885,69.56521739130434
right_hand_win2_tips_vz,win,345.0,4.372282695770264,8.014383316040039,1.7600021362304688,5.354000091552735,7.49600067138672,4.057971014492753,8.985507246376812,72.46376811594203
both_hands_posvel_rr=True_hd=False,full,345.0,51.46407073974609,93.5776138305664,1.7900009155273438,5.376000976562501,7.849998474121094,4.057971014492753,9.565217391304348,70.72463768115942
right_arm_posvelacc_rr=True_hd=False,full,345.0,33.35659469604492,56.3267936706543,1.8400001525878906,5.356001281738283,7.352002716064455,4.057971014492753,9.855072463768117,72.17391304347827
all_pos_rr=True_hd=True,full,345.0,49.100152587890626,112.51483917236328,1.8600006103515625,5.294001007080085,8.234001159667974,4.057971014492753,8.695652173913043,70.43478260869566
angles_handframe_rr=False_hd=False,custom,345.0,38.98630477905274,58.262840270996094,1.7900009155273438,5.357999420166019,7.331999206542971,3.768115942028986,7.246376811594203,70.43478260869566
