phase,frame_start,frame_end,target,best_feature,best_feature_r2,mean_r2_all_features
Phase1_Setup,0,59,angle,left_eye_x,0.4212681069412692,0.06314045021497898
Phase1_Setup,0,59,depth,left_eye_z,0.050790259460084065,0.012529307864190962
Phase1_Setup,0,59,left_right,right_hip_x,0.015897201408257178,0.0025611083054623753
Phase2_Windup,60,119,angle,right_shoulder_z,0.3062370805615735,0.08903505091344091
Phase2_Windup,60,119,depth,left_big_toe_x,0.05315980941769025,0.01365449622264832
Phase2_Windup,60,119,left_right,right_heel_x,0.011263035916981039,0.003308596416917748
Phase3_Release,120,179,angle,right_elbow_x,0.3079424975419612,0.09972658849572434
Phase3_Release,120,179,depth,left_small_toe_x,0.03786156636317803,0.010677103000489251
Phase3_Release,120,179,left_right,right_wrist_y,0.035475089621501324,0.004412790955883182
Phase4_Follow,180,239,angle,right_ear_z,0.2357412134351479,0.04783573315136983
Phase4_Follow,180,239,depth,left_ear_z,0.031767360348452865,0.009087218280211709
Phase4_Follow,180,239,left_right,right_big_toe_z,0.019171112286475642,0.005270385087124109
