frame,target,mean_r2,median_r2,std_r2,max_r2,best_feature,n_significant_features
0,angle,0.03658130423760974,0.008235864056229794,0.07568534332307766,0.41045472796668425,left_eye_x,93
1,angle,0.03668147033902921,0.008600431687523018,0.07566660896458542,0.41045007147381274,left_eye_x,93
2,angle,0.03700191931839616,0.008311697227727347,0.07576999236921164,0.41102137356057533,left_eye_x,93
3,angle,0.03739152537534026,0.008267814687281353,0.07594854435722756,0.4115043125670277,left_eye_x,93
4,angle,0.03798072979028263,0.008846576795822193,0.07617610356441848,0.41225178351861014,left_eye_x,96
5,angle,0.03872872913173106,0.009773524135138453,0.07638542526362149,0.4131069057231724,left_eye_x,97
6,angle,0.039507305980942965,0.009920328688402782,0.07653627506948577,0.414151629581792,left_eye_x,94
7,angle,0.04042193796477919,0.010143198919719418,0.07669810426149387,0.41525007086346766,left_eye_x,95
8,angle,0.04141642434474163,0.010838457033335218,0.0768407862022282,0.41617006374391274,left_eye_x,99
9,angle,0.042505561694525136,0.011421375281948856,0.07693398777212165,0.4167757760300836,left_eye_x,106
10,angle,0.04373835107672801,0.012318573208515452,0.07705719316004286,0.41717642821989875,left_eye_x,114
11,angle,0.04503844535306521,0.014210819150314689,0.07714671898625139,0.41771011028586297,left_eye_x,115
12,angle,0.046485342303575254,0.016697479943718764,0.07726827833630849,0.41812252315323284,left_eye_x,123
13,angle,0.048106476334399614,0.018588558558679368,0.07731832770051301,0.4184375703581108,left_eye_x,128
14,angle,0.04978777248668853,0.020456407321979446,0.07754441048922953,0.4194158343369292,left_eye_x,131
15,angle,0.05150031390896145,0.022253840552651654,0.07768449793646348,0.4204517952586914,left_eye_x,135
16,angle,0.0530991594943806,0.024376893591631088,0.07764575639888109,0.42060882344211437,left_eye_x,142
17,angle,0.05472980763137265,0.026870704002712714,0.0777106633915843,0.4213913592472505,left_eye_x,146
18,angle,0.05631563321587067,0.02939414987430466,0.07779052747748044,0.4219830691263574,left_eye_x,151
19,angle,0.057944919759167136,0.031534624921568,0.0777887149275564,0.42216462845629477,left_eye_x,152
20,angle,0.05933188881552905,0.033812299065686786,0.07762291533276075,0.42270445406398066,left_eye_x,153
21,angle,0.06081543642106482,0.03638942591660118,0.0776695802124391,0.4233812177836578,left_eye_x,157
22,angle,0.06212687577899247,0.03870491281638842,0.077684387938845,0.42436518312268584,left_eye_x,160
23,angle,0.06323342132585533,0.042601985506245145,0.07767464324772977,0.42547791311469485,left_eye_x,163
24,angle,0.06420979049869763,0.04496828626233704,0.07762483151200505,0.42728873185549165,left_eye_x,165
25,angle,0.06541037972137814,0.046731230570007526,0.07779405456762267,0.42994291769396303,left_eye_x,164
26,angle,0.06656751883370102,0.04602946697840384,0.07789116804899619,0.4323723105805523,left_eye_x,165
27,angle,0.0672981742159579,0.04923527591527407,0.07758965544631978,0.43434322868330993,left_eye_x,162
28,angle,0.06818771995286081,0.0496501859727878,0.07746193718076315,0.43702414151389046,left_eye_x,161
29,angle,0.06925836843921118,0.050862545138021374,0.07747102564026158,0.43957186436489226,left_eye_x,161
30,angle,0.07041051583784914,0.05261710547037404,0.07756728605029883,0.44097696833244626,left_eye_x,163
31,angle,0.07111727596275953,0.053676721518818665,0.07765336959409447,0.44305060429968296,left_eye_x,164
32,angle,0.07162758646724059,0.055071806611609,0.07781416783410292,0.4445879979856409,left_eye_x,160
33,angle,0.07206189495051069,0.0552898721469685,0.0780000546744339,0.44578227546733834,left_eye_x,160
34,angle,0.07242178159604129,0.05435545900983418,0.07842870111635553,0.4465592546704025,left_eye_x,160
35,angle,0.07289243084523309,0.05260756967874222,0.07890392010867632,0.4471352338554434,left_eye_x,160
36,angle,0.07318098208513296,0.053093126654614256,0.07949134853882288,0.44739857682728523,left_eye_x,158
37,angle,0.07329536766920892,0.05324137429988149,0.08004298685319985,0.44684824364820147,left_eye_x,157
38,angle,0.07338114322296158,0.05382762658078763,0.08064359193620559,0.44576807320300094,left_eye_x,156
39,angle,0.07344164761345026,0.05116949673301247,0.08121886200484917,0.4443903610978881,left_eye_x,156
40,angle,0.07336009492801347,0.0484568381916252,0.08183714067574563,0.44307718682942315,left_eye_x,154
41,angle,0.07330259797523662,0.046840297304599904,0.08244923118175251,0.44098340342102954,left_eye_x,152
42,angle,0.07325811990404124,0.04727527546120507,0.08306674597840304,0.4385666499227497,left_eye_x,151
43,angle,0.07322739200684097,0.04650186062211202,0.08367918337086468,0.43642285010411447,left_eye_x,149
44,angle,0.07324374782182531,0.04477326744689827,0.08438306583417036,0.434248487622975,left_eye_x,149
45,angle,0.07334443062733725,0.04326395250150968,0.08508342052888118,0.43179899099716607,left_eye_x,149
46,angle,0.07370983615494159,0.040439619144038,0.08606354743312024,0.4297525854704713,left_eye_x,149
47,angle,0.07409660489894293,0.038406980483411984,0.08704740410048623,0.4265999771540541,left_eye_x,149
48,angle,0.07465755751290529,0.03789304111772748,0.08818352378485116,0.4233271813132984,left_eye_x,148
49,angle,0.07533618054406216,0.03656914361675752,0.08939665251400795,0.4186344676413655,left_eye_x,147
50,angle,0.07629212966326994,0.03774659318888142,0.0907774425943307,0.41475137005639384,left_eye_x,146
51,angle,0.0773500615965565,0.03943606247088403,0.09216211079990749,0.4103009222715734,left_eye_x,145
52,angle,0.07836656745548426,0.0397925475975357,0.09341275999848012,0.4051440422879263,left_eye_x,144
53,angle,0.0794416859953941,0.03700764291153157,0.09454454582570324,0.3995915167853715,left_eye_x,143
54,angle,0.08032910785275944,0.0384922919215167,0.0952428562491416,0.3938930988486154,left_eye_x,142
55,angle,0.0807760600658117,0.039074233736019134,0.09519056514362512,0.38740782439173443,left_eye_x,141
56,angle,0.08057649694424256,0.04263853205992201,0.09400453913317644,0.3798061482785575,left_eye_x,139
57,angle,0.07972417725775433,0.04715615754194846,0.09181324204285125,0.3721069346526624,left_eye_x,140
58,angle,0.07779728760454149,0.04856078538157477,0.0883045621614808,0.36166771033241535,left_eye_x,136
59,angle,0.07500354609355359,0.046131408235534736,0.08382267720681769,0.35043665901592425,left_eye_x,134
60,angle,0.07133844152370512,0.049788194017314234,0.07872067441627183,0.33680335383452337,left_eye_x,133
61,angle,0.06731321074963974,0.04552580814951523,0.07392214671846445,0.3226041911812878,left_eye_x,131
62,angle,0.06318817227917556,0.04225765108685822,0.07007445206801968,0.30690779168625526,left_eye_x,127
63,angle,0.0590977360327085,0.033873022447348626,0.06735919099572672,0.2899442862713632,left_eye_x,128
64,angle,0.05545471732968963,0.02591069702687829,0.06602790915768258,0.27167411936614966,left_eye_x,126
65,angle,0.0525388499130298,0.020345387686608186,0.06588999238912095,0.2723190311563698,right_shoulder_z,128
66,angle,0.05044630683540698,0.01725113409888527,0.06638485806218292,0.27951846718682166,right_shoulder_z,125
67,angle,0.04935197189679477,0.0179873796921042,0.06736550204476334,0.28741453789364974,right_elbow_z,125
68,angle,0.04918108660042209,0.015919553501303526,0.06834621542163691,0.29964769231954097,right_elbow_z,120
69,angle,0.04996200886152471,0.014824256701173927,0.0691493299422029,0.31053079030697606,right_elbow_z,123
70,angle,0.05160317924844209,0.020001670567475382,0.06955287562556202,0.32031465008127563,right_elbow_z,137
71,angle,0.05432014451781252,0.027527708191691626,0.06966150992788946,0.3286846157231605,right_elbow_z,145
72,angle,0.05815287586700342,0.036528388856234384,0.06974255531136363,0.3355606784886764,right_elbow_z,151
73,angle,0.06295394674016469,0.044415758527714476,0.0702790374930462,0.34084987972095754,right_elbow_z,154
74,angle,0.06884754074438679,0.051225458532828345,0.07195117333565139,0.3449555887067812,right_elbow_z,158
75,angle,0.0755662886582446,0.056738570238453696,0.07529084237087251,0.3476474741871162,right_elbow_z,164
